,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
TCGA-AR-A24H-01A,0.07575932,0.016409714,0.05621389,0.12503779,-0.030698659,0.059322875,0.07316725,-0.04008315,0.0087973345,0.016851515,0.010233646,-0.006467697,-0.034425274,0.11541756,0.04114846,-0.033232525,0.0747149,0.07286601,-0.017505107,0.02781687,0.019444292,-0.03487513,0.039584264,0.1219449,0.0133478595,0.118618935,-0.1876891,-0.070337944,-0.06788899,-0.050673183,-0.0052830316,-0.021403689,-0.10952135,-0.12658326,-0.08612811,-0.12383667,-0.08088695,-0.062209655,-0.08957768,0.001112814,-0.051207803,0.03676987,0.040238053,-0.045679186,-0.027664645,-0.087267995,-0.057241026,0.05496716,0.1440208,0.09978346,0.06486009,0.11302009,0.003306434,0.05519794,-0.07289252,0.042935617,0.097089484,0.019023774,-0.0026246584,0.02297526,-0.01566579,0.0040749465,-0.08906577,0.110322006,0.025590483,-0.08149165,0.13631983,0.046544574,-0.0726512,0.04187511,-0.14470373,-0.08062183,0.06201919,-0.16278893,0.07029906,-0.043981228,-0.023748152,0.047467265,0.026391646,-0.033750843,0.078856766,0.013755939,-0.048361186,0.0030804307,-0.05688786,-0.04883134,0.038972892,0.07886525,0.15065047,-0.06630649,0.05152551,-0.11428808,0.023574721,-0.0077598887,0.14104626,-0.066422254,-0.076980196,0.039192054,0.078142166,-0.117329285,-0.073784776,0.04776944,0.05744411,-0.0057408493,-0.06025745,0.07465536,0.09397372,0.01909387,0.034914535,-0.056743715,-0.12298039,-0.06403801,-0.033763736,0.052099343,0.093815565,0.030691579,-0.013762139,-0.07215626,-0.07599359,-0.00958973,0.14744705,-0.17982511,0.070581265,0.06206143,-0.055440314,0.0011689627,-0.09056669,0.06658368,0.020259203,-0.047880776,0.13973573,-0.03256141,-0.042103294,0.0070470995,-0.13851787,-0.05151757,-0.097184606,-0.08977029,-0.012025225,0.02571682,0.010181918,-0.072540045,-0.041714318,0.01830267,0.022919198,0.024044702,-0.10205591,-0.033815216,-0.0823232,-0.03487065,-0.0379877,0.0053013363,0.1388061,0.04012646,-0.066284195,0.015944676,-0.013387527,-0.0634601,-0.023704764,-0.009662077,-0.052869722,-0.09728872,-0.019750591,-0.07876767,0.0017789481,0.037489235,0.058924463,0.039942965,0.03410739,0.028194278,-0.07884475,-0.10096641,-0.037151255,0.010741623,0.095856376,-0.16399784,0.017282475,0.033139292,0.10737661,0.16478777,-0.07647275,-0.034829717,-0.09188333,0.009517271,0.048476897,0.029670808,-0.0733227,-0.036562037,-0.073303275,-0.039144833,-0.06334421,0.042134874,-0.026745623,0.01501878,-0.02648933,0.0019181919,0.08719669,-0.018558018,-0.02690911,0.020458147
TCGA-D8-A1XU-01A,0.02984847,0.006677425,0.09890009,0.10720118,-0.0052226116,0.11076481,0.042388503,-0.07988507,0.05379677,-0.00858714,0.02511464,-0.07714764,-0.0696318,0.050954603,0.10101693,-0.062254243,0.07992137,0.10184246,0.005998951,-0.09133788,0.046993174,-0.019051999,0.05030837,0.035568792,0.0054174257,0.1367285,-0.1564274,-0.006032968,-0.050189167,-0.022382697,0.06885912,0.10670683,-0.15057252,-0.11345373,-0.017491389,-0.16545002,-0.06341592,-0.124073036,-0.026304629,-0.06377608,-0.008657818,-0.0036070072,0.06486639,-0.05156937,-0.04956006,-0.03784647,-0.032344233,0.005930919,0.09917409,0.1192793,0.046897423,0.09066736,0.037862714,0.018003054,-0.022042321,0.023438057,0.13663255,0.0014253467,-0.0223365,0.041555244,-0.039259065,0.05631044,-0.06803398,0.09484036,0.024917593,-0.016401006,0.1745123,0.055775248,-0.060903426,0.06374463,-0.070247345,-0.039779853,0.033437848,-0.13000862,0.08434711,-0.022253614,-0.05609605,-0.013936961,0.0418434,-0.017081702,0.07955604,0.0303021,-0.055535533,-0.063478366,-0.04511109,-0.016571019,0.014153407,0.06524045,0.18588954,0.0011065719,-0.059547275,-0.10593972,0.02162361,0.0028021762,0.07499892,-0.08519476,-0.031609192,0.039292514,-0.010421172,-0.11122718,-0.05644972,0.023599872,0.09854765,-0.061625008,-0.044841755,-0.018869419,0.032306354,0.043863986,0.053514596,-0.12517637,-0.06507365,-0.033874553,-0.047020502,0.065042384,0.08871419,-0.0069937715,0.0005445724,-0.067504115,-0.007504485,-0.03372277,0.068604395,-0.18700543,0.12417068,0.018383062,-0.02362257,0.040279664,-0.03778167,0.070336424,0.03657604,-0.046333127,0.020888183,-0.065479666,-0.07972135,-0.058731064,-0.2182788,-0.030825442,-0.0863179,-0.052877143,0.05504091,0.0101962965,0.041992944,-0.1071064,-0.06955194,-0.021549443,0.029163884,0.005158298,-0.15196194,-0.027036572,-0.04089772,0.031769417,-0.04572502,0.009699424,0.0534615,-0.0005036323,-0.09659503,0.013838897,0.10102218,-0.059477706,-0.030257074,-0.06295964,-0.06880267,-0.023441907,0.014682141,-0.10620235,-0.047473725,-3.6117388e-05,0.04822191,0.025705975,-0.0018230354,0.022613497,-0.04476,-0.123548016,0.046159294,0.081340745,0.010816335,-0.106635354,-0.09088286,0.07188034,0.05773885,0.22695646,-0.013427831,-0.12496324,-0.06814024,-0.019863496,0.06552848,-0.007983089,-0.090960965,0.0370517,-0.104987346,0.06340094,0.018863838,0.03656445,-0.008716586,0.024887137,-0.04124265,-0.011413457,-0.008639297,0.044018913,-0.054584783,0.028966498
TCGA-A7-A26E-01A,-0.011421012,-0.055338837,0.16989963,0.13334881,0.03166369,0.1267111,-0.009743077,0.04532679,0.0038602755,0.04794908,0.0329336,-0.045297164,-0.016291145,0.0050806603,0.08332918,0.0011586782,0.05759255,0.1322327,-0.011197062,-0.030529043,0.039907046,-0.0025049136,0.04237385,0.12631065,-0.0007492205,0.15487717,-0.16746432,-0.036839165,-0.0806513,-0.0028634008,0.02144718,0.0019977537,-0.06804728,-0.11388769,-0.05534224,-0.09486735,-0.08050833,-0.08136012,-0.03538123,-0.020506643,0.0017697786,-0.018200118,0.105282344,-0.011870275,-0.018812463,-0.0690075,-0.0018412839,0.066594966,0.07309903,0.09407262,0.07941627,0.055457816,0.05167934,0.17082919,-0.069007725,0.0075151846,0.037174985,0.015727255,-0.037067816,0.040139407,-0.01236333,-0.018065257,-0.0973303,0.08628375,0.032297764,-0.10408493,0.11352144,0.004828284,-0.09880763,-0.0046182047,-0.09296892,-0.07883786,0.10244024,-0.16278629,0.04258568,-0.09811535,-0.033877976,-0.0025853054,0.029547151,-0.0237222,0.046760328,0.073132224,-0.043775838,0.00034731074,-0.041673835,0.0042373314,0.03431236,0.09623624,0.14556238,0.006650591,-0.045551416,-0.09051584,-0.0027283086,-0.0040774653,0.046588425,-0.102265105,-0.08786328,-0.010559652,-0.0280019,-0.08575489,-0.032510992,-0.057489976,0.057716392,-0.017510638,-0.09104671,0.02490143,-0.013176665,0.040096782,0.06281109,-0.05766018,-0.08482114,-0.0234044,-0.04724999,0.08285917,0.15318385,0.028466977,0.0768516,-0.09989927,0.015179208,-0.030234585,0.14274368,-0.11762106,0.059549123,0.024166377,0.045801666,0.0463926,0.011977393,0.039139748,-0.045140002,-0.0024191749,0.11806811,-0.060331687,-0.005197968,0.040691167,-0.166907,-0.05896147,-0.08738863,-0.17388374,-0.021221522,0.03214136,0.010244486,-0.100250065,-0.0079041105,0.0038331214,0.0038105662,0.0023184756,-0.13146962,-0.0038197073,-0.03341711,-0.04550016,-0.07864539,0.042062595,0.06375804,-0.017730251,-0.15547493,0.003641989,0.05584146,-0.046605743,-0.02366507,-0.052238014,-0.04322067,-0.13427667,0.0011894826,-0.085817926,0.02343089,0.06658356,0.103089996,0.013732059,0.063081056,0.060298435,-0.124786176,-0.14121363,0.08406751,0.011624208,0.06033321,-0.06878057,-0.0916501,0.032565884,0.03910346,0.14217786,0.019792741,-0.07588963,-0.046546508,-0.0059561967,0.034955837,0.060326263,-0.092348374,-0.05964392,-0.029541638,-0.01827719,0.02512663,0.020031333,-0.076558925,0.03157952,-0.0014419381,-0.012501939,0.062915035,0.10449165,-0.07913391,0.042299815
TCGA-D8-A27E-01A,0.028477022,0.042789686,0.09541701,0.10185647,0.014995302,0.10700302,0.03128129,0.07337933,0.019404605,-0.035007462,-0.01088228,-0.058639627,-0.016667327,0.092619,0.10967728,-0.03180053,0.019255051,0.15073708,-0.039839134,-0.05819848,0.0091370735,-0.04847836,0.016157392,0.10021827,-0.029929444,0.13589558,-0.08735231,-0.036124494,-0.07337006,-0.03325274,-0.020639487,-0.008736322,-0.03243595,-0.21967721,-0.06353951,-0.15314452,-0.08506415,-0.03773257,0.0023223592,0.016315272,-0.017720347,0.047976114,0.02150366,-0.081514925,-0.11718631,-0.08788602,-0.014415145,-0.011840677,0.04924013,0.10174962,0.06894521,0.07685827,0.044744268,0.11477547,-0.039598975,-0.051835846,0.10175796,0.0440296,-0.030761346,-0.038626682,-0.011506836,0.05954069,-0.052814275,0.17964542,0.09021405,-0.08224429,0.09121331,0.008479367,-0.102008365,0.02705812,-0.09519368,0.0039379816,0.072454,-0.16848902,0.037179314,-0.048797704,-0.004458514,0.058601175,0.093677334,-0.03543294,0.044769343,0.0315329,-0.11892495,-0.03217362,-0.029705223,-0.116565675,-0.02365297,0.10367162,0.09777408,-0.05386718,0.024701709,-0.10653789,0.07332821,-0.016704006,0.087998204,-0.08970255,-0.09379495,0.0550028,0.10306905,-0.07241552,-0.011043795,0.031980384,0.09186968,-0.05227837,-0.02719894,-0.041788757,0.09046516,0.0031017198,0.022727042,-0.050727025,-0.106336385,0.0071661137,-0.05758069,0.089213155,0.08488184,0.024681658,0.06292539,-0.13602829,-0.07610137,0.0047226734,0.1091871,-0.13648497,0.006487675,0.0064294906,-0.042111225,0.029010296,0.007967958,0.09863853,-0.04072098,0.012442146,0.103691354,-0.00027126228,-0.05253885,-0.005323777,-0.15378147,-0.030295381,-0.023737404,-0.059226338,-0.006975096,-0.034505,0.04411051,-0.17119242,-0.040378798,-0.08612738,0.040361613,-0.0007426772,-0.065473236,-0.06713414,-0.08150971,-0.004665851,-0.13085443,0.009412861,0.09569172,0.049612742,-0.04454822,0.039893094,0.060619023,-0.0826792,-0.04544587,-0.07055068,-0.023253271,-0.06699869,0.016059821,-0.075182945,-0.0053347154,0.013772991,0.021530148,0.02037959,-0.009458498,0.06682353,-0.056955863,-0.12655728,-0.027735863,0.044721328,0.0574443,-0.06221085,-0.060536113,-0.012999387,0.120825775,0.14308281,-0.06464153,-0.09098144,-0.04688977,-0.0074983737,0.020570252,0.04901987,-0.0881707,0.051712383,-0.030031057,-0.021563197,-0.086056545,0.02095969,-0.03742561,0.030498482,-0.043386053,0.01002027,0.052181162,0.094536535,-0.11324268,-0.0076775285
TCGA-BH-A0DK-01A,0.08591195,0.024845775,0.08888265,0.10681177,-0.008028438,0.10364474,0.072425745,-0.039821673,0.030896386,0.036732044,-0.024044467,-0.030831495,-0.07064269,0.048420403,0.06921645,-0.045390517,0.005201054,0.08407313,0.0053798095,-0.027368993,0.029278977,0.00846639,0.0463271,0.1376097,0.03144805,0.03428306,-0.14077768,-0.023444258,-0.029482031,-0.048098493,0.0537615,0.09480727,-0.07539998,-0.1404821,-0.021530129,-0.14690146,-0.09131411,-0.054918308,-0.07592957,0.023430582,0.042570543,-0.049935587,0.05490388,-0.08533745,-0.04941876,-0.08426557,-0.0032673802,0.08156482,0.071750335,0.099178456,0.06341734,0.103876926,0.04251575,0.050333254,-0.020264706,0.017327676,0.1333749,-0.0022735312,-0.07197277,-0.029345224,-0.000812025,0.06583562,-0.051224876,0.15398349,-0.017382078,-0.032776844,0.17033231,-0.034018885,-0.062247973,0.064613484,-0.1307071,-0.0055962573,0.12601064,-0.13537668,0.069198005,-0.103318386,-0.0023272831,0.017587947,0.013183045,-0.005592217,0.055126324,0.0441291,-0.06239845,0.044508163,-0.036133073,0.029052934,0.004098642,0.09262879,0.11790266,0.039297204,-0.03276956,-0.1351127,-0.002882986,0.0123179825,0.09714807,-0.060911868,-0.14385471,0.14792155,0.070374094,-0.051417276,-0.026597371,-0.0020446226,0.09839622,-0.04074522,-0.026157718,0.05695595,0.032655045,-0.041295774,-0.03057242,-0.053355012,-0.026663113,-0.030780172,-0.028787652,0.05094272,0.122372575,0.039429378,0.025816016,-0.042289138,-0.0032942719,-0.058002707,0.10654427,-0.16469,0.057047788,0.04883679,-0.053624846,0.067418195,0.034126338,0.080116756,0.034536332,0.10379483,0.1180481,-0.037187867,-0.016421385,0.036018614,-0.13488844,-0.00209074,-0.027143698,-0.086415194,-0.018380752,0.09180715,0.031338483,-0.110352755,0.040407963,0.019715596,0.10228484,0.0017769134,-0.07730392,-0.040955473,-0.029993383,-0.024343781,-0.07013472,0.029664638,0.088748306,0.025529856,-0.06791709,0.089651115,0.0731403,-0.059649266,-0.007635831,-0.0660666,-0.044983473,-0.1061654,0.079626545,-0.13767008,-0.05152709,0.012106475,0.04322035,0.027931014,0.12718874,0.015380536,-0.11379076,-0.08279636,0.0014225591,0.082511365,0.049518406,-0.083570436,-0.022884885,-0.006199554,0.031260572,0.18230118,-0.064007744,-0.14317356,-0.083372466,0.022206305,0.082173906,0.02661189,-0.059270736,-0.069781214,-0.024317656,0.01674439,0.009762193,-0.0055798977,-0.098738015,-0.04521019,-0.024831519,0.09765741,0.06335428,0.030928683,-0.04152685,0.02207798
TCGA-E9-A5UO-01A,0.0031546934,0.026567353,0.10656089,0.13598113,-0.060366135,0.07409304,0.033429142,0.011110726,0.062758885,0.023684217,-0.0037854307,-0.010152355,-0.044570222,0.100018784,0.12118089,-0.070273735,0.04895163,0.09217761,0.041132674,-0.05709294,0.034155898,0.04130578,-0.0034266699,0.15492548,-0.04782117,0.09897825,-0.108321734,-0.049848303,-0.044958014,-0.017586537,0.049605604,0.07274105,-0.08658081,-0.11483056,-0.11097587,-0.1421628,-0.06755552,-0.05239834,-0.04690375,0.060108513,0.0184467,0.015380662,0.05301659,-0.07214079,-0.03756039,-0.06685094,-0.040455777,0.02782044,0.06473441,0.12127785,0.06026085,0.10181649,-0.0032941883,0.12235572,-0.11553594,0.015807822,0.11605211,0.044549964,-0.03818604,0.01987236,-0.010961985,0.044910874,-0.09342593,0.09825613,0.039272364,-0.035156548,0.12627947,0.026351431,-0.119069524,0.111651726,-0.087566085,0.013138939,0.12377152,-0.10740318,0.07746658,-0.055806186,-0.012196844,0.014701198,0.068327054,-0.00070412946,0.01455125,0.006475292,-0.013653126,-0.023685735,-0.058718964,-0.09173423,0.072450966,0.10441148,0.12934965,-0.006182848,-0.04830584,-0.12619692,0.03456808,-0.003329988,0.08057001,-0.113292485,-0.044710644,0.076759115,0.012214494,-0.13180874,-0.02130899,-0.014970286,0.060031105,0.027764056,-0.018334292,0.027560864,0.030608453,-0.00771846,0.022392591,-0.024132984,-0.10361264,-0.033027157,-0.11703611,0.06179176,0.11090219,0.03839561,0.07048694,-0.096870996,-0.020972284,-0.0015130843,0.12225844,-0.19827886,-0.0008944769,0.05823117,-0.0006161402,0.031538695,-0.063608386,0.06263526,-0.06469863,-0.0068374076,0.18760231,-0.02640667,-0.00630994,-0.0033790364,-0.16138677,-0.03566312,-0.018794587,-0.063309066,-0.011708596,0.034367718,0.032595977,-0.085285075,-0.03522647,-0.042343166,-0.042025086,0.045426816,-0.08882549,-0.089377925,-0.061256517,0.02652876,-0.039271127,0.026627148,0.057334404,0.04388187,-0.033494506,0.0709824,0.060573727,-0.036144506,-0.02516512,-0.10044496,-0.03482723,-0.09552997,0.03172795,-0.10857298,-0.0064866673,0.0016167084,0.06951641,-0.016668724,0.006443886,0.057784863,-0.15068865,-0.08050296,-0.053626973,0.05949398,0.0643044,-0.08565079,-0.11403037,0.0021689238,0.1090776,0.16766998,-0.0012299945,-0.07690224,-0.026322648,0.007441082,0.03979316,0.012870582,-0.12380693,-0.013464325,-0.13062808,0.03090032,-0.019825192,0.011198628,-0.037355963,-0.00966745,-0.06804394,-0.028615603,0.052014366,0.014613408,-0.012913435,0.03567778
TCGA-LL-A7SZ-01A,0.016323313,-0.00806328,0.15911044,0.17601603,-0.05225596,0.07669264,0.016895467,0.018602587,0.044014145,0.05171971,0.0037615837,0.017148621,-0.047824398,0.050620724,0.10487082,0.021297779,0.060219996,0.088115655,-0.022769378,0.009991213,-0.0012456314,0.017748507,0.048655506,0.093633,-0.011844389,0.07760333,-0.17379703,-0.025146408,-0.054705255,-0.031438593,0.135078,0.010363364,-0.15888047,-0.11838561,-0.05324625,-0.10386968,-0.024392575,-0.08947507,-0.06668347,-0.056450866,-0.033904243,0.01430949,0.03475219,-0.04601421,-0.021341197,-0.10370789,-0.0061621317,0.091763005,0.05659732,0.13407986,0.029563274,0.04458095,0.019978894,0.1241829,-0.07766308,-0.0060327724,0.147291,0.00089910027,-0.0041023283,0.004955899,-0.018066922,0.034467194,-0.04701314,0.044674624,-0.013795058,-0.093793154,0.08007651,0.02331845,-0.054607574,0.05313685,-0.1258444,-0.056795344,0.0069902143,-0.10928419,0.08835921,0.00216117,0.025116054,0.028234147,0.018613894,-0.0018167967,0.03597841,0.031460132,-0.06308312,0.008514301,-0.05143474,-0.01455782,0.041040268,0.0698149,0.13962607,-0.06407738,-0.019359514,-0.079310015,0.06444494,0.043359302,0.14108858,-0.07137585,-0.08292234,0.00053697417,0.013123552,-0.12500675,-0.02273986,-0.03000785,0.08877751,-0.057511322,-0.03798426,0.050678834,0.033478297,-0.028312286,0.06867268,-0.070264265,-0.16094652,6.819114e-05,-0.0820115,0.11002554,0.12755677,-0.012079758,0.013316099,-0.04343905,-0.052130915,-0.0049187406,0.10969962,-0.14840658,0.02307338,0.0013572188,0.0023893074,0.020131215,-0.06326143,0.09448964,-0.06412565,0.042714022,0.1372791,0.01039963,-0.018725106,-0.02985217,-0.23294106,0.038037814,-0.04932869,-0.0793047,-0.049745843,0.032140296,-0.013026655,-0.085617736,0.008944172,-0.056556482,-0.010062199,-0.048655096,-0.099229455,-0.02880311,-0.092493966,-0.018714938,-0.009411525,0.017431697,0.055094544,0.030006843,-0.12384099,0.026754655,0.10931162,-0.08595041,-0.0072441353,-0.10523516,-0.09625512,-0.10501202,0.0018578467,-0.091029,-0.0804712,0.0121412175,0.04486952,-0.024077257,0.0041197515,0.14746168,-0.122869164,-0.008471483,-0.02487328,-0.0030604706,0.10246571,-0.074115716,-0.06470185,0.071174264,0.14914294,0.096689776,-0.026863474,-0.095634736,-0.035350192,0.018724548,0.07120337,-0.010750775,-0.040720068,0.021840127,-0.050975397,0.07313926,-0.009013766,-0.049309522,-0.103651,0.063832544,-0.03259557,-0.0038237353,0.042797945,-0.030130375,0.00014422617,-0.03507998
TCGA-D8-A1JJ-01A,-0.00085466454,0.026386593,0.09728712,0.132428,0.0023321463,0.15059908,0.07635111,-0.027102508,0.045850486,0.034583606,0.015976513,0.023214778,-0.045095496,0.100958,-0.017010009,-0.03561519,0.038998257,0.12098674,-0.03982798,-0.027819471,0.09768892,0.06115567,0.038979556,0.06638944,-0.050300267,0.08329058,-0.18068172,-0.019670993,-0.026054189,0.025916107,0.014730411,-0.035430238,-0.053810664,-0.10258129,-0.04486314,-0.091378845,0.0035064656,-0.09045627,-0.023759961,0.038234636,-0.041623395,0.04627708,0.05776439,-0.016461719,-0.02578283,-0.087259956,-0.02278808,0.05704972,0.08567175,0.19090082,0.10018743,0.07897927,-0.004817144,0.10709281,-0.102632895,0.037240773,0.093929015,0.075356,0.0015196304,-0.031784587,-0.024467848,0.019885149,-0.065265134,0.15766712,0.011577607,-0.07574479,0.09159543,0.09506826,-0.14709984,0.066356964,-0.09661492,0.009676701,0.059433755,-0.11505906,-0.014082664,-0.12494406,0.025937926,0.03433233,0.079863995,0.032887526,0.07109237,0.01778419,-0.07620836,-0.026355945,-0.0072138985,-0.033724487,-0.03877289,0.13687558,0.09989995,-0.034438696,0.038069353,-0.11461769,-0.010080028,0.018617433,0.109335124,-0.054606676,-0.03962541,0.020724056,0.042506002,-0.08615443,-0.020317506,-0.021600036,0.08281019,-0.0059449887,-0.041698713,-0.017322022,-0.010315536,0.011651787,0.049844187,-0.11714901,-0.04660915,-0.028739247,-0.055986363,0.036005516,0.15007746,0.05043096,0.038461875,-0.056265652,-0.11726383,-0.08172016,0.08966883,-0.124196164,0.028163817,0.040615216,-0.008993796,0.01690734,-0.0563572,0.13272427,-0.016815802,0.040781192,0.09528042,0.033340298,-0.055471253,0.0061175115,-0.17800704,0.020744571,-0.06477203,-0.070665576,-0.018361814,0.031869296,0.019691471,-0.07090347,0.049556844,-0.059688646,0.031199496,-0.0006437458,-0.10200265,-0.051698774,-0.015548178,-0.053994298,-0.075911336,0.03535096,0.0732306,0.0070686373,-0.07190292,0.018365953,0.07174553,-0.07937042,-0.017081609,-0.09261926,-0.07247052,-0.09966917,-0.014469271,-0.058004703,-0.06737976,0.061174266,0.0685682,0.10242134,0.026919976,0.038034193,-0.13659765,-0.17094187,-0.038902458,0.15629445,0.08742048,-0.07354487,-0.03810348,0.046694178,0.15741187,0.11644855,0.0022811836,-0.08770406,-0.023000725,0.04243748,0.0066920533,0.054557156,-0.030168636,0.00919513,-0.06974022,0.021888778,-0.006837951,0.007857503,-0.053544696,0.025531406,-0.0063527133,-0.018078076,0.126448,-0.0047516525,-0.06424323,-0.026385855
TCGA-EW-A1IY-01A,0.04482316,0.038012065,0.16785707,0.10177439,-0.0050558993,0.066094935,0.011157751,-0.018542519,-0.011460126,0.015347922,0.014683407,-0.052025728,-0.065233864,0.05572023,0.030910965,0.0037431011,0.032418534,0.11417123,-0.037262864,-0.057384893,0.050494496,-0.06088434,-0.032126453,0.12744653,0.026906593,0.08393924,-0.120909184,-0.038053285,-0.05942169,-0.043067,0.09284845,0.039398443,-0.09459629,-0.098850995,-0.09631476,-0.1617273,-0.029643584,-0.0066777905,-0.06786897,0.03361084,-0.004594256,-0.008243828,0.049990784,-0.037439916,-0.059188224,-0.087512985,-0.020799221,0.1153278,0.11179795,0.09794868,0.0070821582,0.09778384,0.001535592,0.13239446,-0.029341396,0.027713163,0.07990007,-0.01318247,-0.024100788,-0.0005873983,-0.007681699,0.033487037,-0.022919899,0.060789324,0.026217865,-0.075078756,0.12459573,0.012997847,-0.1620466,0.05562355,-0.07672648,-0.037596405,0.07838864,-0.23995125,0.102906294,-0.012579653,0.026750697,0.0718299,0.032206826,0.045671504,0.07345387,0.08054469,-0.024445692,-0.07592083,-0.06011443,-0.0628144,-0.0071058474,0.10628842,0.09059388,-0.025556171,-0.00810643,-0.054388504,0.052671444,-0.010459755,0.04861487,-0.023271361,-0.030914407,0.0134029705,0.0006118052,-0.118590035,-0.11554365,0.00020742846,0.06717742,-0.033921674,-0.03114476,0.022406628,0.036140926,0.015696874,0.0053629605,-0.01188449,-0.053322736,-0.002079144,0.057001628,0.0132266665,0.11254441,0.04955415,-0.030875785,-0.09728178,-0.063637495,0.04707301,0.10659622,-0.16324548,0.058488328,0.07032452,-0.011554709,0.046736524,-0.076502845,0.082690105,-0.030436574,-0.026533809,0.1088096,-0.0071230684,-0.015057303,-0.006791051,-0.21100886,-0.008105588,-0.045725532,-0.031505268,-0.055360664,-0.020194104,-0.04979701,-0.068904065,0.0102219395,-0.10202156,0.05003883,0.009233161,-0.1311025,-0.006763499,-0.05566725,-0.009388648,-0.052779887,0.07759745,0.078018695,0.051155344,-0.06725608,0.12211131,0.043590363,-0.087454155,-0.06980235,-0.07581077,-0.09755009,-0.04268179,0.0030606263,-0.109651454,-0.084425054,0.06399648,0.118420295,0.038626432,0.0140133025,0.055570755,-0.103487395,-0.078676306,0.03388055,0.09719433,0.05737535,-0.12481603,-0.10459328,0.024030427,0.061118606,0.1655872,-0.03353101,-0.038634002,-0.08997931,-0.045583565,0.048676774,0.03482183,-0.10430676,0.005103668,-0.04046614,0.067678116,0.020610861,0.005728181,-0.067007564,0.0227242,-0.0028559929,0.06720626,0.030080473,0.029644055,-0.10849133,0.10309502
TCGA-EW-A1IZ-01A,0.06656547,-0.0028901447,0.08004565,0.15810327,-0.10177575,0.080392145,0.038413707,-0.028981894,0.08863747,0.045850933,-0.011356373,-0.038739316,-0.0364799,0.093910575,0.108210735,-0.11605986,0.077482425,0.1195039,0.022315236,-0.07258479,-0.0023028692,0.05115736,-0.046810113,0.07451746,-0.021303244,0.1148636,-0.08727033,0.01844892,-0.04156646,-0.08152037,0.019991359,0.019953275,-0.11971872,-0.09778106,-0.09726817,-0.09830381,-0.06929571,-0.024725331,-0.06650291,-0.03445341,-0.0572824,0.040757164,0.00497613,-0.007390969,-0.059284996,-0.11335979,-0.026841696,0.017960137,0.13013813,0.11172904,0.035480835,0.06924398,0.01402343,0.07018469,-0.08863775,0.04062538,0.15777235,0.016141566,-0.029108943,-0.088451155,-0.024353247,0.082399696,-0.09646595,0.11929363,0.08550249,-0.09920118,0.15892112,0.0787251,-0.07534923,0.034498334,-0.120030716,0.004079626,0.0446993,-0.13886148,0.091586076,-0.0787016,-0.0149649065,0.08066768,-0.04217964,0.06376796,0.037040617,0.020567233,-0.02098273,0.07030628,0.020327391,0.0011247457,0.04458116,0.12602712,0.18727963,-0.028615676,-0.029919773,-0.15434043,0.017120332,0.052797347,0.078511655,-0.05714216,-0.06333262,-0.009909833,0.0040306295,-0.043313064,-0.01952003,-0.011478135,0.09440425,-0.023842303,0.012215312,-0.029809967,0.0037792686,0.048795573,-0.021868126,-0.08854331,-0.047226578,0.016465165,-0.063660756,0.043735206,0.10774317,0.03010954,0.010182058,-0.063536786,-0.07379071,0.037253436,0.16520089,-0.112155996,0.059604123,0.060570404,0.022332521,-0.029680293,-0.013970095,0.07259761,-0.04448274,0.01443364,0.14833821,0.02053189,-0.064736,-0.013276538,-0.18660446,-0.038821265,-0.039398864,-0.06710996,-0.023450676,0.042477082,0.022781353,-0.04318267,-0.025711136,-0.040785264,0.093581006,0.0075258287,-0.07351734,-0.050623845,-0.039202124,0.058329783,-0.060697768,-0.01281058,0.09354385,-0.0044253175,-0.0753043,0.012273405,0.09946645,-0.034755792,-0.03390253,-0.07137608,-0.038455818,-0.049636286,-0.015250474,-0.06459363,-0.001284084,0.03533837,0.06808934,0.02574168,0.00056186784,0.032444973,-0.06402698,-0.054958194,0.014402485,0.084720835,0.08083677,-0.1143315,-0.06498245,0.047778416,0.046179738,0.15580341,0.00025052388,-0.1299864,-0.108048774,-0.014047505,0.08660351,-0.06361738,-0.06831448,0.023216536,-0.10938101,0.06883923,-0.0019535285,-0.038406674,-0.06386185,-0.006875376,-0.0068004914,0.030395664,0.046910718,0.09219747,-0.076215886,0.06942852
