,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
TCGA-BH-A0GZ-01A,0.059528586,0.046295334,0.20235524,0.23892649,-0.055495173,0.13862251,0.09317391,0.05224286,0.081060074,0.061070643,0.07301952,0.01271328,-0.115375735,0.2255562,0.21947378,0.005815394,0.0430699,0.24146952,-0.02880145,-0.16840559,-0.014947612,0.049216453,0.009976917,0.18734689,0.017687235,0.19813225,-0.30716476,-0.017417103,-0.09078954,-0.13003603,0.12932292,0.09645635,-0.20265688,-0.25402507,-0.1472258,-0.30178732,-0.105077974,-0.04389027,-0.1735692,-0.009028043,0.01955132,-0.0014808822,0.11702995,-0.09469745,-0.071173266,-0.10484182,-0.13920645,0.16010949,0.14458434,0.23503405
TCGA-A7-A4SF-01A,0.0370251,0.05855803,0.22531871,0.21487089,-0.06710911,0.18957159,0.098494776,0.04483536,0.080606475,0.08429758,0.024406925,-0.13070357,-0.12592201,0.16178697,0.12285196,-0.18474002,0.098728836,0.21444553,-0.046355024,-0.016296797,-0.02518122,-0.028187072,0.029688658,0.20603175,-0.03007358,0.19703701,-0.2811739,0.035707247,-0.08807204,-0.12952553,0.075551756,0.14846614,-0.25224185,-0.3257029,-0.11076096,-0.33920506,-0.020044526,-0.044370957,-0.09190599,-0.06045112,0.001127278,-0.009477534,0.1816731,-0.12391744,-0.11637829,-0.13335809,-0.012922745,0.09227823,0.123247415,0.18210027
TCGA-E9-A1RE-01A,-0.052074347,0.03867417,0.13618611,0.18153231,-0.048055246,0.20010689,0.008524248,0.06720148,0.049216717,0.027492812,-0.0030887187,-0.024238545,-0.11043164,0.14446335,0.2136096,-0.06653499,0.026444973,0.22732829,-0.05286867,0.032710567,0.08068088,0.031656146,0.01155332,0.24383532,-0.047885258,0.23433462,-0.36424714,-0.07954581,-0.12789877,-0.12574017,0.15873967,0.027613124,-0.20819229,-0.27711222,-0.07450466,-0.3572774,-0.11805686,-0.037608184,-0.1479224,-0.03177968,-0.0066329893,-0.059838116,0.15328434,-0.05726608,-0.112611644,-0.1598081,-0.082881175,0.10667876,0.19086272,0.13378705
TCGA-AO-A0JM-01A,-0.053415176,0.07994309,0.21598871,0.33698055,-0.0744818,0.23422101,0.10658495,0.03062397,0.07458946,0.110162325,-0.0005004148,-0.015220822,-0.11705482,0.15572707,0.13797416,-0.11800391,0.11973418,0.1283847,-0.015855588,0.08780093,-0.008475177,0.024853196,0.12090132,0.2176783,0.053635325,0.14033066,-0.340664,-0.048642185,-0.070745036,-0.10098706,0.11030582,0.057345826,-0.22957952,-0.31503704,-0.09404906,-0.3294822,-0.10981625,-0.051132984,0.008360809,-0.031644236,-0.0067979754,0.05983088,0.14136314,-0.14754124,-0.0218053,-0.08767849,-0.05722017,0.029174075,0.1763446,0.14836985
TCGA-C8-A1HE-01A,0.04045293,0.007946896,0.14836228,0.20260036,-0.049681563,0.22075707,0.043660786,0.03501222,0.16153465,0.07091011,0.07920783,-0.01785276,-0.15445583,0.2536263,0.19973205,-0.023946542,0.07443562,0.28169248,0.018316165,-0.06447488,0.055106524,-0.046199784,-0.022127574,0.19334729,-0.037505653,0.1416804,-0.25281784,-0.047783874,-0.1374856,-0.070582554,0.13464725,0.022479499,-0.18798226,-0.3329586,-0.17046444,-0.33392262,-0.15256196,-0.11861226,-0.059773244,-0.02653448,-0.032861546,0.01671158,0.077588186,-0.06922339,-0.12550384,-0.15413351,-0.10456995,0.0709308,0.13308968,0.19538863
TCGA-B6-A0WT-01A,-0.027391791,0.022208722,0.19892916,0.2852083,-0.03360952,0.23869616,0.004397206,-0.0147333,0.06978849,0.10740371,0.03273085,-0.08857055,-0.137736,0.17038485,0.15329555,-0.07664844,0.021151869,0.25324544,-0.06364879,-0.06202947,0.021268582,0.028370116,0.0302876,0.11374873,0.079014175,0.21873043,-0.30766064,-0.18973142,-0.0768265,-0.044569924,0.12505934,0.09344695,-0.18888506,-0.27255943,-0.077602394,-0.27994063,-0.14411008,-0.062844895,-0.14756767,-0.013081455,-0.06122178,0.055793688,0.08595565,-0.16589364,-0.11034411,-0.09929608,-0.03564797,0.07357007,0.29219815,0.12376506
TCGA-E9-A22H-01A,0.121533,0.046001118,0.25279272,0.2771834,-0.026078444,0.23300895,0.058969762,-0.039269812,0.07954792,0.07246254,0.009840501,-0.07622974,-0.1410812,0.19768898,0.20145012,-0.014970476,0.09892312,0.2116777,0.03769098,-0.023789667,-0.018160187,-0.0006602732,0.008822722,0.17539564,-0.055976506,0.21413651,-0.31803626,-0.042458106,-0.037272412,-0.08891759,0.10421615,0.09718205,-0.19095913,-0.25161916,-0.14384933,-0.32835352,-0.10108692,-0.09402125,-0.029063266,-0.003920659,0.0029463556,-0.06946655,0.04769537,-0.06335366,-0.042278044,-0.19751142,-0.099985495,0.09323202,0.18377787,0.207916
TCGA-E2-A1LG-01A,-0.020106139,0.03539628,0.16600901,0.2685333,-0.04456916,0.20772135,0.08359856,0.07285747,0.08532272,0.006181662,-0.022116575,0.0063510328,-0.12596537,0.17398398,0.15527622,-0.13211192,0.028940296,0.23553713,0.026709508,0.03602857,0.008424072,0.07395889,0.055560667,0.23692054,-0.03163159,0.18454118,-0.33620378,-0.022696521,-0.027528208,-0.049253132,0.12777098,-0.0398997,-0.15331043,-0.2981247,-0.15777004,-0.39192322,-0.1209436,-0.09871009,-0.16784976,-0.025064746,0.061904594,-0.0039792173,0.13962933,-0.06708315,-0.09504424,-0.08981002,-0.056174602,0.09483632,0.16745839,0.15399803
TCGA-AR-A1AN-01A,0.029214066,0.030398155,0.16094814,0.24714589,-0.08133272,0.17133953,0.09337792,-0.028188393,0.07102772,0.053905834,-0.033423968,-0.10381508,-0.15273955,0.222975,0.1588373,-0.040737882,0.063520394,0.21052462,0.016561119,-0.01993146,0.09794461,0.055680092,0.004534003,0.19456765,0.049431786,0.21484481,-0.37283245,0.020694416,-0.14454006,-0.16839577,0.12410173,0.053967126,-0.110813476,-0.27653763,-0.123836406,-0.28958783,-0.17693305,-0.08414161,-0.077056915,-0.047212653,-0.0117862895,-0.0018074483,0.20553695,-0.1712139,-0.08451101,-0.17595372,-0.07346818,0.07154927,0.11548607,0.15038663
TCGA-D8-A1X7-01A,0.0026042752,0.0136135565,0.19659802,0.22287148,-0.11677507,0.16945408,0.13677639,-0.017899418,0.11528366,0.07266161,0.014232222,-0.13242911,-0.10481681,0.28878254,0.19266412,0.014745874,0.06088918,0.24532208,-0.02512016,-0.053324074,0.022296326,-0.0039044186,0.039411776,0.18277471,-0.03040865,0.17257789,-0.2957508,-0.06046626,-0.13241766,-0.14298779,0.10354354,0.08428048,-0.18024802,-0.27727905,-0.09006692,-0.24303894,-0.1300218,-0.082563534,-0.08561971,-0.012503778,0.09710337,0.07672733,0.14931314,-0.23430294,-0.09452965,-0.16469376,-0.087719224,0.002227363,0.19199896,0.14390661
