,0
TCGA-A7-A6VX-01A,1
TCGA-AN-A0XT-01A,0
TCGA-D8-A27M-01A,2
TCGA-E9-A1N9-01A,3
TCGA-E2-A1IK-01A,2
TCGA-AO-A1KS-01A,3
TCGA-AC-A23C-01A,2
TCGA-E9-A1NF-01A,1
TCGA-E9-A1N4-01A,4
TCGA-BH-A0DV-01A,0
TCGA-E9-A295-01A,3
TCGA-E2-A1LA-01A,0
TCGA-E9-A54Y-01A,4
TCGA-B6-A40C-01A,2
TCGA-E9-A1NG-01A,0
TCGA-B6-A0RT-01A,0
TCGA-A2-A3KD-01A,0
TCGA-BH-A1EX-01A,4
TCGA-AC-A23G-01A,3
TCGA-EW-A6SB-01A,3
TCGA-E9-A22D-01A,1
TCGA-A8-A0AD-01A,4
TCGA-A2-A0YH-01A,3
TCGA-D8-A1J8-01A,0
TCGA-E2-A570-01A,4
TCGA-E2-A1LB-01A,0
TCGA-LL-A740-01A,2
TCGA-AR-A1AY-01A,4
TCGA-C8-A1HM-01A,3
TCGA-AR-A256-01A,3
TCGA-A7-A0D9-01A,2
TCGA-B6-A0RM-01A,2
TCGA-D8-A1Y3-01A,3
TCGA-OL-A6VQ-01A,1
TCGA-E9-A1RD-01A,3
TCGA-EW-A2FW-01A,4
TCGA-E2-A2P5-01A,3
TCGA-AR-A0TR-01A,1
TCGA-BH-A0BF-01A,2
TCGA-D8-A1Y1-01A,4
TCGA-D8-A27N-01A,0
TCGA-E2-A15J-01A,0
TCGA-EW-A2FV-01A,3
TCGA-BH-A0H9-01A,0
TCGA-D8-A27R-01A,1
TCGA-A2-A0YF-01A,0
TCGA-E9-A1NA-01A,1
TCGA-AC-A62Y-01A,3
TCGA-A7-A5ZV-01A,3
TCGA-GM-A2DN-01A,4
TCGA-BH-A0E2-01A,4
TCGA-E9-A1R4-01A,1
TCGA-AO-A0JF-01A,0
TCGA-BH-A0AW-01A,3
TCGA-B6-A0WZ-01A,0
TCGA-E9-A247-01A,1
TCGA-E9-A248-01A,3
TCGA-BH-A0H6-01A,3
TCGA-D8-A73U-01A,4
TCGA-D8-A27V-01A,2
TCGA-C8-A8HQ-01A,2
TCGA-BH-A0GZ-01A,0
TCGA-LL-A6FP-01A,1
TCGA-AR-A2LN-01A,4
TCGA-C8-A8HP-01A,0
TCGA-XX-A89A-01A,1
TCGA-BH-AB28-01A,0
TCGA-AC-A6NO-01A,2
TCGA-A2-A0YK-01A,4
TCGA-AR-A1AJ-01A,3
TCGA-EW-A1J2-01A,2
TCGA-LL-A5YL-01A,2
TCGA-A2-A0YI-01A,0
TCGA-E9-A226-01A,4
TCGA-E2-A1IJ-01A,2
TCGA-BH-A0DQ-01A,2
TCGA-AO-A0JJ-01A,4
TCGA-BH-A0BA-01A,1
TCGA-A2-A4RW-01A,0
