,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
TCGA-EW-A1OV-01A,-0.12914513,0.12151466,0.20323947,0.08544483,-0.16643347,0.027981438,-0.017626591,0.059538413,-0.1201556,-0.017700676,0.02126177,0.012458889,0.033182275,0.19839555,0.18229538,-0.06695844,0.0007324204,0.16569427,0.03546124,-0.1478224,-0.074551284,-0.011037086,0.007596802,0.05268698,-0.061088387,0.026059661,-0.24035883,-0.05355482,0.07134719,-0.20467664,-0.045961946,0.10635374,-0.18533306,-0.17531683,-0.043167338,-0.14900248,-0.06500355,0.012112781,-0.047120802,0.008997918,-0.10522608,0.1397326,-0.036900964,-0.061823398,-0.072395965,-0.07546172,-0.06864055,0.061640084,0.13646853,0.1710128,-0.035040077,0.19637646,-0.01807317,0.09540754,0.009916969,0.04527132,0.06228316,-0.01541381,0.023316257,0.06579377,0.045515247,-0.08739437,-0.09791793,0.13477373,-0.07972881,0.024915004,0.06256113,-0.09899555,-0.058644887,0.09691144,-0.094248086,0.0017611878,-0.029010903,-0.041633256,0.046007268,-0.06098055,0.06325382,0.07966403,0.19897246,-0.0999106,0.03932452,-0.07770507,-0.18599588,0.12653875,-0.09379599,-0.12301298,-0.09997145,0.10231313,0.118347056,0.05658194,0.08489293,0.011767372,-0.03987188,0.16911766,-0.0076838555,-0.11540171,-0.076036744,-0.046300877,0.07713451,-0.13222738
TCGA-EW-A1P6-01A,-0.104629464,-0.04475343,0.12100436,0.06384941,-0.10882226,0.04709959,-0.030669723,0.042814393,-0.1477006,0.013457207,-0.055881362,0.038131453,0.052687548,0.21554396,0.09422721,-0.07762938,-0.001564427,0.17809743,0.0098686665,-0.13912421,0.0011317409,-0.020765174,-0.07895637,0.015968405,0.047449876,0.043696042,-0.26413503,-0.021007126,0.02615372,-0.13435844,0.063443184,0.12362927,-0.16690004,-0.11371994,0.035696633,-0.10181713,-0.026904877,0.050125666,0.07200977,0.015676968,-0.088596605,0.10732548,0.077825055,-0.19205292,-0.08693741,0.00097713,-0.037243485,0.124425076,0.19458514,0.13102508,-0.12093232,0.2246834,0.038278747,0.12278605,-0.056019153,0.049145345,0.05596978,-0.010561436,-0.07762195,0.09429345,0.01775799,-0.08350298,-0.05349784,0.10717833,0.029950498,-0.017990125,0.108066306,0.03655315,-0.1287293,0.10120859,-0.09789509,0.029915133,0.028349191,-0.1656774,0.1216533,0.0063594948,-0.032325327,0.11746489,0.119298086,-0.02212846,0.068167254,-0.087336466,-0.06354548,0.06187425,-0.084986806,-0.11552824,-0.20760284,0.15247314,0.08794144,-0.031695344,0.10628211,-0.0735483,-0.09835993,0.1416587,0.08258971,-0.09859442,-0.10267075,-0.011373381,0.160534,-0.14490107
TCGA-AC-A6IX-01A,-0.1379325,-0.018871648,0.1356562,0.023491967,-0.15304486,0.03765193,0.028170422,0.095913485,-0.14924559,-0.0053593814,-0.032478325,0.024766397,0.04330787,0.263359,-0.033725668,0.04315273,0.032556362,0.14227018,-0.017339291,-0.10840095,0.014312015,-0.025175927,-0.11218145,0.024658171,-0.09708162,0.041292127,-0.28394562,-0.060642056,0.015393616,-0.14815484,-0.050156295,0.1028017,-0.12806283,-0.14825344,0.0037737992,-0.05901637,-0.035216153,0.0442588,-0.06369453,0.022390222,-0.034834538,0.13225253,0.1823285,-0.05768379,-0.05263901,-0.09182533,-0.065304585,0.063130945,0.20460469,0.05833251,0.032809574,0.20658419,0.025361348,0.08878749,-0.103380814,0.057411585,0.079235084,-0.01938902,-0.07266259,0.058549084,0.07871682,-0.00299251,-0.04702948,0.09539189,0.045725055,-0.026530145,0.14177908,-0.013539774,-0.08297049,0.15678892,-0.19125992,0.014829297,0.0017958129,-0.18787344,0.10281749,-0.002143553,0.03433504,0.08773892,0.09382654,-0.0068215104,0.09300072,-0.06405059,-0.19987795,0.10715345,-0.097810976,-0.06004843,-0.05540767,0.15415673,0.15288968,0.015580624,0.12964131,-0.084698886,-0.0718744,0.1574985,0.07742177,0.011463808,-0.11596621,0.03918963,0.09900843,-0.118938245
TCGA-E2-A1IE-01A,-0.1383814,0.08061381,0.12519068,-0.003626505,-0.14503264,0.054589693,-0.05083449,0.15617588,-0.16578703,-0.025026359,-0.026519576,0.0024882024,0.10135977,0.21056622,0.024021868,-0.008333584,0.086955845,0.17857371,-0.051651105,-0.22147243,0.06856082,0.048127316,-0.06663454,0.06841484,-0.0031044316,0.011374206,-0.2884093,0.07751668,-0.027723303,-0.11630544,-0.03600857,0.018522453,-0.13699006,-0.14521185,-0.08029423,-0.10226282,-0.019553205,0.07486242,0.051509004,0.07827809,-0.061830755,0.03815609,0.055112608,-0.010599973,-0.07903472,-0.12353329,-0.041762523,0.06738141,0.17351209,0.11346519,-0.065124884,0.15472181,-0.0046343775,-0.016272781,-0.057951305,0.095378265,0.08591396,0.00078362756,-0.1698046,0.024957625,0.036410388,-0.12995394,-0.020388631,0.05709006,-0.02555301,0.032873154,0.07870131,-0.12066346,-0.09323435,0.105794884,-0.080436215,0.023465069,-0.071540415,-0.08495103,0.052183043,0.005656271,-0.045439668,0.16079162,0.13569862,-0.04791429,0.074196294,0.01950756,-0.08088755,0.15980141,-0.10984693,-0.15165886,-0.11353584,0.18771578,0.13467543,-0.08288493,0.03332434,-0.038832773,-0.07235132,0.17415285,-0.0057964213,-0.12537874,-0.0900837,0.058199905,0.07207492,-0.17533726
TCGA-D8-A1JG-01B,-0.098439515,-0.018531425,0.11341953,0.067647815,-0.16068114,-0.0044778534,-0.005194562,0.048467133,-0.15269081,-0.052294083,0.0025681953,-0.0040515745,-0.01747226,0.1547564,0.16782224,0.003249222,0.16389956,0.16137709,-0.04858184,-0.11446992,0.022565506,-0.04212266,-0.1233799,0.034954738,-0.038319618,0.031050213,-0.2007889,-0.015412479,-0.013984545,-0.18251316,-0.017675716,0.09508882,-0.21702696,-0.21037558,-0.039566156,-0.14240246,-0.14230652,0.09859069,-0.0323436,0.12824441,-0.07334266,0.081200175,0.0626878,-0.11364465,-0.10187539,-0.02718722,-0.025134893,0.059391066,0.09076403,0.05616657,-0.098547705,0.25877702,0.039008178,0.10450756,0.0030339188,0.021224065,0.15399566,0.023920434,-0.029713592,0.035514787,0.046402827,-0.042909607,-0.030320546,0.10474648,-0.028330142,0.013336544,0.15197481,-0.03737821,-0.12198229,0.1427986,-0.16042644,0.0314378,-0.045228288,-0.11686357,0.082294375,0.03349244,-0.04627088,0.10811207,0.16655165,-0.04188055,0.048317865,-0.07325353,-0.13249576,0.0627786,-0.015753092,-0.111119,-0.111762986,0.18435673,0.13032947,-0.051656462,0.0069584344,0.022651404,-0.060357623,0.07917393,0.076465696,-0.16967852,-0.09894211,0.0029695486,0.102413334,-0.13077626
TCGA-3C-AALI-01A,-0.105833925,0.017815618,0.2178769,0.16108097,-0.09202861,0.01626851,-0.09072355,0.09812276,-0.11177523,-0.03323706,-0.011685516,0.0055445824,-0.009120834,0.22128771,0.15110828,-0.04230392,0.059968587,0.20352255,0.0029446224,-0.09875267,-0.029961498,-0.020011699,-0.044100977,0.15472408,-0.084646076,0.011241916,-0.23723263,-0.011987086,0.040777866,-0.16109958,-0.046833474,0.08673548,-0.19507656,-0.13217276,-0.017044153,-0.07858143,-0.06704613,0.022494446,-0.08056623,0.06374454,-0.05588937,0.099542804,0.060894445,-0.10330074,-0.15583524,-0.019252744,-0.12414964,0.04676469,0.12076897,0.12756272,-0.019915076,0.20844425,0.054480843,0.09264176,-0.048522476,0.026122462,0.1628144,0.030967785,-0.05057441,0.1214017,-0.02072987,-0.03611788,-0.08572055,0.13385086,0.0005989136,-0.01706191,0.1548062,-0.031059152,-0.13034971,0.073186465,-0.1115492,0.041498512,-0.07105257,-0.14702383,0.009290511,0.009835162,-0.044683874,0.13566026,0.13657606,-0.07175283,0.13835041,-0.052191444,-0.1522065,0.05704731,-0.11968306,-0.085417084,-0.10178415,0.13525978,0.096594155,-0.043710895,0.052531954,-0.037577745,-0.066577345,0.085353605,-0.03806137,-0.16035464,-0.11048636,-0.017901015,0.037352,-0.10098627
TCGA-A2-A25E-01A,-0.16153875,0.024772897,0.13478528,0.077763006,-0.11106817,0.085492246,0.020074798,-0.026624678,-0.07110606,0.002507576,-0.016656969,-0.086008,0.10731655,0.18413281,0.13672516,-0.079913266,0.024538778,0.14569376,-0.028550832,-0.124458656,-0.039795417,0.017692294,-0.069726445,0.18408628,-0.055160012,-0.010064763,-0.2864981,0.024212591,-0.058324683,-0.114779554,-0.077285804,0.05083836,-0.24445024,-0.0962985,0.005647462,-0.17970033,-0.048075054,0.015213025,-0.006304109,-0.022347782,-0.04307786,0.045411944,0.014997719,-0.06181981,-0.027744778,0.02492237,0.019887233,0.11707375,0.17588802,0.039458625,0.0014073796,0.16012654,0.04894019,0.19126631,0.01611505,0.08725971,0.07866577,-0.017302953,-0.0807391,0.027667582,0.05699125,-0.10980188,-0.059878733,0.064525284,0.060983162,0.0766196,0.07999993,-0.017473344,-0.14685953,0.13149409,-0.060000014,0.026907561,-0.017876156,-0.14079139,0.05860423,-0.008749529,-0.05971339,0.18650521,0.13272534,-0.09937652,0.080319405,-0.082189105,-0.09790643,0.13616958,-0.13736887,-0.054920852,-0.072333775,0.16181861,0.16986619,-0.021623729,0.033044305,0.057299968,-0.10303904,0.13705914,0.07195519,-0.06319724,-0.16539259,-0.03322706,0.14715658,-0.14020026
TCGA-OL-A6VR-01A,-0.12466832,0.0026982264,0.15379363,0.086148255,-0.087787434,0.11164355,-0.07823704,0.07371375,-0.049458034,0.02138818,-0.051929545,0.0124247335,0.022130014,0.22141925,0.14767486,-0.12837477,0.12359889,0.042087726,-0.02568416,-0.119627975,0.033392843,0.049031373,-0.037438508,0.031539313,0.026619917,-0.019943867,-0.29171276,-0.005545876,-0.06278375,-0.10171852,-0.010814041,0.024763772,-0.21502373,-0.05756956,0.0023785916,-0.11974563,-0.06424328,0.05827281,-0.037565425,-0.012848643,-0.056431036,0.07990752,-0.0034440074,-0.100626655,-0.08131606,-0.08961482,-0.03283936,0.13891654,0.124074236,0.19278547,-0.025085257,0.25208193,0.053560786,0.077611454,0.013541739,0.011385538,0.14740379,0.0013868322,-0.08738702,0.024841962,-0.02806189,0.011658475,-0.05626562,0.10002515,-0.038081918,0.001654397,0.19149278,-0.019405821,-0.06673983,0.12090312,-0.04419408,0.063256405,-0.008918629,-0.13991943,0.0658475,0.0137958815,-0.105683886,0.13799435,0.17503577,-0.09711466,0.019868623,-0.097001374,-0.14380535,0.04782635,-0.033691555,-0.11031309,-0.057534665,0.17592199,0.21778072,0.018128406,0.08407028,-0.07359972,-0.04024949,0.10160399,0.08789844,-0.046490945,-0.15935317,-0.018404312,0.10597455,-0.18387294
TCGA-XX-A89A-01A,-0.14376622,0.01733709,0.106566735,0.11664193,-0.074829,0.03206156,0.031296372,0.021060463,-0.1282154,0.022644069,6.755789e-05,-0.033025857,0.026417444,0.25633687,0.07063797,-0.060716745,0.02875918,0.09201321,0.028604394,-0.101185195,0.012416757,-0.07782427,-0.13183369,0.08955785,-0.081012204,-0.047008198,-0.31028122,-0.05765061,0.070453,-0.23630045,-0.07419691,0.122643486,-0.07892245,-0.13129696,0.0012989643,-0.18576103,-0.05672483,0.029852148,-0.040972695,-0.014794018,-0.093324214,0.10745424,-0.017926238,-0.06475394,-0.15356298,0.029991046,-0.087030046,0.08617255,0.09124789,0.11508663,-0.03200431,0.24169871,0.025779517,0.11804273,-0.023487734,-0.017286737,0.121055335,0.016005294,-0.10395539,0.012260871,0.08352221,-0.0012867544,-0.06988896,0.03976547,-0.035060268,-0.026086736,0.12690386,-0.013407598,-0.14938508,0.041276567,-0.16051516,0.036964208,-0.07322795,-0.09904613,0.08735109,0.014006286,0.014606743,0.042230178,0.18310264,-0.062278524,0.05897201,-0.011304154,-0.17810103,0.122002415,-0.11300531,-0.042460337,-0.07901148,0.19377553,0.15410618,-0.069217175,0.09528385,-0.048712898,-0.0014435095,0.11501186,0.13941799,-0.07144259,-0.076754615,0.0069075497,0.07966498,-0.1297506
TCGA-AC-A5XU-01A,-0.08741734,0.1266073,0.20592958,-0.0037563767,-0.11380404,0.04763028,-0.022944834,0.054227218,-0.13134883,0.01336227,-0.027687643,-0.03187617,0.031543095,0.19758186,0.11687228,-0.023994759,-0.04063712,0.22258025,-0.005725706,-0.18007451,0.0027283959,0.057995573,-0.16695705,0.032139897,-0.03026933,0.049801573,-0.20453155,-0.095257886,0.07979239,-0.10404367,-0.030819949,0.0038809702,-0.18693855,-0.12827119,-0.05572295,-0.17438972,-0.11215893,0.06987046,-0.0010555239,-0.020664934,-0.060660742,0.095226824,0.045472063,-0.116611354,-0.03565514,-0.032916434,-0.02725517,0.025103936,0.17215207,0.14874084,0.05091373,0.13207708,0.034962315,0.17442784,0.02650197,0.0122358715,0.14764339,-0.014733639,-0.058336474,0.061006535,0.006730872,-0.014721666,-0.01645183,0.047667544,0.021849371,-0.044922817,0.100799486,0.06468278,-0.10338403,0.079888776,-0.18330932,0.10449665,-0.032885425,-0.20306483,0.12342059,-0.038903244,-0.040295113,0.12671477,0.11804511,-0.0063444707,0.030170562,0.028385341,-0.13487881,0.028438399,0.022139065,-0.08883724,0.021808572,0.17866212,0.1390186,-0.04671779,0.094674736,-0.018530441,-0.05775859,0.17802335,0.04001911,-0.17400831,-0.09798356,0.0047565307,0.13303067,-0.16268738
