,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
TCGA-BH-A0GZ-01A,-0.05882284,0.041544512,0.22056969,0.19132303,-0.073259875,0.12900238,-0.011571792,0.041339234,0.06835616,0.012293081,-0.045800187,-0.09933637,-0.13121781,0.09879348,0.12780908,-0.111019254,0.12998745,0.07305752,0.046550766,-0.055917844,0.016517838,0.022349868,-0.055185582,0.1541311,0.024209397,0.05882145,-0.13804,-0.038783386,-0.08036114,-0.13880192,0.022068873,0.021019777,-0.1820123,-0.22953853,-0.031579774,-0.16753794,-0.0911249,-0.08082277,-0.09170453,-0.019097535,-0.005744066,-0.013618592,0.05597065,-0.0645224,-0.068286635,-0.06590886,-0.008656809,0.010376629,0.13673548,0.15702736,0.03163567,0.08707158,0.039825853,0.06299744,-0.0561451,-0.007963038,0.15048379,-0.012028651,-0.004775826,0.014109146,-0.058564734,-0.015396413,-0.15130205,0.13610654,0.06003513,-0.07270276,0.14632988,0.008805969,-0.15791841,0.08022174,-0.2044528,-0.03141322,0.080217145,-0.29229835,0.07000525,-0.10603714,-0.077839345,0.07670361,0.024652498,-0.014371906,0.10015693,-0.056388013,-0.040604554,0.031152366,0.0026048596,-0.036115,-0.032960918,0.15114895,0.17262076,0.02589894,-0.015494298,-0.1978206,-0.04315891,-0.009706699,0.14156927,-0.108155146,-0.09108245,0.156102,0.10693648,-0.09429802
TCGA-A7-A4SF-01A,0.09594911,0.018077238,0.19440664,0.1533268,-0.08134871,0.13827765,-0.033273812,0.059812203,0.03226861,-0.004976948,0.0025465386,-0.053678807,-0.082106575,0.08374951,0.15470394,-0.038169343,-0.014120585,0.08753402,-0.0014887098,-0.046153683,0.08617606,-0.0064166915,0.021840826,0.11467544,-0.026321188,0.057076752,-0.27536395,-0.13902065,-0.05874676,-0.09231237,0.10209258,0.016710468,-0.124634,-0.20987779,-0.09743971,-0.19507617,-0.040511902,-0.030822696,-0.08372198,0.0096147,-0.051888227,-0.08210418,0.04747285,-0.038316604,-0.074355066,-0.0777545,-0.060152464,0.030001855,0.07797345,0.14286822,0.046843518,0.119276375,-0.013233133,0.09544276,-0.17025973,-0.031962257,0.13733776,0.08449868,-0.11486063,-0.0031322232,-0.0063838507,0.036198106,-0.14348263,0.17834544,-0.030588519,-0.19332525,0.19273846,0.06222642,-0.06161843,0.11301875,-0.22215968,-0.10994935,0.054266468,-0.20048486,0.09576781,-0.12183101,-0.005066397,0.054203715,0.0052810414,-0.07230094,0.054955043,0.055992685,-0.012929732,0.038792204,-0.074661285,-0.07053015,-0.0364295,0.12419349,0.22209918,-0.027531348,0.027160978,-0.1103081,0.0068150247,0.064613774,0.15900576,-0.06128794,-0.06612802,0.022742007,0.03742123,-0.10563637
TCGA-E9-A1RE-01A,0.00044709907,0.120298915,0.17711103,0.11635617,0.0007837899,0.15781845,-0.0016085117,0.08153678,-0.0112812035,0.059393685,0.013505668,-0.03849744,-0.03878914,0.0878451,0.14056237,-0.03817762,0.0465829,0.1907365,0.05807845,0.011058457,0.066942096,-0.0072516627,0.048768595,0.1885291,0.01794605,0.100801125,-0.2976936,0.046057142,-0.057274304,-0.09897112,0.06487589,0.040216606,-0.11185088,-0.19098984,-0.082954995,-0.19237098,-0.024528474,-0.06891745,-0.020631358,-0.024225106,0.0052488665,0.03778705,0.009519089,-0.055503882,-0.048538107,-0.10868564,-0.10900851,0.032087598,0.10118182,0.17392258,0.09457831,0.07398881,0.06235664,0.11598433,-0.13815002,-0.0032693637,0.14069904,-0.0067708977,-0.029279543,-0.011297899,0.029098894,0.0938956,-0.13291898,0.13469368,-0.0021207153,-0.11298662,0.19850032,0.06915462,-0.04122669,0.06335832,-0.18478997,0.007849508,0.045909915,-0.19328797,0.03146754,-0.08083629,0.13034518,0.1204339,0.052035883,-0.0078040124,0.07115909,0.007927297,-0.044811342,0.0102958605,-0.040431973,-0.10250963,-0.076187976,0.13658747,0.10663718,-0.055928145,0.03015013,-0.16854636,-0.04008154,0.032307647,0.15434477,-0.16316155,-0.15804581,0.09911266,0.039075095,-0.15770338
TCGA-AO-A0JM-01A,0.10361278,0.035483815,0.17039883,0.17811973,-0.06919281,0.06567642,0.051710602,0.087710984,0.07184128,0.01226924,-0.03340406,-0.015059841,-0.06349317,0.040939063,0.089417465,-0.0023413852,0.06985498,0.20691636,0.057928413,-0.14029405,0.05275381,0.025114784,0.07759021,0.097990215,-0.04171461,0.10240879,-0.21818718,-0.09707474,-0.10164163,-0.0863497,0.04673236,0.12379795,-0.1306105,-0.1943688,-0.08200148,-0.19894189,-0.11408956,-0.11648656,-0.04121669,-0.04598206,0.015003956,-0.03020092,0.118761696,-0.017619189,-0.056227572,-0.07877374,-0.12374644,0.09491356,0.055126436,0.1749815,0.052275892,0.10301959,-0.018152986,0.17834164,-0.113989405,0.12759434,0.10927537,0.017338917,-0.047346648,0.017914556,0.055100087,0.042161513,-0.13168772,0.16587156,0.07946646,-0.07860483,0.19260573,0.12377858,-0.06537514,0.0927333,-0.12862188,-0.052963488,-0.0008589674,-0.12056645,0.09739653,-0.10172545,-0.022931302,0.124380685,-0.049859732,-0.018959956,0.083403856,-0.01708052,-0.0448292,0.049357872,0.026210718,-0.07447737,-0.05432301,0.15136918,0.15607573,-0.021778615,-0.050781436,-0.13344745,0.05152462,0.028332734,0.18163918,-0.04268396,-0.1272143,0.111215234,0.09985444,-0.15254539
TCGA-C8-A1HE-01A,-0.01791093,0.029607283,0.2050849,0.13241851,0.011189144,0.14442146,0.046835136,0.03301587,0.037284847,0.09053403,-0.10626168,-0.07475848,-0.11714159,0.10665013,0.030178944,-0.0019256423,0.055412784,0.15455386,0.012824595,-0.06742087,0.07546301,-0.041026562,-0.0061890543,0.039931763,0.035273995,0.059524927,-0.22657683,-0.0007142711,-0.0191443,-0.08552591,0.06041729,0.09530909,-0.16191663,-0.19278705,-0.09158235,-0.18610686,-0.04975278,-0.048735764,-0.14310075,0.006507811,-0.04803202,0.021522537,0.07446029,-0.031230442,-0.03237369,-0.13674465,-0.11539801,0.0033486388,0.10874378,0.14280677,0.056667455,0.11381022,-0.0046080174,0.16052487,-0.096269794,-0.017222364,0.1749219,0.019800762,-0.056741547,0.061134778,-0.037441876,0.028779455,-0.10233548,0.14794447,0.05965556,-0.11082416,0.17149878,0.049281873,-0.13561317,0.080101565,-0.20511155,-0.08954362,0.08299018,-0.23918937,0.08394548,-0.096071854,-0.03922237,0.048393477,0.01845516,0.023936428,0.0654299,-0.028969921,-0.07458825,-0.005299571,-0.02494477,-0.058646712,-0.03072303,0.14199968,0.20025738,0.012980733,0.01085267,-0.17846759,0.031740107,-0.111491755,0.10670072,-0.13189675,-0.17073132,0.03480256,0.0069907582,-0.16227092
TCGA-B6-A0WT-01A,0.03196818,0.0485818,0.15704837,0.21548778,-0.041098185,0.1281274,0.05513186,0.020351434,0.0053675324,-0.021861853,-0.0057881544,-0.12339988,-0.1303354,0.089337654,0.11369974,-0.09410146,0.05425739,0.16531773,0.0096225105,-0.07574163,0.062454313,0.04462354,0.018070623,0.15646341,-0.019561106,0.118915595,-0.22336935,-0.09147617,-0.03389562,-0.09350843,0.03045095,0.037110046,-0.1410057,-0.25357434,-0.17911021,-0.2416737,-0.05477942,-0.07532778,-0.093958385,-0.0510815,-0.0036769607,0.052692223,0.043348882,-0.043020636,-0.11546553,-0.064553715,-0.12785971,0.14814809,0.12876725,0.007051164,0.08109857,0.13111241,0.039180834,0.010279931,-0.17565726,0.052760094,0.14194044,0.071468405,-0.007822606,0.034007583,0.07028153,0.016980052,-0.1303142,0.11697066,-0.010031105,-0.14018078,0.12996359,0.11123227,-0.05298651,0.121371984,-0.09171887,-0.007898499,0.0588547,-0.24303082,0.06381213,-0.11302431,-0.029481044,0.06961778,0.022970175,-0.0057513723,0.045373525,-0.0108988,-0.072483435,-0.008869257,-0.026832094,-0.1081514,0.062638044,0.05881485,0.1477483,-0.0027336436,0.017345656,-0.20111476,0.021505304,-0.027773226,0.07392637,-0.07843699,-0.13014652,0.010907303,-0.0055646067,-0.11833607
TCGA-E9-A22H-01A,0.027041094,-0.011565551,0.18219669,0.17333192,-0.004207641,0.14047594,0.08150558,0.06828907,0.046588488,0.050272223,0.010798011,0.007390956,-0.081385344,0.16218147,0.11535514,-0.13013223,0.048211634,0.07365739,-0.050326247,-0.018361798,0.05866415,0.05523285,0.005890797,0.09757729,0.015357069,0.09819199,-0.1842829,-0.058372673,-0.056574762,-0.08785284,0.07133761,0.053397354,-0.15768366,-0.20195265,-0.07061512,-0.106653,-0.078799546,-0.019831888,-0.09524465,-0.06994078,-0.014078497,-0.032860648,0.028152294,-0.07492704,-0.07355733,-0.06252498,-0.07506414,0.014532754,0.056842603,0.08420253,0.106361926,0.17504998,0.05692703,0.18332574,-0.14547487,0.046127245,0.18205807,0.07022875,-0.02673168,0.028093057,0.0460776,0.0053983107,-0.11650446,0.13492753,0.121416904,-0.1278285,0.16270004,0.07802755,-0.14501727,0.069799885,-0.1830723,0.027188359,0.09429493,-0.22443777,0.054324556,-0.08143492,-0.019691411,0.006338237,0.033068825,-0.057837717,0.0696142,0.06409153,-0.1398019,-0.0070371726,-0.00355724,-0.13646708,-0.027878745,0.11762906,0.2754105,-0.02192851,-0.010289286,-0.14096111,0.012234218,0.046369616,0.13923652,-0.14105721,-0.14538023,0.06383369,0.015977878,-0.10003753
TCGA-E2-A1LG-01A,0.06142881,0.061176892,0.17204595,0.1624308,-0.034881882,0.15168695,-0.02160948,0.05038081,-0.0021445546,-0.0018171716,0.031315073,-0.071974576,-0.018944768,0.045063093,0.07292518,-0.06753804,0.12630282,0.21544018,0.0065315478,-0.055032756,0.025634622,0.068658136,0.0074036797,0.09309173,-0.018827138,0.10115112,-0.31555834,-0.01742335,-0.067693785,-0.062718965,0.047359236,0.09287997,-0.12745413,-0.1721528,-0.14294113,-0.23354492,-0.09453519,-0.108049504,-0.037150413,-0.04039143,0.0013707625,0.016223932,0.18683764,-0.0368819,-0.030182017,-0.14171325,-0.09805001,0.112867236,0.10941926,0.11534406,0.07597793,0.10700606,-0.00955115,0.07059932,-0.02299026,0.026563168,0.13475953,0.04721101,-0.09658182,-0.00778482,-0.03150075,0.047702007,-0.11550753,0.17219128,-0.044376813,-0.18226045,0.16330153,-0.055474985,-0.10936578,0.062285513,-0.1244409,0.002905498,0.020194553,-0.211643,0.07658378,-0.038147684,0.013169413,0.12175741,0.023014583,-0.03956099,-0.008538347,-0.06944891,-0.05127705,0.012495256,-0.025506292,-0.034011118,-0.038403504,0.063874714,0.22369236,-0.056601737,0.023023099,-0.15576951,0.052248184,-0.0031313773,0.12170795,-0.037641644,-0.13424854,0.11518446,0.06855106,-0.13536061
TCGA-AR-A1AN-01A,0.051138166,0.090694,0.13444538,0.15450777,-0.03330735,0.08505651,0.054042015,0.05715853,0.004914453,0.026938891,-0.0894945,-0.026414506,-0.008567125,0.099779435,0.11340821,-0.05422091,0.038517375,0.18777052,-0.020097615,-0.043862503,-0.019025214,0.035359554,0.043393303,0.11273181,0.100897044,0.10103364,-0.27440348,-0.010029619,-0.025523482,-0.08519381,0.050125126,0.09025326,-0.07176606,-0.13017455,-0.029398007,-0.22373813,-0.042814992,-0.05111985,-0.10475525,-0.035135906,0.020002797,-0.0744669,0.02592746,-0.0307067,-0.04722188,-0.1453974,-0.013002461,-0.022955593,0.1961071,0.09910039,0.021678671,0.16805686,0.007053266,0.18921526,-0.10023834,0.026010795,0.16131388,0.10172961,-0.0479484,0.0351496,-0.010839395,-0.004101768,-0.08916982,0.12798162,0.115750976,-0.14684865,0.19629477,0.042041387,-0.089124985,0.08371507,-0.11767549,-0.05539572,0.012604312,-0.28305984,0.12281533,-0.11430626,-0.018987149,0.08385968,0.052244548,0.013880778,0.044796113,0.0033905455,-0.096695796,-0.01721727,-0.0017380664,0.02697991,-0.04350145,0.19606377,0.13546674,0.048040688,0.0052122236,-0.19625,0.06525588,0.004865034,0.10638153,-0.056320947,-0.20839141,0.066348165,0.0071441927,-0.11861739
TCGA-D8-A1X7-01A,0.006986672,0.03230684,0.20196515,0.13456292,-0.052173812,0.083914645,0.024207247,0.045987327,-0.005760838,0.0791456,-0.060580075,-0.044971343,-0.092312925,0.067015074,0.092521034,-0.037552882,0.052798796,0.12052136,-0.05309055,-0.025922552,0.0364726,-0.033345446,-0.020158289,0.12107795,0.10435757,0.11917898,-0.2207335,-0.036540274,-0.038283337,-0.12517308,0.08004788,0.12634024,-0.19998142,-0.19882615,-0.090105675,-0.21535474,-0.037742544,-0.05452233,-0.049551863,-0.059492443,-0.017558124,-0.037953332,0.10405583,-0.08323228,-0.0072255456,-0.022807742,-0.03968437,0.043130167,0.11253401,0.10112774,0.06546515,0.17805275,-0.009234951,0.09877721,-0.1622004,0.030293753,0.2419977,0.016608458,-0.085206404,-0.0008959912,0.03303562,0.081277736,-0.11930158,0.10411451,0.08208447,-0.07595949,0.15576388,-0.0061967536,-0.09863046,0.09448779,-0.19575328,-0.035298932,0.014530138,-0.22323613,0.045061685,-0.11702094,-0.028049754,0.058934946,0.05495381,-0.015318584,0.013277467,0.030639151,-0.1083306,-0.047312267,-0.12141153,0.0060285055,-0.067515545,0.10198666,0.18320419,-0.025339283,0.049392104,-0.18934855,-0.0024999215,0.055138912,0.11487567,-0.13796423,-0.15352532,0.07489891,0.031749025,-0.16049655
