,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
TCGA-AR-A24R-01A,0.0032809302,-0.020066984,0.11892109,0.0025238006,-0.084703974,0.01643548,0.017282955,0.013567215,-0.037937254,0.061491083,-0.03973178,-0.07671659,0.06937641,0.065716535,0.13611424,0.01968507,0.00046073296,0.11765083,0.021257594,-0.08667827,-0.071341135,0.04615477,-0.1065813,0.04010379,-0.054763358,0.05864812,-0.21220739,-0.07410762,0.0011020844,-0.08797594,-0.007944008,0.00021666421,-0.08140363,-0.11431023,0.0030825217,-0.08490888,0.03137932,0.10176965,-0.079297766,-0.044091534,-0.041447837,0.06686397,0.11356087,-0.016055994,-0.094803244,0.0009743815,-0.11567059,-0.021025423,0.07308132,0.11074852,-0.0346407,0.09423844,0.009239888,0.117794625,-0.11358808,0.14097795,0.048159007,-0.040740155,-0.016615905,0.03786836,0.03536759,0.039133277,-0.045626216,0.059954572,0.0030600652,-0.053442955,0.23173618,-0.016679622,-0.06214088,0.028667103,-0.06671891,0.023868797,-0.01686122,-0.1442267,0.07048153,-0.019363198,-0.03921096,0.121287175,0.037661266,0.018251823,-0.03861438,-0.030101415,-0.034757365,0.054125555,-0.08708422,-0.022445759,-0.055036157,0.08321678,0.15673819,0.08620598,0.09515488,-0.027962081,-0.031510655,0.10066923,0.07765879,-0.017046468,-0.14838968,-0.102115765,0.085260026,-0.10290966,-0.0638322,0.0116705485,0.119220294,-0.083668806,-0.11515549,-0.05631747,-0.030807495,-0.078859664,0.030543482,-0.023397168,-0.047519583,-0.005278427,-0.073207825,0.10910686,0.15840422,-0.0206609,-0.07471484,-0.03983811,-0.08864058,-0.08028397,0.075877115,-0.06968734,-0.029430157,0.04550249,-0.03473301,0.07191998,-0.048853956,0.09588662,0.10093475,0.062358007,0.13077399,-0.053877976,-0.021225946,-0.040053006,-0.15600243,-0.0023263877,0.0074318866,-0.004879905,0.0017155821,0.089211084,-0.044767395,-0.071187444,-0.013340505,0.002210182,0.04560962,-0.0074154646,-0.005282459,-0.055479933,-0.0074660345,0.054592185,-0.10139088,-0.0054666693,0.057187323,-0.058741525,-0.033762034,0.04409187,-0.004690919,-0.0140666375,-0.039158504,-0.057940803,-0.0730042,-0.085714,0.007543692,-0.11656526,0.04991979,0.06593292,0.08143426,0.06376904,-0.0052548894,-0.0024120728,-0.007478501,-0.12164675,0.14246464,0.065595604,0.060735572,-0.051525436,-0.02369925,0.04858251,0.073434435,0.10066548,-0.046573564,-0.05296834,-0.039258804,0.049407966,0.014486134,-0.07090284,-0.067742854,-0.0117251435,0.037845496,0.06706645,0.02479165,-0.036026597,-0.038107686,-0.021074997,-0.004973673,-0.051075593,-0.02480397,-0.01564867,-0.09353082,0.028160809
TCGA-A1-A0SP-01A,0.002493527,0.06363027,0.08192685,0.034494296,-0.08731165,0.08200809,-0.043826543,0.012498402,-0.1174051,0.021989496,-0.06921872,-0.042096317,0.016613487,0.12531106,0.10365879,-0.030594936,0.080805026,0.08393475,-0.013840086,-0.04117001,0.017724058,0.01608563,-0.12398823,0.037217934,0.06354202,-0.035714526,-0.17120716,-0.04366704,0.022495614,-0.13686024,-0.035773024,0.062239327,-0.09742272,-0.054303363,-0.009405104,-0.12540951,-0.077088475,0.028684173,-0.056824483,0.024436072,0.024457855,0.0056645353,0.1047288,-0.07630592,-0.05133762,0.026179485,0.024340905,0.036127392,0.11532811,0.092083745,0.022941452,0.07063388,0.08220796,0.06987096,0.03036894,0.04498244,0.086927205,0.008064642,-0.08879923,0.05850367,-0.0010963355,-0.081042625,-0.06478477,0.15279049,0.03210292,-0.063713714,0.097073056,-0.01420197,-0.06813835,0.08006533,-0.0625108,0.041560743,-0.013664991,-0.069563486,0.12477664,0.004065374,-0.06933115,0.064779736,0.07014655,-0.03550232,0.047345627,-0.059242,-0.15326105,0.067923084,-0.047097158,-0.09211007,-0.085429825,0.114196315,0.13604365,0.002176651,0.04392871,-0.028329162,-0.028794868,0.049764648,0.07934228,-0.038251664,-0.12352185,0.01581927,0.041912384,-0.05867404,-0.024916384,-0.0072965585,0.10935937,-0.05424905,-0.16206145,-0.024227634,-0.024369935,-0.013482353,0.09263038,0.006729185,-0.008795183,-0.0060933046,-0.20002194,0.092265315,0.06796348,-0.00086328754,-0.072170794,-0.09397545,0.00038594202,-0.032105546,0.054545734,-0.12739454,0.05806646,-0.0063989433,-0.08755163,0.037049197,-0.0040636146,0.11714826,-0.04044175,0.10849987,0.18347073,-0.0030239536,-0.0047810557,-0.013657587,-0.13772483,0.06629152,-0.062524945,0.10122484,-0.0028336192,0.020860355,-0.039132535,-0.15892074,-0.024767214,-0.023718907,0.0241803,0.0146019235,-0.050574645,0.0007946108,-0.007434147,0.010035694,-0.0888522,-0.01870401,0.080064215,0.016607402,-0.07390237,0.10618005,0.03950427,-0.13207978,-0.06925365,0.050659884,-0.0019753994,-0.09231949,0.06064934,-0.1110257,-0.059584133,0.03381783,0.026846847,0.03962281,-0.02551433,-0.016636003,-0.059364904,-0.092875786,0.025509266,0.08026278,0.11273545,-0.021284677,-0.018896364,0.088771015,0.042724647,0.08314404,-0.07915648,0.0030588077,-0.07609605,0.112842,0.03377833,-0.026431218,0.0066082715,-0.039875254,-0.010930607,0.10254281,0.027768767,-0.04354053,-0.0225092,-0.008113681,0.032656383,0.05021437,-0.02113574,0.08773832,-0.09966336,0.044115786
TCGA-A2-A0T4-01A,-0.019911777,-0.040530864,0.018920958,0.052894775,-0.10229484,0.087436646,-0.020445403,0.051998843,-0.09375048,-0.020936815,-0.04872603,-0.048976976,0.0074242493,0.02106272,0.07270271,-0.03575466,0.008790503,0.13176431,-0.0023591337,-0.09171294,0.063779615,0.014749432,-0.09190219,0.053527396,0.0058561563,0.020380205,-0.18738109,0.01613192,0.026141755,-0.052966315,-0.052878864,0.124083295,-0.16591787,-0.1524884,-0.046958175,-0.0710939,-0.10504184,0.069980204,-0.08969056,-0.03540945,0.005935683,0.046657287,0.11310562,-0.086307034,-0.054872826,-0.06011232,-0.024668915,-0.02648246,0.06129298,0.08972721,0.010585685,0.11062189,-0.01783328,0.01690387,-0.003768742,0.043845024,0.09191604,-0.021523764,-0.085848056,-0.027312292,0.041649215,-0.050039317,-0.0116762975,0.07479666,-0.058477394,-0.048798386,0.12423979,-0.004356913,-0.15263279,0.03991729,-0.08174848,0.06406121,-0.026026992,-0.10269398,0.11895743,0.00010871848,-0.05903056,0.01819519,0.04883705,-0.053153876,0.041865565,0.02213317,-0.086163305,0.06440931,-0.00803658,-0.066000566,-0.036688454,0.10968941,0.15461072,-0.04814836,0.034090266,-0.06203907,-0.030477038,0.11161749,0.06832112,-0.043006487,-0.065508254,-0.01759477,0.07198658,-0.07076678,-0.07021286,-0.06090302,0.13832128,-0.057374228,-0.16679493,-0.042032547,0.033041142,-0.019464424,0.050245095,-0.019622635,-0.043840323,0.016487595,-0.1741579,0.030410623,0.14792469,0.02740804,-0.05422492,-0.02770097,0.023349907,-0.049828935,0.040326487,-0.084593914,0.09634514,0.035533156,-0.07002557,0.06719842,0.025257677,0.08621612,0.021147812,0.08305982,0.16421208,-0.024520041,-0.01171466,0.011860428,-0.13735661,0.05847259,-0.045918826,0.03631041,-0.029215157,0.04945297,-0.082478784,-0.10985446,0.008755594,0.015337794,0.043070205,-0.016226342,-0.11789764,-0.027091006,-0.008372199,0.04329345,-0.113819316,-0.0027866017,0.009826655,0.014399474,-0.062221885,0.15575002,0.041555237,-0.10415162,-0.066069245,0.034782458,-0.023113284,-0.14520751,0.011924508,-0.15989946,-0.09186812,0.057583988,0.09279876,0.03996214,-0.0125356,-0.06478416,0.0016622469,-0.07920675,0.06785014,-0.005650513,0.06824151,0.007234218,-0.06626741,0.084684625,0.050837655,0.09403489,-0.10358823,-0.059271056,-0.08050407,0.074083515,0.073995434,0.005328647,-0.07938756,-0.018269986,0.010544327,0.05916179,0.056910273,0.021417858,-0.011317593,0.008903543,-0.016084732,0.05225743,0.0049172426,0.08736119,-0.045453895,0.013839033
TCGA-B6-A0IK-01A,-0.07077884,-0.0017108424,0.09879902,0.0412491,-0.049791332,0.104386434,-0.05335757,0.06351848,-0.050147023,-0.0012483945,-0.06636328,-0.0047690463,-0.0068857158,0.09569347,0.048039857,-0.07506531,0.012198265,0.13617997,-0.031740263,-0.09280518,0.010611268,-0.028945182,0.016319456,0.09839704,0.030847661,0.06978962,-0.14639592,-0.013622133,0.028138245,-0.12813605,-0.052717164,0.048231848,-0.12817267,-0.17860587,-0.03198881,-0.119941466,-0.07245051,0.05072189,-0.0008533076,-0.0026579509,-0.09393917,-0.0023269902,0.055936288,-0.074114226,0.013032064,-0.06762291,-0.04036257,-0.022340355,0.18071598,0.1334981,0.00048771896,0.13451877,0.05611089,0.03538347,0.014879265,0.039255295,0.1075814,0.0010523556,-0.088594876,0.046482522,0.034291744,0.006093135,-0.056378726,0.10506874,0.028662026,-0.04796955,0.11628464,0.0022508546,-0.0823132,0.040800966,-0.046303138,0.010104859,0.091606356,-0.1245885,0.04136292,0.023866385,-0.06696062,0.053845525,0.089193135,-0.011068494,0.041397277,-0.052068267,-0.10031363,0.014892265,-0.056736976,-0.047609232,-0.08319878,0.0942113,0.1806934,-0.058650892,0.012138536,-0.08878164,-0.03937915,0.059268385,0.042436305,-0.07827698,-0.07334285,-0.017823668,0.046358198,-0.10477787,-0.016296774,0.0017174304,0.035653353,-0.07525858,-0.06270914,0.037859328,0.027782205,-0.02830311,0.019023258,-0.052894253,-0.02905243,-0.044279873,-0.10706506,0.09474437,0.09462152,-0.0334669,-0.055112395,-0.02187167,0.0036167866,-0.044897173,0.04084645,-0.045574315,0.06477844,0.060841817,-0.055893045,0.09287123,-0.015392338,0.10969116,0.013818122,0.15391026,0.15054779,-0.017711218,-0.057909712,0.023713412,-0.10619802,-0.0207313,-0.059602246,0.031012451,-0.024317913,0.0757582,-0.10976379,-0.12919942,0.054352384,0.053885415,0.06053151,-0.004923558,-0.1168867,-0.015885286,0.007022453,-0.027979344,-0.07061432,0.03880901,0.0658457,-0.015849438,-0.0732764,0.10950656,0.0371606,-0.10747101,-0.0777097,-0.03354751,-0.038936783,-0.06917517,0.03701407,-0.16457906,-0.053417146,0.098104775,0.10924752,0.011260563,-0.03155047,-0.07148475,0.013217175,-0.120914854,0.050344277,0.017794795,0.015257998,0.0583005,-0.05745649,0.1332934,0.07936004,0.13292137,-0.13629808,-0.05592294,-0.045535833,0.096285984,0.048846453,-0.010486436,-0.059065815,-0.042566147,-0.029569713,0.042276595,0.036773596,0.0074892356,-0.09288528,-0.006144274,-0.043602314,0.029565653,0.072313115,0.025733504,-0.019139964,-0.02437798
TCGA-AQ-A1H3-01A,-0.07147942,-0.029461786,0.080275215,0.1066505,-0.025330221,0.1168849,-0.010054081,0.046265963,-0.08544623,-0.018394228,-0.07627609,-0.025514195,-0.0004209337,0.07758325,0.057829496,-0.051191676,-0.00459832,0.10624749,-0.04577271,-0.08963891,0.010089277,0.0037559373,-0.043600842,0.12646626,0.009572319,0.063504264,-0.16894275,-0.005226924,-0.03262453,-0.10954675,-0.034367587,0.11378441,-0.1242493,-0.18049319,-0.055181637,-0.098687604,-0.08224219,0.026306368,-0.03734132,8.048235e-05,-0.05290625,0.06560633,0.0832935,-0.101332,0.05569457,-0.09447556,-0.004573935,0.00583738,0.13574462,0.11751217,0.04213838,0.12559064,-0.008039637,0.046996,-0.03532772,0.055399355,0.074839406,0.042259872,-0.109841906,0.008698942,0.016708879,-0.047881328,-0.029502837,0.12914942,0.029859051,-0.037109002,0.13782668,0.05470749,-0.12177667,0.044927653,-0.0925248,-0.013476829,-0.0034072467,-0.12523608,0.087764464,-0.018648695,-0.009137183,0.029881936,0.057231087,-0.02104562,0.10108494,-0.04576241,-0.06100789,0.06374593,-0.010937955,-0.06611072,-0.101874776,0.04419679,0.17904745,-0.03317005,0.0662957,-0.06301732,-0.03176674,0.018836513,0.06577776,-0.03562805,-0.07524909,-0.027962055,0.07026526,-0.075269796,-0.07849496,0.016938137,0.075376384,-0.05157575,-0.031363502,-0.019744849,-0.0427189,-0.016574198,0.011794954,-0.06504729,-0.048745155,-0.050137192,-0.16789138,0.06555476,0.15413354,-0.020759964,0.008900088,0.03709867,0.024926888,-0.050402578,0.014933217,-0.10631165,0.05455594,-0.007817514,-0.052553624,0.03283062,-0.058206808,0.04328937,-0.024347546,0.092835724,0.12237055,-0.008965122,-0.054790836,0.0025061339,-0.13147123,0.03709237,-0.07902568,0.052640002,-0.03864875,0.052042894,-0.04404304,-0.09218276,0.034011032,0.038144574,0.07317798,-0.04470287,-0.15711921,-0.024287995,0.035855085,0.02145003,-0.061962575,0.06629066,0.048419345,-0.021260854,-0.05964621,0.08117166,0.017789468,-0.09201707,-0.056805145,0.003141057,-0.030665003,-0.11416897,0.023449205,-0.15385179,-0.098824896,0.111977056,0.07447975,0.001801742,-0.045215346,-0.01865245,-0.033605874,-0.1504702,0.01303201,-0.02530373,0.05061889,-0.09247891,-0.056482527,0.115625635,0.09853387,0.051032573,-0.12557636,-0.018654713,-0.07416585,0.055650726,0.10973834,0.026288833,-0.06841039,-0.032135364,0.029420923,0.029013382,0.06935194,-0.0051099756,-0.036326308,0.029257055,-0.07742425,-0.009077943,0.05215441,0.07215562,-0.015830236,0.004937021
TCGA-EW-A1J6-01A,-0.024108201,-0.028285269,0.116495565,0.085537516,-0.060028322,0.062036224,-0.062738344,0.04322747,-0.09510528,-0.0134529825,-0.06334391,-0.04459982,0.049084578,0.08470775,0.04758103,-0.03382155,0.018915644,0.13961025,0.0042784596,-0.11508755,-0.014912511,0.0024056341,-0.058195446,0.103223994,-0.07899702,0.04256611,-0.21718577,-0.010493418,-0.020666474,-0.037666578,-0.011908371,0.14624126,-0.15367815,-0.17266738,-0.0785162,-0.050842106,-0.068041325,0.06747921,-0.058232836,-0.025478486,-0.024009783,0.01879551,0.057258006,-0.06646069,0.013091608,-0.079546556,0.003758046,3.0535644e-05,0.12124957,0.13093963,-0.06161482,0.121946625,0.058803722,0.017464757,0.05076015,0.057331823,0.059819415,0.029199693,-0.1204389,0.06360326,0.008349637,-0.016459022,-0.049702488,0.017373865,0.03188312,-0.023652526,0.11539884,0.0012243977,-0.08458444,-0.015273018,-0.10206193,0.052143738,-0.041828863,-0.12985852,0.03735287,0.021167712,0.008720338,0.06662774,0.081731796,-0.02786347,0.038751442,-0.018190274,-0.07608989,0.043211732,0.012968914,-0.09142699,-0.038718104,0.08630449,0.16719498,-0.05374274,0.020538555,-0.045359056,-0.036947265,0.1495667,0.08437261,-0.035344005,-0.08744632,-0.039576128,0.07855951,-0.07797623,-0.06275356,-0.00926621,0.056294832,-0.08944967,-0.026138926,-0.024248695,0.026336469,-0.011658102,0.05826191,-0.04642861,-0.06307825,-0.017168928,-0.17803532,0.12301738,0.111971036,-0.008650749,-0.036616735,-0.036072746,0.00599956,-0.050000276,-0.021198299,-0.120817326,0.12583396,0.025306772,-0.01529064,0.046418183,0.040344384,0.06649184,-0.02385832,0.117835745,0.12000013,-0.018846171,-0.07229067,0.009207113,-0.1363167,0.007495608,-0.006314133,-0.008182251,0.0014930136,0.07142739,-0.09791738,-0.12586226,-0.0038795492,0.09722671,0.031653382,-0.020899618,-0.10299164,-0.012094635,0.03511531,-0.0014330517,-0.08299698,0.063428774,0.006136541,-0.0039770436,-0.017037308,0.09995671,0.054016724,-0.07220622,-0.061212774,-0.02290048,0.005585548,-0.10235124,-0.018384622,-0.20776321,-0.08702726,0.07937105,0.077134095,0.030024318,0.02940688,-0.073388994,0.023379507,-0.10278093,0.038775668,-0.036603786,0.06307523,0.0027033964,-0.04382271,0.06968167,0.042399965,0.073469475,-0.10937286,-0.086994536,-0.026424907,0.06922905,0.056687847,0.0033061642,-0.0707875,-0.03766943,0.04920665,0.06605675,0.0856398,0.017590562,-0.07696451,-0.038053963,-0.054845925,-0.012941183,0.052125473,0.020409456,-0.062012397,-0.010922395
TCGA-AR-A1AX-01A,-0.042319987,0.0032850364,0.12774682,0.006644655,-0.07878814,-0.023345403,0.016832318,-0.0009455621,-0.08697926,-0.049927555,-0.024658468,-0.046177562,0.030407736,0.07941858,0.04735667,-0.030161714,0.053027198,0.11331503,-0.032326784,-0.06637592,0.006910438,0.02827517,-0.029539295,0.080309406,0.04675179,0.04993382,-0.20666067,-0.013635986,0.0034472945,-0.106171295,-0.062021382,0.06443704,-0.14230557,-0.12344547,-0.005743386,-0.10940707,-0.008470278,0.023928924,-0.043002266,-0.027913691,-0.052619122,0.031768057,0.079156004,-0.060457397,-0.022584805,-0.04439588,-0.014643466,0.0253905,0.100563325,0.09179738,-0.016664557,0.13093036,0.027031833,0.058842994,-0.01536257,0.10013803,0.14423832,-0.016418368,-0.057166487,0.027111925,0.024015374,-0.026537692,-0.038608685,0.065001,0.019172024,-0.03789812,0.14206411,0.054122593,-0.11666541,0.032763522,-0.09200631,-0.010746207,0.0058215964,-0.09489216,0.07143234,-0.028118791,-0.020787213,0.09676398,0.08556511,-0.08405939,0.033116613,-0.029753082,-0.06728672,0.04872204,-0.06336998,-0.033898056,-0.100788,0.07879916,0.17673743,-0.03393807,0.010107629,-0.07494196,-0.038439468,0.08526603,0.08058689,-0.05415102,-0.04381241,-0.05223985,0.06559737,-0.08018904,-0.14275813,0.025710937,0.10297244,-0.05508541,-0.100755565,-0.066603094,0.0021043017,-0.017806558,0.017085765,-0.0369154,-0.030153716,-0.016491355,-0.18268973,0.10741046,0.11917492,-0.0330875,-0.008695608,-0.009273871,0.0037282158,-0.06000914,0.07105598,-0.030250948,0.04661375,0.0459884,-0.093075596,0.070102625,-0.025262788,0.093674816,0.04032479,0.06282172,0.17286852,0.018453954,-0.04727114,-0.016753018,-0.12815201,0.0976112,-0.078735694,0.04328925,-0.032441057,0.07307995,-0.08349857,-0.14716917,0.0006204321,0.045881543,0.032116354,-0.05286985,-0.03753344,-0.050365113,-0.0565681,0.00054578256,-0.07105406,0.0077608763,0.035045266,0.009511532,-0.08732867,0.09659789,-0.019579565,-0.11803634,-0.07469542,0.0100842845,-0.0464664,-0.12080579,-0.055152502,-0.10894808,-0.06253206,0.06743055,0.08933981,0.030998483,0.0039886395,-0.030164115,-0.0100247385,-0.14479269,0.045744628,-0.014972546,0.09427048,0.00876122,-0.026760949,0.08628022,0.08502311,0.09574038,-0.14862348,-0.006800853,-0.09524894,0.08292175,0.07214021,0.017985309,-0.08432978,0.005938928,0.05358855,0.061949037,0.055624384,0.021291545,-0.10330156,-0.030145036,-0.02230654,-0.013981101,0.015569157,0.07863507,-0.12543577,0.0024385534
TCGA-EW-A1OX-01A,-0.05359453,-0.011402214,0.13881747,0.068302356,-0.09699489,0.04897944,-0.019383902,-0.0024491954,-0.112185,-0.03279268,-0.040671814,-0.03771097,-0.021273615,0.16032188,0.055912357,-0.039460115,0.033188038,0.13459848,-0.02878672,-0.07131815,0.021998573,-0.018166421,-0.07900174,0.08887019,0.022452936,0.058612917,-0.23125988,-0.11748969,0.0061349245,-0.02941059,-0.022886207,0.1123835,-0.10501592,-0.15880756,0.006025168,-0.104967125,-0.026591333,0.03760353,-0.0032275177,0.021348368,-0.029567719,0.014067845,0.0041821143,-0.081812315,0.0015274688,-0.05470924,-0.04741078,0.0032287762,0.09358348,0.1675164,0.00078561733,0.08206471,0.02245309,0.08051289,0.033261158,0.065369874,0.06019592,-0.033386763,-0.058154345,0.017728735,0.05413388,-0.080823794,-0.013604752,0.08751423,0.03268372,-0.008519324,0.1444401,0.01545824,-0.11267343,-0.01009403,-0.10169174,0.046463598,0.0037965085,-0.16511261,0.06128934,0.064263515,0.051455054,0.04801815,0.10055534,-0.030266002,0.07994187,-0.06203782,-0.10224149,0.07741439,-0.0010924329,-0.015581789,-0.101362534,0.08215575,0.16312344,0.020389745,0.021585789,-0.08414717,-0.03267035,0.09594048,0.066773996,0.009657905,-0.090235256,-0.05290775,0.09973875,-0.032715343,-0.06992707,-0.02694583,0.044001322,-0.058386724,-0.060307007,-0.03145494,-0.050493743,-0.03591535,0.04496358,-0.006060919,-0.0451527,-0.013477854,-0.1596609,0.07681529,0.111629546,0.009290021,-0.10585784,-0.009076345,-0.03989534,-0.04583215,0.06263736,-0.113723926,0.08553647,0.019603861,-0.0034449426,-0.0041843634,-0.045043472,0.06883556,-0.02835062,0.07716094,0.1774702,0.028399013,-0.054028563,-0.09336793,-0.12128032,0.05549606,0.009334281,-0.012514886,-0.0067004007,0.050898377,-0.06466409,-0.11725091,-0.015853288,0.0699353,0.033308428,-0.108091034,-0.088242434,-0.010019478,0.049388494,-0.013268527,-0.06287884,0.0042534475,0.08201796,-0.048857346,-0.06300541,0.020938301,-0.046472285,-0.0705431,-0.086988546,-0.01623485,-0.026953056,-0.096481584,0.03007436,-0.11844219,-0.005393202,0.06219851,0.05667031,-0.0137563255,-0.026596371,-0.008425019,-0.04759002,-0.12469968,0.047802407,0.002864661,0.06830376,-0.030643225,-0.033660285,0.070437536,0.107869476,0.12102696,-0.07153723,-0.01708538,-0.023451885,0.10574619,0.051416617,0.041456223,-0.056234017,-0.046305373,0.10076284,0.032306835,0.101943344,0.054263815,-0.06871787,0.008108933,-0.078519136,-0.00775585,0.0490105,0.08786281,-0.0244624,0.031043425
TCGA-AR-A254-01A,-0.005422727,0.0069321706,0.1215543,0.06456378,-0.08410362,0.09288802,-0.036900513,0.06278488,-0.008718293,-0.008835502,-0.063842766,-0.019103836,0.03065444,0.07240994,0.0730595,-0.005775097,-0.003256517,0.11753293,0.030520074,-0.054269537,-0.043519724,-0.06487039,-0.11866985,0.027034847,-0.0016585374,0.11673816,-0.16497496,-0.050018158,0.04380088,-0.100518525,-0.020072185,0.047394566,-0.0956186,-0.1313235,-0.043654773,-0.11422592,-0.022070311,0.047177885,-0.04418875,-0.0580221,-0.06206611,0.06719041,0.1254848,-0.054432467,-0.06313614,-0.04917209,-0.093699716,-0.003966996,0.06906729,0.1204208,0.068911955,0.11794172,0.014498927,0.071920685,-0.08699557,0.071068056,0.02365153,-0.04845048,-0.036203988,0.016606767,0.076061375,-0.03099833,-0.0022546293,0.13157518,-0.0048968242,-0.051743273,0.1804563,0.0058496553,-0.08589705,0.0686691,-0.07885954,-0.055637695,0.023432666,-0.1346812,0.12100055,-0.008439002,-0.0104552265,0.07988603,0.1438133,0.027198214,-0.029562293,0.020900626,-0.122219525,0.016828315,-0.018446598,-0.051972322,-0.096794575,0.09807996,0.18314645,0.078243636,0.055411313,-0.000549506,-0.07593511,0.09116571,0.08915821,-0.096902765,-0.06067859,-0.04253669,-0.0018743671,-0.088573724,-0.07673385,-0.007223008,0.14251643,-0.09285967,-0.099874966,0.0002505747,-0.02284269,0.012973488,0.0019368028,-0.03442559,-0.033552688,-0.005881556,-0.14636436,0.06983,0.124040395,0.020838356,-0.08901537,-0.0037849785,-0.048912287,-0.074661404,0.055207334,-0.08117942,-0.018910501,-0.009083599,-0.07567483,0.011249634,-0.0921934,0.06959197,0.043401968,0.116097234,0.09869368,-0.042949393,-0.019803515,0.0065035066,-0.06982497,0.055992935,-0.007432169,-0.04487802,-0.0022331956,0.045915104,0.019650737,-0.098248705,0.07022021,-0.03230981,0.07512703,-0.07039026,-0.0815099,-0.037290588,-0.033559658,0.012400569,-0.11460705,0.07613702,0.043184582,-0.08224302,-0.06245845,0.08611104,0.009379525,-0.050752033,-0.053752445,-0.076675534,-0.07280528,-0.12408428,-0.001865184,-0.0723009,-0.030932013,0.10152921,0.11757896,0.031883847,0.004409642,0.048930086,-0.039356194,-0.11034044,0.058055345,0.058894847,0.06575965,-0.048336506,-0.038867872,0.12253128,0.049117677,0.087388895,-0.07831952,-0.022667728,-0.06822987,0.034829654,0.0568299,-0.007882043,-0.093391545,-0.114099234,0.00031556707,0.038752176,0.007494986,-0.045501355,-0.021321287,0.044800144,0.01234333,0.027183421,0.03343088,-0.01946931,-0.104355924,0.028507866
TCGA-AR-A24L-01A,-0.06147424,-0.03128234,0.10711024,0.06287277,-0.12673126,0.10229576,-0.035319556,0.0355527,-0.10066102,-0.036470424,-0.067083344,-0.009370917,0.029625524,0.07087786,0.082300134,-0.09693126,0.010986414,0.10566965,-0.005085448,-0.087831624,0.005455326,-0.0062816376,-0.026797825,0.07364619,-0.0026319614,0.097340524,-0.21299411,-0.008595916,-2.5547244e-05,-0.10601715,-0.03649691,0.07673141,-0.12052959,-0.14441422,-0.05289842,-0.09821177,-0.051995963,0.037103873,-0.07287035,-0.021322438,-0.0698204,0.106711745,0.059594583,-0.117273934,-0.034261767,-0.07295712,0.0006051466,0.0004641242,0.07504527,0.11228991,0.054593395,0.12496698,0.021952076,0.12683702,0.005595282,0.064727925,0.097677365,-0.06402108,-0.079822145,0.0360492,0.08296549,-0.052414462,-0.0031296979,0.079153344,0.038781323,0.0020838531,0.14685877,0.012560676,-0.08892598,0.025631992,-0.091580406,0.05397839,0.037778273,-0.09440994,0.041024704,-0.009572812,-0.049328864,0.038728368,0.08216589,-0.04891476,0.021149267,-0.029133635,-0.09614426,0.023593184,-0.0023086027,-0.037260845,-0.04256195,0.07878295,0.15333459,-0.06761777,0.06867115,-0.022028448,-0.009477513,0.09452098,0.085605025,-0.13457079,-0.04246715,-0.01991497,0.04250553,-0.13134463,-0.07981905,0.004207547,0.09802756,-0.055970218,-0.065848455,-0.047648147,-0.029475747,0.009210682,0.022233084,-0.039285347,-0.039358217,-0.041861776,-0.14652872,0.09725714,0.17061123,-0.034630522,-0.018438378,0.009971773,-0.009929102,-0.08693539,0.04922419,-0.07491354,0.063119166,0.051925268,-0.033390544,0.06548545,-0.05601668,0.044774,0.0258971,0.05329452,0.06395852,0.009522114,-0.06894441,-0.072805114,-0.043309797,0.048529595,-0.05470922,-0.021709295,0.016395573,0.05848276,-0.048960987,-0.14344265,0.008590093,0.017795745,0.068004824,-0.06557387,-0.11701407,-0.0077690138,0.025339916,-0.03751409,-0.11597766,0.06964262,0.03340688,-0.019084943,-0.052449368,0.10554499,-0.0071791196,-0.022510342,-0.09472561,-0.03241827,-0.032063495,-0.11284631,-0.03377499,-0.20213975,-0.061176654,0.123098016,0.10492466,0.02715192,0.003474766,-0.02276247,-0.052914042,-0.10823824,0.055380415,0.003697759,0.05387194,-0.028168138,-0.042824693,0.059767768,0.08781185,0.05186248,-0.09930581,-0.07371694,-0.06994175,0.07984052,0.0796785,0.022769084,-0.052564397,-0.007225457,0.036523584,0.036922455,0.050123524,0.040956695,-0.04911517,0.04655739,-0.06714539,-0.015771791,-0.0050911983,0.08644292,-0.091916606,-0.05572768
