,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
TCGA-C8-A27B-01A,-0.014669777,-0.19631718,0.11795937,0.04679428,-0.06494995,0.024580857,-0.021967934,-0.021131648,-0.0742786,0.10728166,-0.011306145,0.046378978,0.004465755,0.25516137,0.058528375,0.004015838,0.024161998,0.12803265,0.0072687473,-0.14629753,-0.04624928,-0.01800667,-0.11638321,0.050077427,-0.06159206,-0.05835065,-0.21528614,-0.030610606,0.0117117325,-0.10477632,-0.07252714,-0.01342088,-0.12878993,-0.15034273,-0.1570838,-0.14050739,-0.044625945,-0.030090943,-0.058156822,-0.038673,-0.08142269,0.09660203,0.11069697,-0.10361736,0.012276684,-0.06344863,0.04587602,0.040756147,0.035283424,0.1540128,0.1601037,-0.006729126,0.07506675,0.12516844,-0.011640074,0.025652202,0.074234895,0.088343754,-0.08333121,0.046031807,0.052386507,-0.030865341,-0.1228943,0.12167058,-0.103208594,-0.091579124,0.18543327,-0.0629657,-0.113496795,-0.015578725,-0.22123824,0.050557658,-0.014936726,-0.25344166,0.220616,0.016834753,0.0064760605,-0.035802662,0.15886612,0.022217955,0.046136227,-0.12373977,0.0640841,0.05349248,0.026747573,-0.059872266,0.027185574,0.12089509,0.21169744,-0.086469844,0.073567316,-0.10513261,0.18593697,0.09857137,0.052403282,-0.09905139,-0.029548261,-0.10231863,0.059325907,-0.097562715
TCGA-A2-A0CT-01A,0.03087823,-0.1634202,0.12536468,0.02114269,-0.00013372497,0.010311657,0.001338166,0.054810017,-0.062115896,0.14031303,-0.052699823,0.012939041,0.053715635,0.2573602,0.18176264,-0.0006533617,0.039180033,0.09260778,-0.013019205,-0.14414328,-0.112691775,-0.0846127,-0.09851316,0.1068686,-0.03428172,-0.006294767,-0.25353855,-0.0834615,-0.0056422385,-0.054037042,-0.030992495,0.016357653,-0.09367104,-0.19730914,-0.19405125,-0.14561658,-0.06563175,0.019955121,-0.029144427,-0.039654028,-0.07697019,0.06032537,0.13259146,-0.096198946,0.0131487055,0.0010953996,0.086471386,0.066447325,0.09688588,0.13349584,0.14955695,0.04030909,0.067243345,0.044709075,-0.06714578,0.011848151,0.10264592,0.022596154,-0.08650615,0.023155117,0.067842536,-0.022905614,-0.14893073,0.107889816,-0.09426256,-0.08528755,0.15799086,-0.035417717,-0.09165165,-0.03242746,-0.23319867,0.046297047,-0.057242684,-0.24888562,0.1708534,0.023458026,-0.115645066,0.04229113,0.18236554,0.018504959,0.07375865,-0.059947353,-0.007693044,0.12063224,-0.012347973,-0.015964203,0.07578206,0.12404127,0.14351395,-0.080026045,-0.016600834,-0.13808578,0.11142938,0.048443314,0.10797065,-0.07621879,-0.019676339,-0.066622026,0.053634748,-0.09826682
TCGA-A1-A0SQ-01A,-0.02765854,-0.10752246,0.121952966,0.067003995,-0.0038097645,-0.008389907,0.004593848,0.016725428,-0.05449468,0.07710232,0.014935137,0.011190018,0.049322613,0.29514635,0.19090492,-0.038300935,-0.002506454,0.07373624,-0.018087817,-0.20108058,-0.06661327,-0.085556544,-0.11464596,0.09319349,-0.029575879,-0.040917467,-0.20044835,-0.08282874,-0.057739154,-0.09903672,-0.03368511,0.07603107,-0.11630573,-0.1434003,-0.11714131,-0.12794621,-0.06873724,-0.0038366956,-0.039414957,-0.031189157,-0.04080104,0.053283244,0.14395781,-0.11223421,-0.006432178,-0.063842766,0.06896642,0.010187228,0.063842945,0.13466138,0.078304715,0.09157251,0.037494246,0.106878445,0.022062924,0.040274143,0.070722,0.012045025,-0.013413761,0.002186689,0.0456555,-0.04402619,-0.08181333,0.14966619,-0.06650346,-0.058754545,0.17965923,-0.020154126,-0.08430538,-0.03035058,-0.28104752,0.092636526,-0.0013659587,-0.24572338,0.14760014,0.06150754,-0.021921132,0.023515215,0.18796226,0.0042349254,0.04689186,-0.03544855,0.03719862,0.07591097,-0.0027116355,-0.024602553,0.05207431,0.06735778,0.24153423,-0.076055795,0.03813329,-0.13246873,0.21977766,0.09650561,0.07123517,-0.14938669,-0.0003486465,-0.120821536,0.06632569,-0.09658503
TCGA-E9-A1RC-01A,0.053900544,-0.09256551,0.13172433,0.10054753,0.007168954,0.027463775,0.039961662,0.00959362,-0.086664066,0.07414699,-0.015798135,-0.009052885,0.07264766,0.3119468,0.10059677,-0.0011693287,0.017411672,0.09876292,-0.028776592,-0.09858626,-0.048128136,-0.033418946,-0.112709016,0.12220993,-0.040830005,-0.05026441,-0.270915,-0.021502791,0.01686045,-0.05472684,-0.08492393,-0.022011409,-0.082364686,-0.21132602,-0.16664776,-0.09045402,-0.06077886,0.03542189,0.006564022,-0.07239438,-0.021164175,0.07833376,0.15694338,-0.0916602,0.024571344,0.019559039,0.07132743,0.09381324,0.07098706,0.10268361,0.08980483,-0.0040849126,0.095911324,0.08883251,0.0111185275,0.09762603,0.120156035,0.026306741,-0.09255474,-0.03471364,0.13556032,0.0009417278,-0.08500001,0.16042447,-0.056162246,0.008527169,0.25148815,0.00502584,-0.11085488,-0.03702463,-0.2301463,0.08126872,-0.085084036,-0.22183795,0.18635145,0.004619728,-0.04509746,0.0011247721,0.21044104,-0.004652609,0.08734723,-0.109610006,0.032006733,0.082338184,0.031642985,-0.10453346,0.028156055,0.097251765,0.18060456,-0.07865848,0.03444271,-0.06111782,0.07333194,0.06965825,0.098914385,-0.10642874,-0.02988219,-0.07328021,0.06360395,-0.027814694
TCGA-BH-A0DG-01A,0.00895513,-0.12232308,0.119070046,0.099927075,0.023440905,0.08859031,-0.033778902,0.0037606852,-0.026108412,0.13706271,-0.02583645,-0.028085133,0.0104778055,0.24466774,0.10303338,-0.06344883,0.012252411,0.1519933,-0.029839432,-0.11496211,-0.07384484,-0.04063242,-0.08863502,0.16179818,-0.06809296,-0.07225945,-0.2082588,-0.080616385,-0.03640407,-0.07229476,-0.06357589,-0.0019229595,-0.10546575,-0.2268621,-0.15574513,-0.10911626,-0.02448765,0.0067101,-0.050129794,-0.08257745,-0.055513445,0.14278454,0.11044316,-0.1251542,0.0026658194,-0.09844791,0.1433165,0.047371905,0.03910096,0.13979593,0.022158315,0.03709482,0.04615725,0.13505854,-0.03745374,-0.07531148,0.06272941,0.001810929,-0.08774625,0.035362836,0.021427872,0.041951176,-0.07242423,0.13264512,-0.048407864,-0.099460274,0.19013119,-0.0044673886,-0.096530735,-0.08889996,-0.21208864,0.12344859,-0.0032402005,-0.24080713,0.15951051,0.0043151593,-0.01740954,0.05110107,0.19983836,-0.012238052,0.09463165,-0.113798924,0.01842604,0.11806096,0.029245248,-0.12969826,-0.0227753,0.11330008,0.15979338,-0.016132329,-0.0019219266,-0.10487924,0.15193112,0.05570578,0.04912856,-0.059258167,-0.038770083,-0.11877567,0.116619185,-0.091439284
TCGA-AR-A1AQ-01A,-0.025086572,-0.16871269,0.08997274,0.075757705,-0.0137596475,0.010650192,-0.06682711,0.022359997,-0.072606705,0.12915021,-0.0005622721,0.03715199,-0.03300522,0.27252218,0.15103571,-0.106295556,0.033184465,0.092214435,0.004989752,-0.16794887,-0.13752472,0.0014988979,-0.09567418,0.09668056,-0.0003756695,-0.056520555,-0.24417958,-0.10511712,-0.029230302,-0.0632789,-0.094003476,0.07323464,-0.101506874,-0.17463697,-0.13282812,-0.17823675,-0.026297662,-0.01320968,-0.030330913,-0.015489706,-0.07686108,0.045902967,0.098503694,-0.13757825,-0.049005482,-0.027460348,0.101709574,0.055693045,0.058019243,0.12810703,0.11572539,0.0023593921,0.061952442,0.06174434,-0.055224825,0.041562747,0.07175946,0.11160967,-0.03586073,-0.010062205,0.053122874,-0.004395522,-0.14013728,0.17142043,-0.008230603,-0.07092207,0.17575714,-0.044674855,-0.101284444,-0.020477835,-0.23470484,0.14248557,-0.011912332,-0.26722816,0.18731575,0.031655114,-0.043759756,0.0853584,0.13887525,0.07321152,0.011935271,-0.1117538,0.060209416,0.07241344,-0.030287176,-0.020349508,0.06521553,0.08515804,0.19395235,-0.085570715,-0.05874366,-0.07268314,0.11908959,0.04433995,0.077899165,-0.060323607,-0.029701252,-0.059230085,0.03225166,-0.06356175
TCGA-BH-A0DK-01A,-0.012884432,-0.16835736,0.13444258,0.07790928,0.019590763,0.040005565,0.0020286578,0.021916248,-0.08091183,0.13008353,-0.012204293,-0.022810893,-0.0032074887,0.29558972,0.10952416,-0.0055562025,-0.062322684,0.09417871,-0.03614683,-0.17802192,-0.03723833,-0.073617585,-0.086155854,0.0733064,-0.051810205,-0.07160604,-0.28073975,-0.08416736,-0.024461027,-0.08832556,-0.08321715,0.06410068,-0.06786127,-0.18644747,-0.11509069,-0.14022675,-0.03320734,-0.018660076,0.0036187202,-0.048018157,-0.037597753,0.07570894,0.13912733,-0.15193944,0.01237849,-0.06639686,0.102728866,0.014001051,0.10548047,0.13395427,0.15646783,0.06373575,0.07198949,0.088043176,0.007432875,-0.011351146,0.1414052,0.06089528,-0.051386554,0.015802814,0.03723024,-0.079070196,-0.09812995,0.09878207,-0.05012295,-0.035810463,0.21192504,-0.034950398,-0.06362519,-0.08741747,-0.23206298,0.02743122,-0.059020348,-0.2629266,0.14956719,0.016292142,-0.09674933,0.025825894,0.11612761,-0.010269805,0.013671604,-0.098097496,-0.047212087,0.04562589,-0.046813164,-0.07074401,-0.06011302,0.11452449,0.1373333,-0.013746051,-0.006875001,-0.08677723,0.14514257,0.061269943,0.13710499,-0.11728349,-0.022594195,-0.10009511,0.0915082,-0.038593467
TCGA-S3-AA17-01A,-0.012521826,-0.13322695,0.16843392,0.07802644,0.026106335,0.05884033,0.009317049,0.018178223,0.0035995506,0.10252962,-0.025158737,0.0734375,0.018841863,0.27750838,0.13121578,0.03631059,0.046231907,0.102400646,-0.031451046,-0.110352464,-0.09758425,-0.05856498,-0.107359454,0.10500321,-0.045441825,-0.05512837,-0.239105,-0.02257818,-0.028826548,-0.091004275,-0.03532081,-0.0020640842,-0.08030437,-0.22787063,-0.12484423,-0.17392364,-0.077910945,-0.016683212,-0.04538846,-0.061228264,-0.06741656,0.123690575,0.1270627,-0.1408849,0.0078859795,-0.012270128,0.077451885,0.060584757,0.06121418,0.08196676,0.11916056,0.022996746,0.09940052,0.038934723,-0.046148334,0.07333452,0.10910257,0.07697675,-0.06451495,0.0063005732,0.06879077,0.032607857,-0.14168705,0.08425538,-0.06918022,-0.039898645,0.16789262,0.010062993,-0.09415404,-0.018859677,-0.20392855,0.076705664,-0.07806348,-0.27293164,0.171412,-0.0011678503,-0.041103177,0.04540453,0.2363877,-0.0039971047,0.041107986,-0.10032929,0.0067216367,0.01562625,-0.006116668,-0.007608858,0.042433284,0.13078626,0.15603887,-0.09548568,0.058923148,-0.10649678,0.18557055,0.062070206,0.07312987,-0.09882076,-0.024709946,-0.093207724,0.067238815,-0.08643966
TCGA-LL-A73Y-01A,-0.036736242,-0.1233536,0.15708709,0.032262806,-0.0645094,0.07985756,-0.0452246,0.01877961,-0.019840332,0.11174001,-0.042777885,0.025111927,0.04919382,0.27476314,0.18394734,-0.06524485,0.015860246,0.11583785,0.016324658,-0.15697001,-0.011226991,-0.014714189,-0.07090808,0.08928017,-0.016020553,-0.07718294,-0.14785138,-0.003837967,-0.027624466,-0.115254804,-0.03749929,0.014703922,-0.116108835,-0.2085915,-0.16602781,-0.08730934,-0.02202581,-0.036687583,0.07483021,0.023759129,0.042181816,0.035589587,0.13558453,-0.17466253,0.021920793,-0.035331678,0.07238803,0.053675704,0.03215837,0.1873718,0.10874687,-0.0033673758,0.08198511,0.06686691,-0.05005788,-0.021975404,0.09566373,0.025378034,-0.05634552,0.016836721,0.01822866,-0.019485055,-0.12436348,0.12873684,-0.045141194,-0.03810466,0.18161325,-0.0545742,-0.08868585,0.0031317014,-0.19159429,0.11977328,-0.009687351,-0.28625816,0.24974014,0.021149065,0.012803644,0.034018315,0.21133466,-0.016028326,0.03517427,-0.13320266,0.019062627,0.064983904,-0.007303771,-0.07500513,0.04587535,0.069514245,0.21483585,-0.14444765,0.0048689134,-0.086180866,0.07034891,0.065349124,0.10089264,-0.082809985,0.022579204,-0.09473817,0.07060226,-0.082308404
TCGA-EW-A1PA-01A,0.008209896,-0.12568416,0.09118389,0.061285436,-0.04256311,0.011734728,-0.008825333,0.044117793,-0.018221335,0.12909546,-0.017631834,0.03601557,0.022402888,0.25013548,0.16378547,-0.03163176,0.023195647,0.14020693,-0.07822299,-0.17126659,-0.11489674,-0.033652715,-0.13582201,0.1311651,-0.03963372,-0.11112413,-0.20478852,-0.107676946,0.0023651912,-0.06881115,-0.05648181,0.01783118,-0.13118324,-0.14943159,-0.16921869,-0.097780965,-0.0597935,-0.009033546,-0.04338141,-0.018600823,-0.029268365,0.10973179,0.11114208,-0.17757517,-0.03235695,-0.01774528,0.06469325,0.02902941,0.1016757,0.13004479,0.1888066,0.024458958,0.041779783,0.066515215,-0.03051115,0.02330689,0.06916145,0.08016612,-0.08361992,-0.023069285,0.016024567,-0.059179697,-0.1573384,0.14114466,-0.06601353,-0.0011115078,0.17323081,0.0020333196,0.019467654,-0.04662632,-0.21660356,0.14981063,-0.044518,-0.25783348,0.15680623,0.057854492,-0.041068252,0.04700724,0.20033284,-0.019353796,0.043060925,-0.09709548,-0.021616083,0.08280624,0.014953406,-0.070052095,-0.014457546,0.10740322,0.16782542,-0.07624744,0.034758404,-0.16334815,0.1300185,0.06327805,0.07975053,-0.03624074,0.0061890827,-0.07764426,0.09043224,-0.069933906
