,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
TCGA-OL-A5RZ-01A,-0.020684564,-0.049412258,0.092777975,0.010154236,0.069679044,-0.041078012,-0.0008458702,0.024410563,0.0420724,0.07011937,-0.014816614,0.048425376,0.082753845,0.17938079,0.115892805,-0.055319216,-0.08023877,0.05281564,-0.024049807,-0.050388977,-0.015151824,-0.03708271,-0.019043507,0.04766051,-0.028565122,-0.052207243,-0.18396504,-0.03139929,0.07375829,-0.06917183,-0.10507522,0.087517284,-0.08464415,-0.10739969,-0.07450361,-0.16786973,-0.082891196,-0.019800482,-0.06631026,-0.0006337073,-0.0045188563,0.0928805,0.09528923,-0.042684834,-0.033870265,0.00056335464,0.036632698,0.058781695,-0.031382814,-0.027341029,0.095346555,-0.00545488,0.05090636,0.10190109,0.034864143,0.05729716,-0.012128878,-0.0012445095,-0.019158132,0.041086774,0.0825623,-0.051908955,0.009422574,0.12601873,-0.02546445,-0.05489061,0.14537145,0.05326127,-0.079514,0.034365837,-0.053667374,0.058046676,-0.024422668,-0.13146418,0.20106089,0.012045507,0.008695546,-0.014961081,0.0673782,-0.011136285,-0.049377464,-0.04587414,0.018655712,0.066520505,0.023530347,-0.053851143,0.015185362,0.035692547,0.11710254,-0.04255839,0.07512896,-0.03264926,0.032338273,0.022966329,0.07079079,-0.04461158,-0.048064046,-0.07459487,0.08256775,-0.088045776,0.06186546,0.042724665,-0.020094002,-0.03388485,-0.13489284,0.0707976,-0.037925065,-0.09365907,-0.035908952,-0.05455122,0.05484665,-0.10189636,-0.09085374,0.024305454,0.11647075,-0.022322929,0.04973882,-0.01462471,-0.043039892,-0.026077947,0.101102166,-0.10810447,0.050402597,-0.020366315,0.1377686,-0.009532771,-0.042174775,-0.003915898,0.010221637,0.106334575,0.12483172,-0.10196186,0.016345607,-0.13121171,-0.08918585,-0.09092947,0.032598805,-0.050972167,-0.02913399,0.05751498,-0.07750405,-0.1722725,-0.05638474,-0.03191841,-0.0338122,0.021140527,-0.08864558,-0.026329882,-0.061196648,-0.026131583,-0.035070997,0.0034770556,-0.03214965,0.078809015,-0.107194945,-0.015565959,0.03871248,-0.06759217,-0.037953,0.002944943,0.021147354,-0.026941326,-0.0070970226,-0.26448312,-0.021246197,0.04829034,0.069091916,0.037691835,-0.07655471,-0.021282813,-0.037602004,-0.066228084,0.0573981,-0.03243118,0.032046903,-0.08711461,-0.03832331,0.062378906,0.05378875,0.15332249,0.0025750368,-0.07415534,0.0402169,0.016576951,-0.02819961,-0.024919402,-0.17631066,-0.05808847,-0.046026632,0.023966886,0.08251654,-0.11037643,-0.058216266,0.0125731975,-0.002774265,0.060863942,0.07593984,0.020975335,0.031058649,-0.07136827
TCGA-AR-A1AR-01A,0.012107424,-0.09730815,0.03318169,0.054910325,-0.0055415635,0.053281054,-0.009425947,0.0144510465,-0.035157364,0.05378302,-0.008421776,0.0045340434,0.04152273,0.17335407,0.08432205,-0.007173732,0.08178141,0.05859432,0.023405157,-0.064414896,-0.0034732823,-0.08950354,-0.10751857,0.08255759,0.013820655,-0.17086801,-0.16176921,-0.020805525,0.01150768,-0.032315772,-0.03549285,-0.023355847,-0.070973516,-0.09124442,-0.15038995,-0.08053131,0.008775714,-0.039109085,-0.017428663,-0.08824768,-0.09928538,0.10629684,0.13527967,-0.08219773,-0.0068090395,0.030625524,0.06767894,0.10733964,-0.00086762314,0.10146001,0.11656071,0.08391819,0.032649197,-0.005143861,-0.021901142,-0.009801794,0.08732437,0.0087632425,0.03344732,0.052475933,0.112678364,0.051574223,0.03369709,0.08003673,-0.093358986,-0.021721449,0.16149199,0.012606582,-0.064304926,0.015089606,-0.14519754,-0.025794812,0.037424598,-0.17433734,0.14371112,-0.04292795,-0.022314819,-0.009395972,0.10738974,0.028701168,0.02499324,0.012269508,0.018965287,0.01056153,0.09158495,-0.031965684,0.0063388566,0.07863376,0.11047839,-0.057008684,0.018359063,-0.083568364,-0.01903597,-0.016776137,0.13865758,-0.07944583,0.026944363,0.0016798713,0.0031051347,-0.042918086,-0.019301739,-0.0054273573,0.043340635,-0.0076562674,-0.01712196,-0.096537255,-0.042758726,-0.11910537,0.1058921,-0.098764986,-0.026952386,-0.12273994,-0.106382206,0.2020201,0.15067047,-0.038165767,-0.004974197,0.01551512,0.026117256,0.0040526874,-0.0043087793,-0.10673419,0.011837248,0.055781048,0.047266778,-0.08923045,-0.05565493,-0.11887166,-0.03828252,0.12923427,0.04261517,-0.084689446,-0.048626956,0.029665468,-0.06745252,-0.051061653,-0.02853081,0.014063837,-0.028582858,0.009965132,-0.033335254,-0.15945473,-0.012409051,-0.039978743,0.025686163,0.09569698,-0.16162342,-0.06566008,-0.08707951,-0.06421674,0.0181985,0.056416232,0.022597834,0.030161452,-0.0014118315,0.055971272,0.020197649,-0.016156912,-0.079741515,-0.03937247,0.03374217,0.018085323,0.045482974,-0.18004891,0.03089281,-0.015450625,0.02225103,0.10715763,0.011672229,0.009154872,-0.084398806,-0.043422945,-0.06811108,-0.031202475,0.040994383,-0.021135872,-0.046900675,0.12380885,0.04896965,0.08450702,-0.01196774,-0.010444784,-0.06624066,0.05392231,-0.009950647,-0.026371362,-0.11494152,-0.07413014,0.0028368938,0.0142892,0.018393649,0.01594158,0.01351542,-0.0118275145,-0.040985312,0.025216168,0.10608553,0.0650694,0.006592222,0.020380296
TCGA-BH-A8FZ-01A,-0.037823994,-0.12364505,0.030130873,0.0637889,-0.074780114,0.0020525677,0.0043372754,0.009337453,-0.09023706,0.08329152,-0.0422919,0.0023398744,0.047449294,0.11786816,0.078339644,-0.02579655,0.018829117,0.030251158,-0.048786033,-0.100316085,-0.008979686,-0.010847289,-0.046647266,0.036391657,0.0034462833,0.0021360598,-0.18312906,-0.08619336,0.06504159,-0.038427018,-0.09052617,0.030109443,-0.016205397,-0.09078006,-0.050932,-0.13617335,-0.05656256,-0.0807698,-0.007204793,-0.02844803,0.05535774,0.07547032,0.15796293,-0.13539647,0.036227465,-0.08865916,0.00973265,-0.01174788,0.03758462,0.15241495,0.1576966,0.019024165,0.048168056,0.08040415,-0.07250789,0.045040533,0.032695938,0.022019625,-0.048330218,-0.007972435,0.047546845,0.042911906,0.045683056,0.12583956,-0.08153306,-0.056473464,0.12677391,0.021161504,-0.030311892,0.024856655,-0.19780742,-0.011307484,-0.0143399155,-0.1745504,0.089873664,0.05274215,-0.06293799,0.006561396,0.19142881,-0.020794023,0.04642524,-0.03877523,0.020310031,0.044424288,-0.065327294,-0.012244148,-0.030433895,0.05036462,0.029730713,-0.07657375,0.005353279,-0.045111842,-0.021929985,0.04943233,0.10831861,-0.04117472,-0.012014161,-0.08428091,0.039894983,-0.017397858,0.06289335,0.13197318,-0.04475298,-0.06613569,-0.0043049813,-0.0073435847,-0.023528844,-0.08961455,0.034269758,-0.00010581155,-0.03533531,-0.12789236,-0.09737949,0.117205925,0.0815707,-0.0668923,-7.801633e-05,-0.06736905,0.010825918,0.098073535,0.06733762,-0.08770697,0.048871774,0.08315522,0.04531882,-0.05518274,-0.034614798,0.043026797,0.014456255,0.07634087,4.4076132e-05,0.010076161,0.022131348,-0.02910457,-0.07913759,-0.03166572,0.033471163,-0.012406725,0.07575144,0.07004661,0.014126281,-0.11670239,-0.01264187,-0.04148533,0.033701338,0.034762036,-0.15659001,-0.05525147,-0.021462493,-0.07086302,0.08828465,-0.008230659,-0.0466673,0.034607496,-0.090850994,-0.00075034844,0.04367121,-0.13410905,-0.044874687,0.025223723,0.041736614,-0.012773007,0.004522651,-0.121553265,0.039275754,-0.0117679285,0.07929384,0.09876173,-0.06607387,-0.037425887,0.0237748,-0.11748044,0.05729053,-0.053774398,0.02698821,-0.058067057,-0.027144426,0.029886032,0.03202053,0.18908183,0.042247813,-0.03389107,-0.044413093,0.08760592,0.04780194,0.017023481,-0.20080592,-0.052952673,0.0016570509,-0.047623392,0.017459597,-0.014858834,0.05185594,0.040214784,-0.04619862,0.035599068,0.13359521,-0.018117826,-0.15418659,-0.027073782
TCGA-E2-A1B0-01A,0.08689177,-0.061226524,0.10519266,0.10750098,-0.07175171,0.015868228,-0.02712446,-0.018061101,0.07680049,0.07522254,0.016849259,-0.034228038,-0.0366759,0.11189512,0.06599263,-0.047798585,0.0306303,0.020801049,0.03947456,-0.01013105,-0.053828612,-0.08565391,0.004641665,0.0445402,0.014517216,-0.020457895,-0.1371191,0.08538645,0.02568914,0.012174098,-0.028914068,0.023822315,-0.13744883,-0.070208065,-0.10938444,-0.14272599,-0.062149864,-0.0066008307,-0.03892596,0.013461208,-0.009138151,0.062305193,0.06235318,0.004068632,-0.016813533,-0.035478007,0.09609873,0.069370516,0.09738967,0.027156772,0.09348493,0.043037374,0.04551308,0.060636155,-0.007700701,0.003499009,0.13081586,0.042232066,-0.04081761,0.043021996,0.0004511853,0.014229562,-0.072947904,0.14398603,-0.076487236,-0.085680984,0.09231853,-0.05654092,-0.016863536,-0.0037246333,-0.07393577,0.11442318,0.030392593,-0.16277526,0.025920603,0.03803965,-0.051471308,-0.0061911214,0.0944155,0.030044436,-0.017238444,-0.03964275,-0.011220992,0.0630691,-0.022879187,-0.022995163,0.042687055,0.07360489,0.056520764,-0.107499205,0.003681722,-0.05647375,0.10931629,-0.035919346,0.1224381,-0.05909334,-0.0631717,-0.0090947235,-0.015597242,-0.12496099,-0.004218928,0.06759602,-0.01496992,-0.12737285,-0.022486435,0.00286993,-0.02938034,-0.15751381,0.0055106953,-0.11003364,-0.036159948,-0.19436872,-0.08813103,0.14134935,0.06119839,0.0052122264,0.006554547,-0.07750845,-0.020275284,-0.019916836,0.10445874,-0.0996759,0.035277825,0.09770717,0.11956596,-0.013705601,-0.074034564,0.010191217,0.0024937699,0.1108271,0.0873215,-0.010523138,-0.020193305,-0.026818683,-0.14414027,-0.106414445,-0.026717091,-0.08757915,-0.091488145,0.06950048,-0.054813534,-0.09316887,0.08590738,0.024608513,0.0050469716,-0.043531436,-0.09859647,-0.109016,-0.054450832,-0.081695825,-0.061127417,-0.059685066,0.020715114,0.03237143,-0.06676274,0.021078419,0.03257491,-0.103876784,-0.030098489,-0.010658949,0.06292562,0.004159493,0.02606291,-0.22939464,-0.023223212,0.006887972,0.05557593,-0.0042377003,-0.023836227,0.016030544,-0.081569955,-0.0060649384,-0.024101447,0.07453189,0.10452409,0.03656958,-0.08418088,0.052597694,0.08231529,0.21652134,0.07366825,-0.083515905,0.010368856,0.079226635,0.018789146,-0.057659503,-0.02690015,0.011248829,0.023737507,0.13699293,-0.031903785,-0.029728897,-0.01430027,-0.033442933,0.030596916,0.01798101,0.048700128,0.061898835,0.03330499,-0.06402835
TCGA-AN-A0XU-01A,0.038401112,-0.019930169,0.057370346,-0.025207588,-0.007391617,0.07114677,-0.029082807,0.041653454,-0.0657113,0.008096378,-0.030930784,-0.021631334,-0.0129079055,0.13385427,0.07329757,-0.030576982,0.010974003,-0.012068417,0.08371126,-0.09342376,-0.08399662,-0.028495023,-0.02137618,-0.038780976,-0.11958223,-0.034313314,-0.1464864,0.0021124098,-0.06935903,-0.043268453,-0.09815771,0.093644515,-0.12033237,-0.08506576,-0.14924337,-0.081432655,-0.041519333,0.030912304,-0.06880561,-0.09160782,0.024253229,0.047844995,0.13318294,0.00041672014,0.018003479,-0.037849415,0.10371973,-0.019415611,0.11411245,-0.019676128,0.042973246,0.0013082337,0.02815566,0.040060747,0.03357366,-0.041480944,0.075229906,-0.042427283,-0.06302024,0.06381191,0.10351212,0.14310943,-0.060072824,0.011239555,-0.019605132,0.016172882,0.036278453,0.035950243,-0.029769124,0.03909114,-0.09446861,0.08808408,-0.049661916,-0.2832936,0.044155315,-0.031587936,0.05160053,0.052563086,0.20255953,-0.0045926315,-0.018143997,0.032045588,-0.03763264,0.0046916343,-0.043220043,-0.105957285,0.03716022,0.002741814,0.116879,-0.13545352,0.009428257,-0.1251585,0.030120227,0.0853981,0.051905405,-0.05162232,-0.06266646,-0.0609901,-0.012079983,-0.09720002,0.059123363,0.09464658,0.07117478,-0.003006678,-0.052486096,0.02125074,-0.050072473,-0.098696195,0.11907845,0.044212513,-0.03195327,-0.12865649,-0.08202608,0.11830505,0.16437075,-0.07201842,-0.039071944,-0.06412376,-0.045374997,0.060893428,0.10193459,-0.020592522,0.03315716,0.058538385,0.08866573,0.022055896,-0.05022275,0.054784123,-0.039602935,0.047841273,0.11029876,-0.049145292,-0.0019257553,-0.052884553,-0.11531809,-0.028721912,-0.0034543744,-0.040275183,-0.06764823,-0.019333467,-0.059712116,-0.08646719,0.0182826,0.04299595,0.016181145,-0.0073109004,-0.08223502,-0.042534642,-0.03475177,-0.05876473,0.017094351,0.06240653,0.08216536,-0.026145471,0.003627708,0.03431351,0.020231547,-0.044151384,0.017865608,-0.027910385,0.020507177,0.012343236,0.011054565,-0.16746615,0.042636517,-0.022147287,-0.006484293,0.078865886,-0.013106321,-0.032349985,-0.11781783,-0.029795514,0.042474393,0.049000744,0.012772301,-0.036081903,-0.1084147,0.10516999,0.058994725,0.14237483,-0.03886779,-0.0022288882,-0.06800045,0.10719591,0.08458749,-0.039200757,-0.112312734,0.005996418,0.01089835,0.071077056,0.095947996,-0.08034758,-0.060268037,0.024363592,-0.034717605,0.056712147,0.0762166,0.05029269,-0.111873806,-0.0847124
TCGA-D8-A27G-01A,-0.034407515,-0.060952898,0.12925892,0.0867225,-0.07309026,0.06295169,0.024761787,0.00019159324,0.016135033,0.053729374,0.028954143,-0.0921036,-0.041856054,0.19374098,0.006776415,-0.028520402,0.049849905,0.014825804,-0.038114186,-0.07880783,0.010830717,-0.07168353,-0.03016809,0.053363014,0.006326763,-0.038591087,-0.112326995,-0.022574665,-0.01589422,-0.007582081,0.0028771465,0.013000332,-5.180003e-06,-0.10671721,-0.046922885,-0.06238967,0.027148565,-0.040213257,-0.06002498,0.020109586,-0.020744698,0.08702581,0.06385663,-0.054026145,-0.053730655,-0.045817025,0.026720166,0.000293365,0.002641737,-0.00031436596,0.12841214,0.00015787588,0.07593642,0.076792374,0.07256158,-0.006137268,0.0509602,0.00020070824,0.031065667,-0.0026836053,0.022280028,-0.026997935,-0.060662594,0.116090916,0.01658553,-0.04953872,0.1194658,0.025428634,-0.010369903,-0.04607285,-0.19065373,0.056824394,0.0469621,-0.14416562,0.10318534,0.018349554,0.010856198,0.026806321,0.14819863,0.002906001,0.09500223,-0.08896339,-0.040419623,0.094324775,-0.067869075,-0.05883931,0.041449,-0.019134263,0.18292175,-0.053442463,-0.04301518,0.03800606,0.11657923,0.061970804,0.11826237,0.0036425616,0.020023175,0.0072954725,0.014426462,-0.015088571,-0.044402916,0.04148225,-0.028550033,-0.10118011,-0.04867033,0.0020759008,0.010051312,-0.10338897,0.019785874,-0.07662013,0.01901489,-0.041168436,-0.09720293,0.11755068,0.11455641,0.009515812,-0.059991803,-0.037741177,-0.07761236,-0.01793878,0.080052815,-0.077582665,0.06366472,-0.009462352,0.14651182,0.026994476,-0.020268077,0.11545691,-0.011714752,0.11840083,0.044071257,-0.058535825,-0.07441133,-0.043398112,-0.12998118,-0.045430113,-0.024053836,-0.023706561,-0.08569735,-0.013581591,-0.094433695,-0.17753895,-0.005227907,0.085142516,0.01423389,-0.06946224,-0.09212576,0.0358681,-0.0054286825,-0.12452435,0.09231337,0.050180677,0.017946722,0.053832654,-0.040200382,0.0037587704,0.049793355,-0.0580655,0.034071013,-0.028730929,-0.041341808,-0.010305372,0.039911587,-0.19209109,-0.04159078,0.079881415,0.081957124,0.012814666,-0.042778086,-0.09312753,0.0191979,-0.08061981,0.137094,0.0068851733,-0.04007204,0.030915389,-0.009418883,0.08423593,0.056742422,0.14235866,0.10818749,-0.039777245,-0.03659576,0.05552325,0.018736158,-0.03033127,-0.18565165,-0.047385607,0.023223765,0.15061887,0.13451411,-0.0826767,-0.07757234,0.0021440343,-0.08159749,0.066778325,0.0347988,0.08793926,-0.013803201,-0.016225653
TCGA-D8-A27L-01A,-0.03452027,-0.0859365,0.09310978,0.046768762,0.017020367,-0.042442866,-0.017131872,0.005290235,-0.039569277,0.015649317,-0.023202235,0.083800256,0.08067161,0.1473125,0.1327458,-0.044431854,-0.005786058,-0.010900982,-0.0193352,-0.09487343,-0.04578789,-0.07346,0.005628466,0.14778961,-0.09427243,-0.0936108,-0.1590209,0.016306909,0.061152857,-0.04523759,0.03893048,0.004873657,-0.106319375,-0.22072236,-0.077026166,-0.10573798,0.048840694,-0.036211018,-0.09733409,-0.03135895,-0.013516094,0.04452372,0.08653019,-0.09865212,-0.015669653,0.023886694,0.03950943,3.6619145e-05,0.060080316,-0.030457892,0.14901239,0.06712262,-0.04848757,0.058817796,0.016080515,0.055211086,0.063278444,0.046201438,-0.08759274,0.08610251,0.020779686,0.0010904633,-0.036639035,0.10208196,-0.090340845,-0.008818306,0.11532292,0.007485582,-0.08028383,-0.07681083,-0.10293296,0.04265034,-0.06463818,-0.092049204,0.143771,0.049701244,-0.035879463,0.0018534391,0.07942576,0.005234934,0.03262881,-0.00061563565,-0.013209962,0.04564837,-0.040555555,-0.055443626,0.018295506,0.09257691,0.054145377,-0.026386952,-0.07562939,-0.046873912,0.07288327,0.056276765,0.045032002,-0.0014939272,-0.027186625,-0.060653206,0.0322809,0.004778721,0.01029124,0.08040349,0.006846153,-0.10734806,-0.034640525,0.0027684246,-0.032677803,-0.068278916,-0.01646045,0.012430683,-0.055283252,-0.094023354,0.027072689,0.042967517,0.07713178,-0.05274231,-0.050070133,-0.12629306,-0.020647062,0.027144937,0.19111672,-0.1895113,0.05333701,0.04268623,-0.0048559667,0.013184105,0.03727674,-0.01784312,-0.025115523,0.08920771,0.121141344,-0.072723255,0.036623806,-0.066452,-0.12273756,0.017617619,-0.073284,0.026424346,-0.036298975,-0.0015426546,-0.004386245,-0.16932172,-0.04829657,0.053112186,0.075216144,-0.0014604236,-0.18993473,-0.011006133,-0.07568106,0.014309104,-0.002757515,0.06675056,-0.01818775,0.0928668,-0.08345264,0.025474427,-0.05488622,-0.04564742,-0.038096055,0.04265877,0.076708,-0.09034707,0.051353954,-0.13147211,-0.07245883,-0.0065191286,0.09288083,0.09753333,0.017188154,0.07304864,0.005644585,-0.04544814,-0.008846296,0.063679814,0.048160423,-0.083147645,-0.04454294,0.08784638,0.11977026,0.16398297,-0.09327607,0.013659917,-0.01306299,0.063852705,0.010973686,0.046619397,-0.061999507,-0.019639507,-0.052088507,0.00028454163,0.081228346,0.009431037,-0.09237587,-0.015592294,-0.009869416,-0.043649405,0.10766766,0.09653351,0.013826328,-0.068131395
TCGA-C8-A26Y-01A,0.08731393,-0.01505083,0.17240416,0.06589946,0.003925448,-0.0029199666,0.0570579,0.07073083,-0.021792203,0.07557723,-0.040769514,0.03932051,-0.029009502,0.22353487,0.0640319,-0.06601951,0.0037608203,0.03163553,-0.08973038,-0.09585661,-0.0795226,-0.08146027,-0.005222618,0.03226674,0.031720098,-0.035768144,-0.10522905,-0.07132645,0.017517392,-0.0048698517,-0.0183009,0.011527632,-0.06714631,-0.1047058,-0.115477,-0.10468953,-0.03503031,-0.023893166,-0.049977183,-0.014480322,-0.03323779,0.05726249,0.09124281,-0.07083362,0.022735415,-0.04098479,0.036876205,0.0012495227,0.073845685,0.055653986,0.11217491,-0.017014142,0.005348414,0.094889514,0.005268787,0.011833418,0.055966433,-0.02414315,-0.033983745,-0.01974411,0.12669283,0.0689009,-0.016391579,0.10191711,-0.010564293,0.0010379977,0.061747458,-0.009186953,0.01762152,-0.03254514,-0.062630944,-0.013650518,0.056910463,-0.1991743,0.17374267,0.016657546,-0.080342524,0.02274374,0.12446029,-0.09552886,0.011485418,-0.075627014,-0.00061344245,0.056263186,0.016089445,0.0105379885,0.03192335,0.09947784,0.10595004,-0.041768357,0.11395001,0.016537664,0.050916556,0.032378074,0.059605848,-0.056070957,-0.055958524,-0.0176371,0.02180651,-0.07035296,0.13671649,0.17566946,0.03856935,-0.0141567895,0.006865834,-0.015056686,-0.10372871,-0.04682768,0.039712723,-0.04911427,0.035998166,-0.08848607,-0.072406985,0.066280596,0.24003944,-0.028526979,0.053274125,0.0094506685,-0.014010518,0.03676208,0.050012175,-0.053634085,0.022047715,0.025484147,0.040228516,-0.075683735,-0.050352037,0.07506511,0.043240428,0.12263705,0.14655775,-0.03564428,-0.054304413,-0.03309067,-0.14224641,-0.007790147,-0.052671272,-0.014596706,-0.0952225,0.027280945,0.050121613,-0.20054536,0.02271531,0.0215444,0.00020123213,0.01336644,-0.10639023,-0.051099796,-0.018760866,-0.06551167,0.07329312,-0.042295966,0.0487623,0.027284805,0.035421018,0.022876143,-0.10039507,-0.0686802,-0.04734588,0.024310062,0.042465173,-0.046039023,-0.009988841,-0.18066028,-0.041493874,0.068013884,0.0034323386,0.019407863,-0.08178719,-0.09131465,0.023585174,-0.022330554,-0.0537544,0.016061064,0.012773901,-0.040492352,-0.12043263,0.059438426,0.13364421,0.14975387,0.040621802,-0.017414091,-0.01481198,0.039972946,0.038446955,-0.037542064,-0.08482747,0.004679441,0.0058759516,0.05950659,0.09726261,-0.08318007,0.020638613,0.031285025,-0.031274028,0.03539659,0.11862279,0.02993235,-0.015395366,-0.0017631198
TCGA-3C-AAAU-01A,0.025195813,-0.01895714,0.046654206,-0.010386486,0.0340751,0.068552986,0.007400392,-0.010197214,-0.07180772,0.11411094,-0.04336449,-0.009708458,0.0015426984,0.18719979,0.09950473,-0.07142968,-0.011979469,0.13937779,-0.0597854,-0.03249811,0.0067894952,0.031744853,0.013915893,0.044616565,0.05881548,-0.057937462,-0.04239036,-0.066246405,-0.009300615,-0.0011276646,-0.04489256,-0.007145534,-0.13203529,-0.17668112,-0.14568534,0.023232002,-0.04388228,0.04320094,-0.00015129356,-0.015218127,-0.015522486,0.0065774173,0.13492332,0.03768744,-0.024351537,-0.022364203,0.026057405,0.0056901583,0.015624685,0.032111652,0.0941428,0.008365865,0.030061765,0.039634407,0.053114112,0.01716674,0.06807525,0.005324732,-0.098482616,0.049976226,0.059414804,-0.013430711,-0.054790962,0.14183973,-0.06388175,0.0061082807,0.17588493,-0.0021874334,-0.09555953,-0.04466909,-0.1451262,0.042186387,-0.0302052,-0.16228813,0.13827504,0.049940515,0.020233141,0.030391727,0.12476654,-0.007490118,0.015308712,-0.15784118,0.04367216,-0.0419279,0.00012672333,-0.06080801,0.006601659,0.067375466,0.17324144,-0.03891429,0.03311814,-0.051696368,0.08490009,0.04338678,0.0910596,-0.010772691,-0.00046560398,-0.034909416,0.020691609,-0.06113101,0.011886007,0.027702168,0.03679024,-0.13377015,-0.009938374,0.009389634,-0.010935005,-0.0900002,-0.041563604,0.021252034,0.006264168,-0.13991918,-0.08520228,0.04053173,0.11315379,-0.048675504,0.021997895,-0.054557845,0.0011203748,-0.006605592,0.06743094,-0.03756023,0.0022531478,-0.0013517636,0.1217712,0.04197134,0.027829858,0.065622374,0.030474244,0.10130776,0.13804731,-0.13612151,-0.0050372225,-0.12117233,-0.17290065,-0.025571276,-0.07715883,-0.010351727,-0.062685914,0.01580694,-0.06096997,-0.1534622,-0.008066402,0.14373852,0.061561674,0.03285458,-0.08372657,-0.011824386,-0.012647229,-0.12241698,0.11201505,-0.0014610143,-0.030454226,0.09143347,-0.046748627,-0.0019982008,0.0278264,-0.017290358,-0.08658415,-0.07355528,-0.068522744,-0.0066408585,-0.008771564,-0.15125674,-0.033699784,0.03352109,0.04516828,-0.08920947,-0.025085516,-0.009554776,0.0843461,-0.032528974,-0.019194061,0.011303935,-0.013683715,-0.03269339,-0.04519408,0.09708261,0.0734304,0.08104172,-0.031958465,-0.020623052,-0.027800476,-0.009124855,0.08223995,-0.10976749,-0.08429206,-0.0073106666,-0.07018695,-0.010634101,0.12738605,-0.06501014,-0.099564224,0.13800292,-0.028390685,0.006253758,0.07229474,0.068129115,-0.040590953,-0.004662809
TCGA-A2-A0CT-01A,-0.074866764,-0.07770799,0.06285717,-0.01006711,0.027183916,-0.0053695343,-0.019700674,-0.02095636,-0.029306911,0.024611024,0.010554274,0.048803836,0.010526578,0.14403474,0.07168509,0.033632047,0.007166507,-0.021421093,-0.0015680167,-0.11674904,-0.10488189,-0.073888764,-0.019989097,0.061900556,-0.084749594,-0.024914727,-0.10695343,-0.04228043,0.0051711556,-0.06326029,-0.027217142,0.06750765,-0.10877256,-0.15076295,-0.09984389,-0.058403593,-0.031760015,-0.044964835,0.013723853,-0.11979473,-0.015914828,0.12314064,-0.002698703,-0.08240582,0.002232078,-0.107533224,0.031481583,0.030621596,0.04366629,0.0996694,0.0725295,-0.05959051,0.013808898,0.07048239,0.048710335,0.042061273,0.046837416,0.03163781,-0.050635938,-0.022530468,0.0003919145,0.016674312,-0.038576048,0.13503127,-0.014357493,-0.014262105,0.16962762,0.026633937,9.4258736e-05,0.002448323,-0.16774322,-0.013289789,-0.051116034,-0.22904667,0.10993344,0.09609133,0.008822929,0.09338513,0.10274074,-0.024174545,-0.04615231,-0.11171104,-0.030554567,0.0022583508,0.017565029,-0.07916028,0.03639844,0.10174077,0.11934392,-0.10617189,-0.036495756,-0.032941278,0.087403916,0.020155624,0.033445977,-0.050045405,-0.03915184,-0.018105198,0.032560553,-0.07136265,-0.02150274,0.060993955,0.03778232,-0.045388944,-0.027634142,0.02591934,0.0015265835,-0.11609053,-0.058667123,-0.008626037,0.0016076572,-0.104105175,-0.041260537,0.08043814,0.052473325,-0.05408,0.06315807,-0.05158871,-0.045394436,0.06604109,0.05688025,-0.108283386,0.075484656,0.11485011,0.034043573,0.025111467,-0.049342103,0.06107247,0.05791515,0.11757232,0.07357012,-0.10053377,-0.05364594,-0.122332565,-0.13812774,-0.056754153,-0.053725928,0.011145685,-0.10535689,0.07651878,-0.06550473,-0.17621675,-0.016150368,0.07095511,0.011788648,0.06792307,-0.15990505,-0.040866915,-0.014557322,-0.051266007,0.019749094,0.04114024,0.04804907,0.045533087,-0.043858074,0.030114073,0.07547259,-0.056932382,-0.13506685,-0.011692666,0.044914868,-0.015832031,0.014781143,-0.14057058,-0.02339323,0.0146791665,0.10144916,0.020810131,-0.05059143,-0.04186618,-0.061231498,-0.030783743,0.1004352,0.008049286,0.065565474,-0.05967221,-0.013373229,0.073697284,0.06254803,0.2370412,-0.05331001,-0.09511654,-0.0005551408,0.01887811,-0.009090193,-0.03274408,-0.10086248,-0.047422186,-0.0016884283,0.045724377,0.0042863656,0.033591665,-0.12061476,0.015557649,-0.058186848,-0.037645373,0.039006833,0.073739395,-0.017577365,-0.009257547
