job_name,silhouette,n_samples,n_clusters,embeddings_file,clusters_file
MSNE_k_40_nw_200_emb_50_win_15_wl_40,0.025344430704735105,625,5,output_MSNE_k_40_nw_200_emb_50_win_15_wl_40_embeddings.csv,output_MSNE_k_40_nw_200_emb_50_win_15_wl_40_clusters.csv
MSNE_k_20_nw_100_emb_50_win_5_wl_30,0.025236291036519014,625,5,output_MSNE_k_20_nw_100_emb_50_win_5_wl_30_embeddings.csv,output_MSNE_k_20_nw_100_emb_50_win_5_wl_30_clusters.csv
MSNE_k_10_nw_50_emb_50_win_5_wl_40,0.02501387010024846,625,5,output_MSNE_k_10_nw_50_emb_50_win_5_wl_40_embeddings.csv,output_MSNE_k_10_nw_50_emb_50_win_5_wl_40_clusters.csv
MSNE_k_50_nw_200_emb_50_win_10_wl_30,0.024786431144333897,625,5,output_MSNE_k_50_nw_200_emb_50_win_10_wl_30_embeddings.csv,output_MSNE_k_50_nw_200_emb_50_win_10_wl_30_clusters.csv
MSNE_k_20_nw_200_emb_50_win_10_wl_30,0.024675039478269496,625,5,output_MSNE_k_20_nw_200_emb_50_win_10_wl_30_embeddings.csv,output_MSNE_k_20_nw_200_emb_50_win_10_wl_30_clusters.csv
MSNE_k_10_nw_200_emb_50_win_10_wl_30,0.02461738789548343,625,5,output_MSNE_k_10_nw_200_emb_50_win_10_wl_30_embeddings.csv,output_MSNE_k_10_nw_200_emb_50_win_10_wl_30_clusters.csv
MSNE_k_10_nw_100_emb_50_win_5_wl_40,0.024467467963707565,625,5,output_MSNE_k_10_nw_100_emb_50_win_5_wl_40_embeddings.csv,output_MSNE_k_10_nw_100_emb_50_win_5_wl_40_clusters.csv
MSNE_k_40_nw_50_emb_200_win_5_wl_20,0.02434735212148787,625,5,output_MSNE_k_40_nw_50_emb_200_win_5_wl_20_embeddings.csv,output_MSNE_k_40_nw_50_emb_200_win_5_wl_20_clusters.csv
MSNE_k_40_nw_100_emb_50_win_5_wl_40,0.024326030150546116,625,5,output_MSNE_k_40_nw_100_emb_50_win_5_wl_40_embeddings.csv,output_MSNE_k_40_nw_100_emb_50_win_5_wl_40_clusters.csv
MSNE_k_30_nw_200_emb_50_win_10_wl_30,0.02429979353926712,625,5,output_MSNE_k_30_nw_200_emb_50_win_10_wl_30_embeddings.csv,output_MSNE_k_30_nw_200_emb_50_win_10_wl_30_clusters.csv
MSNE_k_20_nw_50_emb_50_win_5_wl_40,0.024294237517018508,625,5,output_MSNE_k_20_nw_50_emb_50_win_5_wl_40_embeddings.csv,output_MSNE_k_20_nw_50_emb_50_win_5_wl_40_clusters.csv
MSNE_k_30_nw_100_emb_50_win_5_wl_40,0.024262861803308493,625,5,output_MSNE_k_30_nw_100_emb_50_win_5_wl_40_embeddings.csv,output_MSNE_k_30_nw_100_emb_50_win_5_wl_40_clusters.csv
MSNE_k_20_nw_200_emb_50_win_5_wl_20,0.02420355872698805,625,5,output_MSNE_k_20_nw_200_emb_50_win_5_wl_20_embeddings.csv,output_MSNE_k_20_nw_200_emb_50_win_5_wl_20_clusters.csv
MSNE_k_20_nw_200_emb_50_win_15_wl_40,0.02410121208058826,625,5,output_MSNE_k_20_nw_200_emb_50_win_15_wl_40_embeddings.csv,output_MSNE_k_20_nw_200_emb_50_win_15_wl_40_clusters.csv
MSNE_k_10_nw_100_emb_50_win_5_wl_30,0.023879969267897816,625,5,output_MSNE_k_10_nw_100_emb_50_win_5_wl_30_embeddings.csv,output_MSNE_k_10_nw_100_emb_50_win_5_wl_30_clusters.csv
MSNE_k_50_nw_50_emb_200_win_5_wl_20,0.023805497631101517,625,5,output_MSNE_k_50_nw_50_emb_200_win_5_wl_20_embeddings.csv,output_MSNE_k_50_nw_50_emb_200_win_5_wl_20_clusters.csv
MSNE_k_30_nw_100_emb_50_win_5_wl_30,0.023754547377385367,625,5,output_MSNE_k_30_nw_100_emb_50_win_5_wl_30_embeddings.csv,output_MSNE_k_30_nw_100_emb_50_win_5_wl_30_clusters.csv
MSNE_k_30_nw_200_emb_50_win_5_wl_20,0.02373128505075633,625,5,output_MSNE_k_30_nw_200_emb_50_win_5_wl_20_embeddings.csv,output_MSNE_k_30_nw_200_emb_50_win_5_wl_20_clusters.csv
MSNE_k_50_nw_50_emb_50_win_5_wl_40,0.02370748847863524,625,5,output_MSNE_k_50_nw_50_emb_50_win_5_wl_40_embeddings.csv,output_MSNE_k_50_nw_50_emb_50_win_5_wl_40_clusters.csv
MSNE_k_50_nw_100_emb_50_win_5_wl_40,0.023705959079546052,625,5,output_MSNE_k_50_nw_100_emb_50_win_5_wl_40_embeddings.csv,output_MSNE_k_50_nw_100_emb_50_win_5_wl_40_clusters.csv
MSNE_k_30_nw_50_emb_50_win_5_wl_20,0.023683369952065273,625,5,output_MSNE_k_30_nw_50_emb_50_win_5_wl_20_embeddings.csv,output_MSNE_k_30_nw_50_emb_50_win_5_wl_20_clusters.csv
MSNE_k_30_nw_200_emb_50_win_15_wl_30,0.023575941101385552,625,5,output_MSNE_k_30_nw_200_emb_50_win_15_wl_30_embeddings.csv,output_MSNE_k_30_nw_200_emb_50_win_15_wl_30_clusters.csv
MSNE_k_10_nw_200_emb_50_win_15_wl_40,0.02342136350349681,625,5,output_MSNE_k_10_nw_200_emb_50_win_15_wl_40_embeddings.csv,output_MSNE_k_10_nw_200_emb_50_win_15_wl_40_clusters.csv
MSNE_k_30_nw_200_emb_50_win_10_wl_20,0.023406344507474468,625,5,output_MSNE_k_30_nw_200_emb_50_win_10_wl_20_embeddings.csv,output_MSNE_k_30_nw_200_emb_50_win_10_wl_20_clusters.csv
MSNE_k_50_nw_200_emb_50_win_15_wl_40,0.023212724224395135,625,5,output_MSNE_k_50_nw_200_emb_50_win_15_wl_40_embeddings.csv,output_MSNE_k_50_nw_200_emb_50_win_15_wl_40_clusters.csv
MSNE_k_30_nw_50_emb_50_win_15_wl_30,0.023163004040094866,625,5,output_MSNE_k_30_nw_50_emb_50_win_15_wl_30_embeddings.csv,output_MSNE_k_30_nw_50_emb_50_win_15_wl_30_clusters.csv
MSNE_k_20_nw_50_emb_50_win_15_wl_30,0.022725033666024387,625,5,output_MSNE_k_20_nw_50_emb_50_win_15_wl_30_embeddings.csv,output_MSNE_k_20_nw_50_emb_50_win_15_wl_30_clusters.csv
MSNE_k_10_nw_50_emb_50_win_5_wl_20,0.022695721080762427,625,5,output_MSNE_k_10_nw_50_emb_50_win_5_wl_20_embeddings.csv,output_MSNE_k_10_nw_50_emb_50_win_5_wl_20_clusters.csv
MSNE_k_10_nw_100_emb_50_win_5_wl_20,0.02252708810900172,625,5,output_MSNE_k_10_nw_100_emb_50_win_5_wl_20_embeddings.csv,output_MSNE_k_10_nw_100_emb_50_win_5_wl_20_clusters.csv
MSNE_k_10_nw_50_emb_200_win_5_wl_20,0.0224348380421943,625,5,output_MSNE_k_10_nw_50_emb_200_win_5_wl_20_embeddings.csv,output_MSNE_k_10_nw_50_emb_200_win_5_wl_20_clusters.csv
MSNE_k_40_nw_100_emb_50_win_5_wl_30,0.02218542633411959,625,5,output_MSNE_k_40_nw_100_emb_50_win_5_wl_30_embeddings.csv,output_MSNE_k_40_nw_100_emb_50_win_5_wl_30_clusters.csv
MSNE_k_20_nw_100_emb_50_win_15_wl_30,0.02216349297848845,625,5,output_MSNE_k_20_nw_100_emb_50_win_15_wl_30_embeddings.csv,output_MSNE_k_20_nw_100_emb_50_win_15_wl_30_clusters.csv
MSNE_k_10_nw_200_emb_50_win_15_wl_30,0.022152336495719006,625,5,output_MSNE_k_10_nw_200_emb_50_win_15_wl_30_embeddings.csv,output_MSNE_k_10_nw_200_emb_50_win_15_wl_30_clusters.csv
MSNE_k_40_nw_50_emb_50_win_5_wl_20,0.02214622309190202,625,5,output_MSNE_k_40_nw_50_emb_50_win_5_wl_20_embeddings.csv,output_MSNE_k_40_nw_50_emb_50_win_5_wl_20_clusters.csv
MSNE_k_20_nw_50_emb_50_win_5_wl_20,0.022026993611676822,625,5,output_MSNE_k_20_nw_50_emb_50_win_5_wl_20_embeddings.csv,output_MSNE_k_20_nw_50_emb_50_win_5_wl_20_clusters.csv
MSNE_k_30_nw_200_emb_50_win_15_wl_40,0.02200326664999028,625,5,output_MSNE_k_30_nw_200_emb_50_win_15_wl_40_embeddings.csv,output_MSNE_k_30_nw_200_emb_50_win_15_wl_40_clusters.csv
MSNE_k_50_nw_50_emb_50_win_5_wl_30,0.02197753971145532,625,5,output_MSNE_k_50_nw_50_emb_50_win_5_wl_30_embeddings.csv,output_MSNE_k_50_nw_50_emb_50_win_5_wl_30_clusters.csv
MSNE_k_50_nw_100_emb_100_win_15_wl_40,0.021772958445139955,625,5,output_MSNE_k_50_nw_100_emb_100_win_15_wl_40_embeddings.csv,output_MSNE_k_50_nw_100_emb_100_win_15_wl_40_clusters.csv
MSNE_k_50_nw_50_emb_50_win_5_wl_20,0.021726916643682478,625,5,output_MSNE_k_50_nw_50_emb_50_win_5_wl_20_embeddings.csv,output_MSNE_k_50_nw_50_emb_50_win_5_wl_20_clusters.csv
MSNE_k_10_nw_50_emb_100_win_5_wl_20,0.02172117960237379,625,5,output_MSNE_k_10_nw_50_emb_100_win_5_wl_20_embeddings.csv,output_MSNE_k_10_nw_50_emb_100_win_5_wl_20_clusters.csv
MSNE_k_50_nw_200_emb_50_win_15_wl_30,0.021637014376020697,625,5,output_MSNE_k_50_nw_200_emb_50_win_15_wl_30_embeddings.csv,output_MSNE_k_50_nw_200_emb_50_win_15_wl_30_clusters.csv
MSNE_k_40_nw_50_emb_50_win_15_wl_30,0.021422608817837953,625,5,output_MSNE_k_40_nw_50_emb_50_win_15_wl_30_embeddings.csv,output_MSNE_k_40_nw_50_emb_50_win_15_wl_30_clusters.csv
MSNE_k_40_nw_200_emb_50_win_15_wl_30,0.02140227403494178,625,5,output_MSNE_k_40_nw_200_emb_50_win_15_wl_30_embeddings.csv,output_MSNE_k_40_nw_200_emb_50_win_15_wl_30_clusters.csv
MSNE_k_30_nw_100_emb_50_win_10_wl_40,0.0213163758526487,625,5,output_MSNE_k_30_nw_100_emb_50_win_10_wl_40_embeddings.csv,output_MSNE_k_30_nw_100_emb_50_win_10_wl_40_clusters.csv
