,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
TCGA-BH-A0GZ-01A,-0.008528574,0.10954598,0.20149504,0.30325356,-0.051997475,0.09726115,0.04690096,-0.021355359,0.16278514,0.12726083,-0.03775647,-0.0746902,-0.14288951,0.1601821,0.2453962,-0.10891957,0.04401479,0.24071792,-0.046840705,0.012848407,0.18447942,0.10395379,-0.06702102,0.20518088,-0.03793262,0.15233782,-0.34260842,-0.09531467,-0.13035887,-0.10212926,0.06453721,0.068767086,-0.17250262,-0.26161107,-0.11725496,-0.23657416,-0.101644285,-0.10734406,-0.14044999,-0.068635516,0.020899488,-0.056901533,0.09958905,-0.05731775,-0.091336675,-0.122900866,-0.1015369,0.07196174,0.14209664,0.2034153
TCGA-A7-A4SF-01A,0.07601305,0.016996307,0.2227106,0.30492836,-0.04407178,0.1601116,0.03524025,-0.007361626,0.112555064,-0.022164602,0.051390056,-0.055769417,-0.1213709,0.14716594,0.07753756,-0.05983065,0.023538027,0.1759781,-0.04240637,0.053383905,0.047752675,0.044614352,0.008608685,0.14871491,-0.014656658,0.23810032,-0.35961798,-0.034838304,-0.03898937,-0.08086293,0.122604094,0.036210455,-0.26922023,-0.3061972,-0.1318802,-0.29995427,-0.1482954,-0.11165353,-0.148826,-0.05815868,-0.0064508184,-0.090455666,0.03309137,-0.10724049,-0.055723857,-0.114959046,-0.115056515,0.070369646,0.20317811,0.23001122
TCGA-E9-A1RE-01A,0.033788085,-0.017159382,0.19402239,0.24590376,-0.022595227,0.20417197,0.10164629,0.0055030165,0.14089876,0.02667661,-0.011779954,-0.1046549,-0.16228448,0.19918047,0.13598463,-0.10899721,0.11563672,0.22871566,-0.015540415,-0.11978774,0.064215586,0.006593394,0.007029743,0.14651613,-0.034706164,0.22484832,-0.2871206,-0.049466744,-0.06815776,-0.11496515,0.18196848,0.04766567,-0.1631672,-0.29639927,-0.16122167,-0.2710219,-0.09840482,-0.0678095,-0.0989529,-0.038640674,-0.03725025,0.027518393,0.040372547,-0.09876965,-0.17408289,-0.12767892,-0.059321877,0.16503282,0.19512266,0.23569468
TCGA-AO-A0JM-01A,0.07735196,0.03711096,0.27063164,0.22457664,-0.06487066,0.17747888,0.039329205,-0.003909254,0.08824502,-0.06160253,-0.021156605,-0.02240616,-0.06634465,0.16825682,0.10026721,-0.07677549,0.046601947,0.24421455,-0.10051965,-0.064144865,0.074004434,-0.03273823,0.050626896,0.16247368,-0.0043823137,0.18360633,-0.35759988,-0.08409414,-0.065551855,-0.13458358,0.08365766,0.026236743,-0.21710113,-0.2365023,-0.078166164,-0.334792,-0.16454773,-0.1334387,-0.08951526,-0.074095145,-0.031830024,0.005403434,0.12544462,-0.05303172,-0.12629975,-0.15822484,-0.05905667,0.101683825,0.14947735,0.289465
TCGA-C8-A1HE-01A,-0.050493892,0.033296198,0.18336305,0.2899877,-0.009727751,0.1643706,-0.018534062,-0.0063259015,0.043863393,0.11476688,0.020079926,-0.14987434,-0.05519582,0.1987468,0.14699757,-0.06785853,0.02587575,0.24855128,9.503003e-05,0.032930814,0.024553576,-0.004191876,-0.064393505,0.21915838,0.08158441,0.17746797,-0.3642093,-0.083166294,-0.092699975,-0.05211216,0.046790205,0.13109627,-0.15124375,-0.30487794,-0.080907196,-0.251028,-0.14530389,-0.015523008,-0.12453383,-0.08134895,-0.06328972,-0.051147956,0.113773726,-0.11885813,-0.14067003,-0.16416194,-0.07916287,0.11524078,0.20179455,0.22386366
TCGA-B6-A0WT-01A,0.009119162,-0.0039602336,0.23183012,0.2618223,0.017919103,0.2037175,-0.019376837,0.014021323,0.09331043,-0.027686927,0.0917753,-0.018031565,-0.08576231,0.13226439,0.21234739,-0.09325437,0.146419,0.1113138,0.042865038,0.022706078,0.10057293,0.08656553,-0.09137004,0.15529107,-0.062911265,0.16705668,-0.362232,0.02487953,-0.10053395,-0.10758821,0.03803973,0.1022649,-0.17505018,-0.31381065,-0.17561814,-0.2760537,-0.13257252,-0.06522578,-0.12650101,-0.07345595,-0.019704912,-0.021023827,0.15222034,-0.093129426,-0.07426225,-0.20881963,-0.10773765,0.07707581,0.17516047,0.21306081
TCGA-E9-A22H-01A,-0.012508423,0.054388966,0.3123424,0.30334306,-0.12855564,0.16661547,0.0707005,0.042091094,0.06788867,0.048164938,-0.039187435,-0.083695605,-0.11838439,0.14174072,0.19558267,-0.015288947,0.036810216,0.22744791,-0.0005316709,9.6893375e-05,0.04680962,-0.010813937,0.050607152,0.16534226,0.038428735,0.08438944,-0.31757107,-0.12644845,-0.1289994,-0.038865354,0.121345505,0.05913104,-0.2142393,-0.26991215,-0.14305815,-0.2092329,-0.07923088,-0.12354806,-0.15398084,0.004512796,0.05741899,-0.018882897,0.15360494,-0.18157883,-0.04622185,-0.19073044,-0.13336624,0.057044618,0.15364824,0.22234319
TCGA-E2-A1LG-01A,0.0007635541,0.0625901,0.23775016,0.28957602,-0.08844357,0.2338455,0.02246687,-0.067985125,0.06710145,0.0050914506,-0.027745398,-0.07090039,-0.08657578,0.21283634,0.098060496,-0.05385796,0.005466501,0.21263558,-0.12405242,-0.09723968,0.05705072,0.051827848,-0.02741669,0.16610953,-0.033968586,0.26639572,-0.31140137,-0.07655756,-0.03832984,-0.11067675,0.12825127,0.044791523,-0.20562702,-0.18471056,-0.16907822,-0.34659353,-0.1064191,-0.06353795,-0.073813766,-0.10791844,-0.009536179,-0.04589404,0.00042024383,-0.09249663,-0.09772082,-0.14076719,-0.12641492,0.061611205,0.16301033,0.23852806
TCGA-AR-A1AN-01A,-0.009728669,0.07272295,0.20261121,0.28783754,-0.037614807,0.18419203,0.05683044,0.028808868,0.07379539,0.043268565,0.036259744,-0.06370803,-0.071514316,0.21445091,0.21674106,-0.09658829,0.07459842,0.20089646,0.01422705,0.0037529003,0.08854548,0.044155415,0.010684369,0.18507297,-0.039482847,0.20222,-0.3707608,-0.025618495,-0.0991164,-0.14360225,0.12255601,0.01303787,-0.15994766,-0.3555699,-0.1097068,-0.1976516,-0.15941586,-0.100875266,-0.15664072,-0.08116871,0.02398076,-0.042111397,0.095539615,-0.10127552,-0.09703294,-0.10850291,-0.1367366,0.10621714,0.15078735,0.17100456
TCGA-D8-A1X7-01A,0.060614586,0.04776646,0.26627174,0.34673715,-0.070782505,0.23220168,0.0034178945,0.04377759,0.09433178,0.10299617,-0.046159353,-0.039341968,-0.09728632,0.16693626,0.15178321,-0.15262723,0.06584658,0.25214386,0.081203565,0.033684757,0.025199553,0.02431371,0.08796408,0.1504829,-0.04650785,0.18449745,-0.31109154,-0.030179998,-0.11855199,-0.06304102,0.061844688,0.040040333,-0.19692022,-0.2643215,-0.17710152,-0.31557304,-0.10849791,-0.117746465,-0.09285302,-0.082955025,-0.0014315032,-0.03146834,0.03641103,-0.09049099,-0.10266225,-0.12269313,-0.11482337,0.082101546,0.12352694,0.13636278
TCGA-A2-A0YI-01A,0.014906392,0.048684288,0.18737324,0.34952945,-0.07503218,0.17630826,0.02945689,0.024879629,0.08110555,0.051231757,-0.045238048,-0.08799995,-0.086360194,0.20234784,0.110226914,-0.014084558,0.020194296,0.13825774,0.038581576,0.01627393,0.08574213,0.020850495,0.028608555,0.16207868,-0.021009954,0.14865586,-0.34905264,-0.1408254,-0.13316774,-0.12575434,0.087001175,0.10914536,-0.15155986,-0.34036982,-0.11865289,-0.28592137,-0.17643374,-0.03395804,-0.1266864,-0.028653275,-0.015178047,-0.0338913,0.15092477,-0.22398116,-0.096041135,-0.16276503,-0.09410634,0.07963914,0.1465125,0.13521478
TCGA-E9-A1RD-01A,0.008316677,0.060948793,0.20034882,0.2523655,-0.04604892,0.15580654,0.03999261,0.02142941,0.09494972,0.044797253,-0.097111754,-0.06462408,-0.07461369,0.24421185,0.19644697,-0.10758809,-0.008314196,0.16062799,-0.052148204,0.0024128428,0.09275108,0.040260386,-0.034470007,0.19226281,-0.035299104,0.25701618,-0.33651894,-0.027940836,-0.10433079,-0.08784534,0.06909544,0.014748031,-0.19530913,-0.36767063,-0.07120694,-0.2266978,-0.09798271,-0.10282841,-0.13280548,-0.0064517725,-0.041098617,0.043459523,0.059730295,-0.14112337,-0.0702668,-0.10173013,-0.0971477,0.08346243,0.1659807,0.29680285
TCGA-C8-A26X-01A,0.07694796,0.0713335,0.2466158,0.31800255,-0.041782416,0.23431142,0.037243802,-0.050067108,0.066164754,0.032287493,0.008354246,-0.10237147,-0.13557433,0.20705673,0.10563223,-0.057606682,0.0384297,0.22626045,-0.014063886,-0.07005171,0.019997265,0.13967383,0.040626332,0.19579574,0.073265314,0.19548507,-0.28995475,-0.083164535,-0.07831567,-0.061035447,0.11964908,0.021747112,-0.18577358,-0.25785065,-0.17646429,-0.2889957,0.024443438,-0.09372824,-0.14740352,-0.008020507,-0.05216004,0.036436237,0.07825255,-0.13576078,-0.08666532,-0.09087875,-0.019835295,0.07981767,0.13478675,0.28596854
TCGA-AO-A0JI-01A,0.038948953,0.043241013,0.22931364,0.32932037,-0.06010455,0.13050844,0.025490092,-0.016726613,0.093089,0.010763658,-0.030172149,-0.0562981,-0.14036167,0.15347335,0.19125439,-0.06279076,0.06093756,0.29294997,-0.07509177,-0.04808828,0.12561145,-0.018082147,-0.0069725364,0.22776765,0.004718238,0.14240584,-0.31365007,-0.14664231,-0.14298059,-0.11245712,0.100700915,0.114290364,-0.15175031,-0.32484674,-0.14032762,-0.2628719,-0.10460894,-0.10534241,-0.048095923,-0.018444521,-0.03177652,-0.06804331,0.07906804,-0.06645104,-0.07652703,-0.0743199,-0.13812302,0.065929435,0.1368371,0.2085583
TCGA-A7-A13F-01A,-0.0030161326,-0.0060365633,0.21230136,0.3305401,-0.018624015,0.2522784,0.062081378,0.022752518,0.08586595,0.048739117,0.015112457,-0.035464827,-0.0821096,0.20997274,0.13883539,-0.066196464,0.03153576,0.22672302,-0.018660108,-0.024024447,0.08414859,0.10835757,0.029979639,0.14721246,0.027321026,0.17727134,-0.29785058,-0.08973228,-0.08163525,-0.11345334,0.1388642,-0.0024257384,-0.19951071,-0.32018858,-0.11557567,-0.2900092,-0.04549614,-0.006455095,-0.114277154,-0.08190293,0.010811903,-0.006107543,0.050318524,-0.13238245,-0.12167165,-0.15336286,-0.10249345,0.045712993,0.16284804,0.26409158
TCGA-BH-A0BT-01A,0.09134686,0.0155895045,0.19854249,0.24155392,0.024773778,0.13693006,0.035203885,0.0029962633,0.12395261,0.047371272,0.023471639,-0.1155677,-0.13282424,0.25710252,0.1283048,-0.059078384,0.053113043,0.2664946,-0.032715727,-0.0036422545,0.079305746,0.034219313,0.033461068,0.15926255,0.032524318,0.1857343,-0.31317654,-0.062036954,-0.14468142,-0.1223739,0.10437445,0.011974109,-0.16700137,-0.270696,-0.1454508,-0.22724167,-0.13079955,-0.11845282,-0.086294994,-0.0077678626,0.048120376,-0.025085267,0.10521098,-0.11163041,-0.1640881,-0.16680093,-0.1371295,0.15993701,0.16216227,0.28286663
TCGA-E9-A226-01A,0.009470008,0.06991471,0.31345713,0.2215378,-0.03324815,0.21130307,-0.022311231,-0.054554865,0.029357225,0.0524064,-0.026533356,-0.08101756,-0.107549995,0.22939044,0.15106085,-0.08911492,0.058512554,0.28971243,0.03474385,-0.013849275,0.12172035,-0.008973095,0.016491575,0.1590074,-0.020139696,0.1722429,-0.28626794,-0.07377488,-0.06451423,-0.093027554,0.11503157,0.08781798,-0.21627732,-0.25619382,-0.12882712,-0.29814854,-0.10130638,-0.08974002,-0.1837779,-0.094583035,0.037654996,-0.045731176,0.10981371,-0.09474954,-0.11620163,-0.18429531,-0.08232768,0.09700624,0.13665102,0.16245128
TCGA-A8-A0AD-01A,0.01643605,0.06458028,0.2908223,0.22964741,-0.10563681,0.22533195,0.032133304,-0.030106757,0.04695659,0.030538203,-0.021568941,-0.09942159,-0.11475458,0.1464801,0.14684126,-0.02252203,0.08220617,0.20071682,-0.014919871,-0.009390256,0.09933424,0.095814385,-0.025848662,0.19107188,0.010205719,0.24732123,-0.34381235,-0.12244559,-0.12547836,-0.061517905,0.17712824,0.04577048,-0.15373722,-0.22729294,-0.08153678,-0.26793736,-0.17809631,-0.07379414,-0.13548319,0.02286686,0.031151203,-0.041252162,0.0560733,-0.067195535,-0.103062496,-0.2216724,-0.06637164,0.09371069,0.20758301,0.19232893
TCGA-B6-A0RV-01A,-0.009555849,-0.026087057,0.24844126,0.273978,-0.051721722,0.21705358,-0.053150684,-0.0064612045,0.07686301,0.036996122,0.029935699,-0.04909219,-0.053362716,0.17687224,0.17945519,-0.11750939,0.12170596,0.24953833,0.015393014,0.056062978,-0.02337499,0.03720167,-0.07948253,0.15279649,-0.0308028,0.24217287,-0.26429537,-0.07600872,-0.051623877,-0.12315689,0.12529841,0.032489397,-0.1688491,-0.23053104,-0.22862187,-0.32165658,-0.10236537,-0.07890351,-0.15869118,-0.07448213,-0.028045181,-0.11783142,0.14706366,-0.06646589,-0.016652834,-0.17334189,-0.07539188,0.13505971,0.1318377,0.2000561
TCGA-A2-A0T6-01A,-0.033982243,-0.014231453,0.25101894,0.23026432,-0.13406064,0.25846684,0.052397322,-0.006474171,0.097178705,-0.024101214,-0.019795299,0.013403888,-0.05493418,0.16671017,0.18945582,-0.0581113,-0.0148735065,0.29310763,-0.014150701,0.010704899,0.13944772,0.07557556,0.072769515,0.18865874,-0.026613934,0.19907697,-0.31384254,-0.015799792,-0.08217865,-0.07890131,0.11238985,0.072836526,-0.10112812,-0.29327562,-0.12428756,-0.27813387,-0.14530955,-0.083844244,-0.19833824,-0.004866158,-0.012265259,-0.02370868,0.07356946,-0.114511676,-0.122555174,-0.18727377,-0.101367526,0.08066073,0.15272151,0.16090304
TCGA-BH-A208-01A,0.0281245,0.026886294,0.22411236,0.25693324,0.0040765563,0.15405972,0.06318818,0.007833227,0.087115586,0.015239789,0.080330454,-0.101457976,-0.14541012,0.2425832,0.17968342,-0.07942875,0.03500248,0.19158612,-0.0011966486,-0.057485647,0.061295178,0.006976751,-0.056863092,0.23631568,0.07806747,0.26781017,-0.30651796,0.0070977043,-0.10144271,-0.051355634,0.14534709,0.06522079,-0.25372103,-0.19851576,-0.17611867,-0.26817605,-0.11497214,-0.15239295,-0.077326216,0.026407665,0.07803291,-0.057826765,0.12937658,-0.19431229,-0.06751576,-0.12777942,-0.049149804,0.021339763,0.088013776,0.22752436
