,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
TCGA-C8-A27B-01A,-0.024997836,-0.12012012,0.2341722,0.08351548,0.03148258,0.101802014,-0.040455155,0.028512154,-0.026208492,0.15755467,-0.018861959,-0.06731022,0.062290315,0.47981623,0.21233992,-0.026716923,0.11069895,0.100036755,-0.074575186,-0.15332721,-0.14193426,-0.034958705,-0.08816622,0.037461493,-0.02462205,-0.093930185,-0.2754136,-0.016947307,-0.008430614,-0.08004794,-0.10090076,0.057127453,-0.16763338,-0.29593453,-0.1744117,-0.19733192,-0.10028959,-0.0805912,-0.07132988,-0.10773352,-0.023977198,0.12772802,0.22648457,-0.1836816,-0.039509743,-0.08950947,0.0025299415,0.0018686956,0.08240728,0.27400172
TCGA-A2-A0CT-01A,-0.0040847883,-0.09638692,0.22461644,0.061798263,-0.042300038,0.104365446,-0.018709937,0.069868244,-0.043542687,0.14397117,0.037824422,-0.01323162,0.021617534,0.39819035,0.24949956,-0.09720234,0.045091078,0.13991399,0.075192764,-0.1756571,-0.1101142,-0.031659856,-0.11995377,0.13859145,-0.052763205,-0.10117476,-0.36933503,-0.15345722,-0.022807192,-0.07827026,-0.15307644,-0.024912976,-0.13614249,-0.25685206,-0.10974966,-0.16380323,-0.12275608,-0.014930862,-0.06238256,0.0065318975,0.056489706,0.13462171,0.23847239,-0.1816393,-0.08557812,-0.15148953,0.030937273,0.044421528,0.11340008,0.23492298
TCGA-A1-A0SQ-01A,-0.018794162,-0.1329848,0.23729165,0.06279208,0.009002459,0.13488764,-0.026100045,0.061924346,-0.0492288,0.16298455,-0.016451513,-0.008398109,-0.05638512,0.41581845,0.23282039,-0.095137596,-0.079039164,0.13523944,-0.021741813,-0.088379174,-0.08393255,-0.13096415,-0.11203648,0.15663528,-0.049251605,-0.21466215,-0.28721493,-0.099215396,0.03418825,-0.14879465,-0.0964943,0.11132987,-0.19301665,-0.28290376,-0.20130396,-0.124444954,-0.07799622,-0.030921368,-0.02545534,-0.039280877,-0.0053367154,0.1096481,0.20153426,-0.19639207,-0.034795173,-0.07958053,0.1229422,0.058085628,0.13734683,0.17784074
TCGA-E9-A1RC-01A,0.0068188203,-0.11404637,0.24476445,0.114218466,-0.03517794,0.12016235,0.03229689,0.05257626,-0.11681389,0.20293257,0.037135772,0.03534296,0.040805366,0.40575486,0.25695845,-0.06903004,-0.008827408,0.13412221,0.0077637155,-0.23495951,-0.0767421,-0.117979124,-0.07707117,0.08586852,-0.0841929,-0.11516555,-0.26867992,-0.15661214,0.06297577,-0.07843325,-0.13477531,-0.0051637306,-0.1335284,-0.27536175,-0.14730161,-0.20641895,-0.07984521,-0.07501808,-0.15463404,-0.06805769,0.058238357,0.028779801,0.19146834,-0.13028736,0.015917359,-0.15695119,-0.01686993,0.0030902945,-0.010360708,0.25782895
TCGA-BH-A0DG-01A,-0.039031927,-0.1491063,0.2045733,0.1451681,0.0004684839,0.00688183,0.004762101,-0.046224687,-0.14723465,0.13958763,-0.06300572,-0.027787644,-0.0216719,0.39221016,0.2288002,-0.119651005,0.053160246,0.11033165,0.005803902,-0.19201817,-0.16321348,-0.09657743,-0.044762347,0.122047685,-0.09979176,-0.17310256,-0.25263005,-0.1296315,0.030083733,-0.102681905,-0.08213471,0.091370076,-0.2360798,-0.27919444,-0.15948594,-0.23868509,-0.13216199,-0.070732996,-0.0559414,0.009330932,-0.038553096,0.13478415,0.2180369,-0.16547512,-0.0143730845,-0.012415779,0.10001403,0.06856013,0.14881067,0.13719614
TCGA-AR-A1AQ-01A,-0.048528258,-0.23762323,0.177445,0.14376688,-0.017418334,0.123555884,-0.0133238295,0.01218625,-0.14855145,0.1306896,0.061312996,0.15001212,0.043657333,0.4307155,0.15600619,-0.05945161,0.08517127,0.13213003,-0.022075953,-0.23806612,-0.08378428,-0.060342595,0.0014248932,0.15010811,0.0017023291,-0.04846152,-0.29068357,-0.11613164,-0.06838628,-0.0348696,-0.118465476,0.10404562,-0.2358438,-0.33547747,-0.11981762,-0.17839216,-0.104300454,-0.008399846,-0.0997006,-0.06011351,0.007846123,0.07067133,0.18795973,-0.11938665,-0.07994972,-0.05539248,0.032904107,0.048374213,0.084047854,0.18119399
TCGA-BH-A0DK-01A,-0.0012149197,-0.02528122,0.18565825,0.11352639,0.026353225,0.101952285,-0.0344339,0.06665046,-0.075874135,0.11911886,0.018770529,-0.026130913,-0.036430534,0.45668215,0.12820847,-0.040042304,0.021907339,0.121501066,-0.040664755,-0.20750137,-0.13115714,-0.08126155,-0.12183549,0.23435883,-0.033230912,-0.06402919,-0.33669254,-0.14108153,-0.064527206,-0.11075592,-0.10238228,0.108116165,-0.12288477,-0.3002254,-0.18314955,-0.20955504,-0.08493758,0.02166164,-0.021390721,-0.08635759,-0.015001101,0.12780641,0.16708043,-0.20623074,0.07247054,-0.06587388,0.07703118,0.02635688,0.14862648,0.17936356
TCGA-S3-AA17-01A,0.030783555,-0.09093527,0.26235446,0.1215478,0.06554307,0.1271824,0.06956707,0.08672275,-0.10109295,0.16028436,0.027157856,0.031436082,0.046032935,0.39296415,0.28095892,-0.024233034,-0.037123565,0.11463848,-0.0014903939,-0.16585259,-0.09679192,-0.0018076582,-0.105613165,0.09511833,-0.011800267,-0.06863596,-0.31603816,-0.18653414,0.036535714,-0.08331796,-0.08334183,-0.021763204,-0.10712768,-0.24421161,-0.16113068,-0.19705597,-0.10052877,-0.014912789,-0.08894989,-0.02874951,-0.010068557,0.065003335,0.25745323,-0.21028112,-0.06862563,-0.11813691,0.004311255,0.007637916,0.0891063,0.27809143
TCGA-LL-A73Y-01A,0.015385306,-0.13281198,0.27963197,0.08051521,0.003082013,0.030416654,-0.0014552976,0.019593332,-0.06391156,0.08347981,-0.010872699,0.010912762,0.031146107,0.4254733,0.23231055,-0.07525512,0.107773334,0.15292947,-0.018243672,-0.17044924,-0.10448421,-0.046622224,-0.12616949,0.08065898,-0.07028712,-0.10780307,-0.2808736,-0.083956435,-0.048386592,-0.046289716,-0.13252792,0.05798873,-0.22564188,-0.30996472,-0.16194096,-0.16684246,-0.025240257,-0.02240252,-0.016378166,-0.092794426,-0.060231477,0.15777306,0.2039954,-0.17462789,-0.04709585,-0.12552005,0.074878424,0.032214064,0.054975644,0.27577463
TCGA-EW-A1PA-01A,-0.043847598,-0.11476376,0.2632532,0.17867532,0.019916711,0.18052253,0.012369502,0.09317528,-0.053112164,0.08568372,0.015651649,0.014215786,0.036525536,0.3935852,0.17912927,-0.109090626,0.02722203,0.16276634,-0.076641455,-0.13120127,-0.11018399,-0.09189329,-0.05790995,0.18242747,-0.013033052,-0.11862944,-0.34354004,-0.15887217,-0.044663597,-0.12457715,-0.06889733,0.034432814,-0.16896947,-0.30423084,-0.1721916,-0.21445101,-0.14497133,-0.029986704,-0.08928585,-0.006937285,-0.04895981,0.14322218,0.15944614,-0.14369167,0.010787684,-0.07129938,0.041886482,0.027726451,0.094231375,0.17396584
