,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
TCGA-C8-A27B-01A,0.010718338,-0.17461878,0.20010117,0.062438495,0.039968736,0.041541025,-0.0079596145,0.07189893,-0.05337968,0.20594445,-0.03645068,0.033610974,0.024928061,0.3748366,0.17813763,-0.022623483,-0.0108264005,0.10970403,0.0035789728,-0.26468557,-0.116852455,-0.0041072713,-0.14238195,0.13582714,-0.10525215,-0.17336331,-0.32758144,-0.04477129,-0.026680214,-0.13192141,-0.18840164,0.0119085135,-0.19873503,-0.23955092,-0.21343488,-0.15278041,-0.11951465,0.052629977,0.0014397624,-0.04574525,-0.03879076,0.09985401,0.21558234,-0.23477004,-0.067770295,-0.023766575,0.065737315,0.0814352,0.12335486,0.16635194
TCGA-A2-A0CT-01A,0.070112914,-0.20211089,0.22213377,0.16797058,0.047922634,0.06551011,-0.03609303,0.0964817,-0.11787867,0.19376099,0.010213133,-0.015004633,0.02015709,0.35668677,0.15412842,-0.056185,-0.016117098,0.08745689,0.007158282,-0.2342909,-0.08715971,-0.06167215,-0.1439812,0.100475885,-0.00019453237,-0.0682826,-0.33785108,-0.06605311,-0.04020431,-0.16565557,-0.12235736,0.07150849,-0.19855171,-0.19736585,-0.21545398,-0.20039974,-0.042058397,0.025716767,-0.0059543797,-0.08841117,-0.10612511,0.11723523,0.21795437,-0.20005316,-0.08459612,-0.13582484,0.057753008,0.08389641,0.14438958,0.17657273
TCGA-A1-A0SQ-01A,-0.004058775,-0.13690779,0.17119476,0.090489134,0.012598186,0.071304046,-0.037063003,0.067693755,-0.10807114,0.17833294,-0.0005908117,-0.0016517222,0.008617751,0.37489617,0.16842723,-0.012338477,-0.0012422656,0.11378838,0.038218938,-0.17411362,-0.148137,0.04536446,-0.109505616,0.18573909,-0.085805774,-0.049434528,-0.36378267,-0.105059795,-0.05314003,-0.1237975,-0.09459945,0.028946007,-0.11633483,-0.2664797,-0.2514695,-0.2107868,-0.053088754,-0.055869658,-0.044007212,-0.03400528,-0.04821417,0.08040095,0.23451205,-0.2529092,-0.03480863,-0.09925065,0.093061164,-0.0027872603,0.16378945,0.21915708
TCGA-E9-A1RC-01A,0.03778079,-0.077107005,0.188857,0.17827499,0.062751934,0.068245865,-0.09006772,0.05573794,-0.060466576,0.21246645,-0.048390746,-0.026025256,0.023616513,0.34651047,0.18614316,-0.043356847,-0.03416194,0.10563216,-0.05095856,-0.22433917,-0.09480261,-0.011036151,-0.15243886,0.13370305,-0.025758639,-0.005974929,-0.3578652,-0.023449762,-0.025220746,-0.17139673,-0.15307085,0.022172036,-0.18788506,-0.3080638,-0.17854345,-0.19658124,-0.09909225,0.09807973,0.005734106,-0.018524818,-0.13670915,0.10605853,0.19990604,-0.19490944,-0.042456128,-0.03822523,0.06995439,0.10687096,0.11462926,0.19109078
TCGA-BH-A0DG-01A,-0.014381776,-0.16906439,0.15943132,0.1139263,0.0035591582,0.09745453,0.015098417,0.0070431493,-0.13967709,0.27278322,-0.012861626,0.07569932,0.0130295735,0.36834702,0.16288328,-0.06563115,0.016232265,0.094587274,0.0689353,-0.20386396,-0.15168186,-0.06360586,-0.15915301,0.115205005,-0.019949537,-0.10272589,-0.3557538,-0.08617539,-0.012645014,-0.13884215,-0.09658797,0.084649555,-0.10673658,-0.22092563,-0.25842944,-0.16971277,-0.08362718,0.030017631,-0.03485326,-0.07825282,-0.095857486,0.11238901,0.2200313,-0.2012198,-0.07461437,-0.0994954,0.079115674,0.04720157,0.07090002,0.2091616
TCGA-AR-A1AQ-01A,-0.006819593,-0.1452053,0.19336392,0.12405387,0.04880397,0.079717554,-0.025131991,0.07706669,-0.0913488,0.18288139,0.00089777634,0.0048933215,-0.0339286,0.34896666,0.14635646,-0.098418914,0.005548864,0.076681785,0.011581733,-0.2639207,-0.121296905,-0.032504305,-0.13225223,0.08167892,-0.075911656,-0.12324152,-0.35820374,-0.07753224,-0.029231388,-0.068483196,-0.21805412,-0.02683343,-0.14016703,-0.26514655,-0.20715316,-0.19836307,-0.03768742,-0.026980298,0.01962392,-0.028674101,-0.042467684,0.046968658,0.20993163,-0.23643331,0.032072432,-0.08394424,0.08897414,0.048370782,0.18398505,0.24184307
TCGA-BH-A0DK-01A,0.048121244,-0.19199464,0.1262259,0.08619604,0.024429167,0.037478656,-0.023998154,0.016472572,-0.087734,0.1805113,0.021110388,0.0018502065,0.02200984,0.39469817,0.21922798,-0.10167736,0.037156347,0.071361326,-0.0480597,-0.16888095,-0.1234114,-0.006392691,-0.11181311,0.18850692,-0.05159661,-0.030277332,-0.43744552,-0.044698507,-0.021537181,-0.026503043,-0.0569415,0.12596604,-0.14659093,-0.22854029,-0.21070714,-0.19810319,-0.08305939,-0.005875398,-0.09237972,-0.023208786,-0.08229265,0.05207999,0.20060363,-0.2720718,-0.038074598,-0.07401971,0.13989076,0.06824902,0.14451425,0.11058507
TCGA-S3-AA17-01A,0.016988738,-0.13682209,0.20612037,0.138441,0.021004623,0.03561265,-0.034769,0.020057293,-0.10728534,0.2112958,0.00081073056,0.03388792,0.026456736,0.43130717,0.088581294,-0.043487985,0.0017195948,0.07511225,-0.06462833,-0.22603387,-0.07098077,-0.017442144,-0.08779879,0.09439209,0.027654307,-0.097469,-0.31285235,-0.032715905,-0.05893743,-0.1655853,-0.14420566,0.06741672,-0.1781104,-0.23978445,-0.19615792,-0.19941813,-0.15587555,0.024925131,-0.068992525,-0.018590093,-0.14898825,0.19595756,0.20443013,-0.20967521,-0.050902527,-0.07553298,0.0713596,0.10092067,0.10171539,0.1901863
TCGA-LL-A73Y-01A,0.0059636054,-0.100466035,0.21611272,0.08123913,0.017194686,0.106853224,-0.024716122,0.055022433,-0.036697984,0.19968355,-0.012143594,-0.007078469,-0.014925045,0.40755495,0.16226263,-0.08202925,0.046657108,0.17599651,0.035785403,-0.19980319,-0.115578935,-0.035102576,-0.16819817,0.17575751,-0.0864671,-0.12967831,-0.26444784,-0.052769743,0.052503213,-0.066643134,-0.14476134,-0.0010159181,-0.17171082,-0.2877865,-0.24068083,-0.23704442,-0.1674217,0.028664788,0.050365932,-0.008078252,-0.004482807,0.11763124,0.1999816,-0.18182857,0.0268291,-0.07072927,0.079345845,0.027563583,0.11018489,0.19343714
TCGA-EW-A1PA-01A,-0.0061025927,-0.17282182,0.1460112,0.10235239,-0.005447558,0.04014878,-0.009536045,0.1356441,-0.06765727,0.17611209,0.020846624,-0.021332493,0.025037529,0.36387464,0.20860747,0.049840316,-0.00054682256,0.052264836,-0.04178989,-0.133647,-0.13896726,-0.092816204,-0.18834412,0.11904183,-0.0840971,-0.022032041,-0.35756102,-0.096466854,-0.06539105,-0.07249286,-0.09222948,0.089492835,-0.13828331,-0.28854802,-0.23230395,-0.22864716,-0.08235862,-0.05443851,-0.007386104,-0.036644224,-0.06949452,0.105879575,0.19859062,-0.2562107,0.021261472,-0.020010876,0.06993517,0.10196458,0.13880822,0.23596826
