,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
TCGA-OL-A5RZ-01A,-0.021424817,-0.115554705,0.1827911,-0.0052763782,-0.010939805,0.112918995,0.02040341,0.097762,0.028156057,0.018771052,0.04632751,0.03305551,0.12865682,0.37792405,0.18103315,-0.101047754,0.007432863,0.10441772,0.043743707,-0.23239592,-0.20421518,-0.017746173,0.040499553,0.045271475,-0.07726228,-0.111366004,-0.40161198,0.0045326003,-0.05814185,-0.22429,-0.12631264,0.07653063,-0.097099386,-0.2671508,-0.26794097,-0.1438548,0.042434637,-0.073454484,0.026229823,-0.13244757,-0.09647025,0.08297887,0.14832807,-0.096911915,-0.21317321,-0.022300076,0.09039754,0.0056929714,0.2163648,0.090175435
TCGA-AR-A1AR-01A,0.03420064,-0.15105057,0.18317948,-0.0061995746,0.026704319,0.1388988,0.036932297,-0.013293246,-0.045677207,0.21902993,-0.06037871,0.013279499,0.05325785,0.38549805,0.22471918,-0.0074868873,0.071485944,0.123488754,-0.024916636,-0.097925596,-0.037741873,-0.07296993,-0.17696124,0.28233492,-0.054958038,-0.2046748,-0.26299077,-0.1382384,-0.036578033,-0.15217002,-0.115561195,0.046266064,-0.18299298,-0.13330276,-0.20310904,-0.04008147,-0.057050187,-0.12054726,-0.005971017,-0.15364105,-0.1330602,0.081602834,0.17015561,-0.21712106,-0.17112537,0.028597115,0.13017951,-0.030564236,-0.016484829,0.24333808
TCGA-BH-A8FZ-01A,-0.023700958,-0.11629419,0.22537144,0.13921063,-0.006782296,0.05053482,0.099942744,0.077932455,-0.011556479,0.21171585,-0.026065424,0.0770944,0.17062649,0.3711988,0.1815178,-0.007062893,0.047734555,0.061157055,0.06571731,-0.11629601,-0.14880565,-0.09512797,-0.16339436,0.13486892,-0.17267694,-0.15443915,-0.3025183,-0.21283251,-0.043609325,-0.17781064,-0.1256867,-0.09271573,-0.20260741,-0.2754631,-0.16268122,-0.15998979,-0.10620576,0.108603075,0.01480031,-0.14668046,0.0067044524,-0.08593222,0.19263726,-0.18402556,-0.018429035,0.04838289,-0.020703904,-0.024233487,-0.010087796,-0.03549316
TCGA-E2-A1B0-01A,-0.0020059259,-0.24445498,0.15997086,0.050291624,-0.0035966588,0.035823677,-0.1137338,0.07610577,-0.13591394,0.15011176,-0.038975883,-0.03729984,0.0660134,0.34336025,0.2644477,-0.10875517,0.12893748,0.15093194,-0.001492265,-0.23085429,-0.12218882,-0.046343133,-0.114713766,0.11678896,-0.10035002,-0.011068519,-0.32905108,-0.0070112627,-0.04400478,-0.1177287,-0.15671825,-0.046774402,-0.12128516,-0.14759177,-0.28052825,-0.07124406,-0.11766254,-0.056191318,-0.05267161,-0.10150387,0.014510241,0.13107829,0.123002455,-0.2323776,-0.15814593,0.03071113,0.19548783,-0.022626834,0.09676134,0.18871905
TCGA-AN-A0XU-01A,0.17649087,-0.19603086,0.07854632,0.034691617,0.056598276,0.100320384,0.0767945,-0.03189949,-0.17581664,0.31401253,0.013904603,-0.009509807,0.008370149,0.3560925,0.17279735,0.030520326,0.011698215,0.16098596,0.0029006428,-0.20783728,-0.03609794,-0.08097719,-0.16395119,0.11030894,0.09619924,-0.118545696,-0.3445129,-0.09806336,0.09835296,-0.03193194,0.05953291,0.08435238,-0.26213118,-0.10241792,-0.049918525,-0.19288711,-0.0071631144,0.102465585,-0.020477045,-0.07404893,-0.088817336,0.09946647,0.11465051,-0.27267146,-0.026959086,-0.07800967,0.2148487,0.107159406,0.11022601,0.09507713
TCGA-D8-A27G-01A,0.047661312,-0.23279756,0.16115598,0.04911368,0.011145634,-0.00024464965,0.013518674,0.07066937,-0.055009417,0.14414059,-0.027383028,0.036128253,0.052817013,0.38292453,0.047323722,0.014697478,0.092105485,0.025883654,0.047524706,-0.29288745,-0.0022193661,-0.046498887,-0.0042070523,-0.04310161,-0.10136611,-0.12288078,-0.30816895,-0.12179034,-0.021773912,-0.1428156,-0.17206797,0.136026,-0.22899704,-0.16114382,-0.33118898,-0.13375443,-0.07957098,0.042958375,-0.09367329,-0.082651615,-0.1542862,0.12967055,0.24556717,-0.07669494,-0.016798496,-0.12645128,0.13468526,0.09571445,0.12932804,0.1727754
TCGA-D8-A27L-01A,0.064330384,-0.19656472,0.17929079,0.13713281,-0.019828448,0.062962994,-0.038446255,0.015246412,-0.12176418,0.19953616,-0.06765957,-0.036305208,0.050774433,0.39381644,-0.03223886,-0.11218987,-0.05874506,0.08342493,0.07498085,-0.1673917,-0.054085415,-0.16211076,-0.11044902,0.077014625,-0.05196039,-0.0838657,-0.2948218,0.018326178,-0.10432563,-0.017573323,-0.15216263,0.08928474,-0.19770585,-0.3630612,-0.24730295,-0.17807212,-0.062183734,0.074010886,-0.04178467,-0.051539,-0.11175408,0.031371024,0.19138128,-0.1882131,0.056895427,0.0014849732,0.12258421,-0.066826686,0.037705004,0.22468586
TCGA-C8-A26Y-01A,0.026144553,-0.10117257,0.19430718,0.07945757,0.00081937475,0.05637994,0.10673895,0.009348337,-0.08936041,0.12700336,-0.0946247,0.041253645,0.1257907,0.4067615,0.20335715,-0.11961592,0.07854099,0.17863013,0.057929996,-0.2293483,-0.13500208,0.027435215,-0.09536753,0.13210799,-0.013536376,-0.07582254,-0.41856867,-0.0549118,0.029472705,0.0017892185,-0.11636311,0.012960551,-0.11317168,-0.1323488,-0.1619721,-0.24883954,-0.08363765,0.03377391,0.00912702,0.01713901,-0.07012386,0.1863623,0.0834418,-0.133912,-0.06271559,-0.09616761,0.036276348,0.079879776,0.18075964,0.2743444
TCGA-3C-AAAU-01A,0.02074904,-0.2540455,0.20208243,0.011773508,-0.05351342,0.14510463,-0.06689485,0.007888722,-0.17271677,0.20744938,-0.078053385,0.014816576,0.08552995,0.3457059,0.120668076,0.11150145,0.025265928,0.056604598,-0.017208954,-0.3102897,-0.04449079,-0.03141089,-0.07807058,0.18905294,0.059944395,-0.11648318,-0.33367127,-0.14220874,-0.10428989,-0.081685275,-0.12768066,0.098811984,-0.1268511,-0.14234437,-0.2421946,-0.19182666,-0.015203471,-0.047675103,0.022910321,0.021070508,-0.07811148,0.10902464,0.22504656,-0.059212483,0.000429632,-0.123176165,-0.10191665,0.11928094,0.040343292,0.21495397
TCGA-A2-A0CT-01A,0.069461696,-0.07882231,0.14153147,-0.037274487,-0.0111794295,0.05669888,0.011716104,0.07532565,-0.066774435,0.14899826,0.014250188,-0.042243235,-0.055661183,0.41785207,0.20289735,0.016494643,-0.006340711,0.041402206,-0.025176505,-0.23447019,-0.18431994,-0.04878004,-0.13297458,0.025765741,-0.04786341,-0.19221747,-0.43341333,-0.08858085,-0.047269948,-0.15598,-0.13527262,0.031629812,-0.17734292,-0.26535827,-0.20363586,-0.19257858,-0.08993561,-0.016702658,-0.039556455,-0.09320329,-0.07473662,0.08571335,0.14103536,-0.16986412,-0.078050226,-0.112415224,-0.010371618,0.09762803,0.012901627,0.16880922
