,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
TCGA-C8-A27B-01A,0.026760446,-0.14774829,0.2334302,0.16350117,0.046188656,0.09924441,0.016702097,0.053183705,-0.09107071,0.13286199,0.03160458,-0.11081688,0.026099667,0.32769513,0.24978091,-0.0866798,0.028355345,0.07986058,-0.00094175816,-0.27115694,-0.054926466,-0.027527677,-0.113776244,0.08675419,-0.046121925,-0.06234389,-0.35403574,-0.079049304,0.055068996,-0.09608914,-0.11086521,0.044116687,-0.30849716,-0.29094467,-0.14301978,-0.16204679,-0.010583935,-0.04435876,0.019992819,-0.10873127,-0.03596217,0.14195338,0.23015708,-0.12533444,-0.0730183,-0.020321764,0.08175054,0.062064245,0.10620754,0.19069675
TCGA-A2-A0CT-01A,-0.071138315,-0.161066,0.219795,0.058402885,-0.0028983303,0.09774122,0.022254197,0.08778197,-0.12047616,0.11538614,-0.025618544,-0.043520752,-0.020656891,0.3167526,0.22941978,-0.07251915,-0.085747935,0.122270286,0.036390815,-0.19985123,-0.0476854,-0.12502682,-0.022432968,0.1102626,0.015490958,-0.13905287,-0.3955979,-0.14172573,-0.037585486,-0.14662948,-0.10234898,0.036490105,-0.211069,-0.26677495,-0.23698479,-0.16177799,-0.020844182,-0.03761156,-0.11796755,-0.013917274,-0.0971739,0.09734334,0.17417394,-0.19375308,-0.09668789,-0.08459621,0.15526512,0.10151294,0.093251,0.15827098
TCGA-A1-A0SQ-01A,-0.076126575,-0.06318991,0.1234213,0.064912364,-0.013778637,0.12104055,0.058933936,0.030795308,-0.13370378,0.09946779,0.018222328,0.013690254,-0.017712519,0.38682958,0.21256515,-0.089406066,0.021112615,0.14160118,-0.013141369,-0.30008307,-0.04657895,-0.11133121,-0.057979528,0.17048246,-0.0608462,-0.12200745,-0.34429508,-0.108840704,0.007858582,-0.09237495,-0.18134208,0.07912403,-0.15762353,-0.2907086,-0.24035175,-0.19416319,-0.06315908,-0.039816026,-0.15954524,-0.06010633,0.027976304,0.110271685,0.13586704,-0.14519608,-0.0191666,-0.086037464,0.102862746,0.038876176,0.10757373,0.20561227
TCGA-E9-A1RC-01A,-0.029046154,-0.10595616,0.18576811,0.018307496,-0.0010435814,0.040127326,0.026008671,0.013595149,-0.12901029,0.13285418,0.018878786,-0.062192824,0.0006845602,0.3849486,0.25423205,-0.06812008,0.02333416,0.08788311,0.043292716,-0.21816191,-0.0035277999,-0.13317494,-0.040356517,0.14642735,0.048318524,-0.10921159,-0.34249198,-0.09672876,0.025506731,-0.09960136,-0.17353722,0.025295531,-0.23006259,-0.2553073,-0.2513021,-0.26400563,0.05925979,-0.052083876,-0.08274385,-0.02044495,-0.10719411,0.09681195,0.16758521,-0.13922672,-0.13759792,-0.047805924,0.052557994,0.11065779,0.08599006,0.19346929
TCGA-BH-A0DG-01A,0.031656664,-0.14696193,0.2528678,0.087732665,-0.00054258655,0.08987499,0.003932572,0.036060955,-0.07559656,0.19143526,-0.038346272,0.0051004384,-0.0077522607,0.39880598,0.24826604,-0.054447822,0.05733748,0.116969876,-0.035995554,-0.2692593,-0.10442607,-0.22592522,-0.071090996,0.13934189,-0.034123566,-0.0334483,-0.2646089,-0.08227872,-0.025302147,-0.0669309,-0.12535593,0.062301803,-0.121446945,-0.25976998,-0.19636561,-0.25630754,-0.06389502,-0.08430781,-0.02350376,-0.093129076,-0.058493778,0.12147465,0.17992717,-0.11219532,-0.096075535,-0.07280206,0.010332884,0.07000001,0.10196061,0.2187717
TCGA-AR-A1AQ-01A,-0.044936202,-0.13374944,0.26492608,0.11944203,0.10708219,0.1458185,-0.0110167395,0.025828306,-0.10847307,0.11472713,0.03947493,0.034555998,-0.036783576,0.39195082,0.24116692,-0.11093954,0.082577504,0.09294762,-0.0386299,-0.2371989,-0.17082088,-0.026027326,-0.099713385,0.15720098,-0.067915,-0.056801632,-0.22125101,-0.0347364,-0.00077958446,-0.15824945,-0.10893595,0.028666584,-0.14705099,-0.3391588,-0.22005302,-0.15604918,-0.05309995,-0.08057399,-0.014534811,-0.05549055,-0.07461534,0.20641497,0.15731066,-0.16856931,-0.050125275,-0.024769071,0.06873567,0.051753573,0.09932506,0.17825848
TCGA-BH-A0DK-01A,0.034702476,-0.18531431,0.20714001,0.07416279,-0.09716199,0.11261417,0.003823135,0.10568037,-0.10900925,0.09538638,-0.097451694,0.017803993,0.0027240918,0.30323553,0.20888749,-0.033646103,0.003239929,0.17380354,-0.029452281,-0.22483832,-0.07763822,-0.12168311,-0.10318583,0.14964247,-0.027366152,-0.13758968,-0.35161284,-0.08091197,0.020946015,-0.18746397,-0.14576198,0.07822037,-0.20667687,-0.31170845,-0.20437871,-0.16686645,-0.033222955,-0.028275391,-0.07143618,-0.05773725,-0.046976995,0.1222073,0.18484254,-0.1707745,-0.086415306,-0.05512939,0.08511715,0.031037627,0.17110743,0.13640569
TCGA-S3-AA17-01A,-0.046867248,-0.1333153,0.19969125,0.09101641,0.029932128,0.11413124,-0.006498644,0.11028653,-0.067488484,0.17964655,-0.076039314,-0.03234804,0.021086598,0.30887508,0.21592997,-0.040313512,-0.05016942,0.029822573,0.020215284,-0.23023732,-0.010069793,-0.10871365,-0.0035191432,0.108747356,-0.0467051,-0.09724724,-0.4112948,-0.094228104,0.026452364,-0.106939636,-0.15895812,-0.011685934,-0.18985473,-0.32877418,-0.24746838,-0.13538411,0.00076353207,-0.05100421,-0.09956552,-0.023254689,-0.0672995,0.1379884,0.19331309,-0.23523137,-0.05538333,-0.024819426,0.07243062,0.058174014,0.06730818,0.20075627
TCGA-LL-A73Y-01A,0.043359373,-0.104138136,0.2924839,0.016588105,0.055252258,0.08719452,0.052060522,0.06909269,-0.091457516,0.1381576,0.018778099,-0.06785027,0.04209363,0.33713105,0.21666011,-0.14031696,0.061011307,0.13814853,-0.082426526,-0.17862022,-0.15023339,-0.09793195,-0.06937079,0.10232444,-0.052576076,-0.1359457,-0.3402639,-0.05969274,-0.012672953,-0.059915256,-0.07639557,0.019675737,-0.19673532,-0.2839424,-0.1700466,-0.27195305,-0.05844029,-0.05707504,0.0074654585,-0.019542597,-0.05392108,0.035545375,0.1849179,-0.2241257,-0.09375547,-0.09182536,0.03268721,0.0371816,0.16313492,0.21245372
TCGA-EW-A1PA-01A,-0.0024335233,-0.16455221,0.1103504,0.11983467,-0.030321721,0.08860868,0.019459128,0.01494039,-0.09249557,0.13661267,-0.031393446,-0.0054694572,0.04542956,0.34917617,0.2565857,-0.067364655,-0.027093811,0.16108938,-0.01202235,-0.17562445,-0.091738954,-0.108192675,-0.15605718,0.18319084,-0.084413715,-0.13724926,-0.23064964,-0.20728104,-0.018254075,-0.121925205,-0.13211508,0.08010264,-0.2519999,-0.260309,-0.20888282,-0.2560204,-0.015977267,-0.013568039,-0.06631523,-0.057872184,-0.11486141,0.11814087,0.18745607,-0.15815885,-0.0337111,-0.08095217,0.11398332,0.10132254,0.11069166,0.19588622
