level	CS1	CS2	CS3	p	test	sig
	90-99%	      149 (31.8) 	        9 ( 5.6) 	        0 (  0.0) 			NA
progesterone_receptor_level_cell_percent_category (%)		      239 (51.0) 	      120 (75.0) 	       13 ( 86.7) 	    NA	exact	NA
	<10%	       46 ( 9.8) 	       34 (21.2) 	        2 ( 13.3) 			NA
	10-19%	       21 ( 4.5) 	        0 ( 0.0) 	        0 (  0.0) 			NA
	20-29%	        8 ( 1.7) 	        0 ( 0.0) 	        0 (  0.0) 			NA
	30-39%	        8 ( 1.7) 	        0 ( 0.0) 	        0 (  0.0) 			NA
	40-49%	       11 ( 2.3) 	        0 ( 0.0) 	        0 (  0.0) 			NA
	50-59%	       10 ( 2.1) 	        1 ( 0.6) 	        0 (  0.0) 			NA
	60-69%	        9 ( 1.9) 	        2 ( 1.2) 	        0 (  0.0) 			NA
	70-79%	       30 ( 6.4) 	        0 ( 0.0) 	        0 (  0.0) 			NA
	80-89%	       23 ( 4.9) 	        0 ( 0.0) 	        0 (  0.0) 			NA
	90-99%	       64 (13.6) 	        3 ( 1.9) 	        0 (  0.0) 			NA
distant_metastasis_present_ind2 (%)		      275 (58.6) 	      106 (66.2) 	        2 ( 13.3) 	 0.001	exact	**
	NO	      190 (40.5) 	       51 (31.9) 	       13 ( 86.7) 			NA
	YES	        4 ( 0.9) 	        3 ( 1.9) 	        0 (  0.0) 			NA
stage_event_pathologic_stage (%)		        4 ( 0.9) 	        1 ( 0.6) 	        0 (  0.0) 	    NA	exact	NA
	Stage I	       40 ( 8.5) 	       11 ( 6.9) 	        1 (  6.7) 			NA
	Stage IA	       41 ( 8.7) 	       12 ( 7.5) 	        1 (  6.7) 			NA
	Stage IB	        3 ( 0.6) 	        0 ( 0.0) 	        0 (  0.0) 			NA
	Stage II	        4 ( 0.9) 	        1 ( 0.6) 	        0 (  0.0) 			NA
	Stage IIA	      127 (27.1) 	       74 (46.2) 	        5 ( 33.3) 			NA
	Stage IIB	      119 (25.4) 	       32 (20.0) 	        2 ( 13.3) 			NA
	Stage III	        1 ( 0.2) 	        1 ( 0.6) 	        0 (  0.0) 			NA
	Stage IIIA	       79 (16.8) 	       16 (10.0) 	        5 ( 33.3) 			NA
	Stage IIIB	       12 ( 2.6) 	        3 ( 1.9) 	        0 (  0.0) 			NA
	Stage IIIC	       30 ( 6.4) 	        5 ( 3.1) 	        1 (  6.7) 			NA
	Stage IV	        6 ( 1.3) 	        3 ( 1.9) 	        0 (  0.0) 			NA
	Stage X	        3 ( 0.6) 	        1 ( 0.6) 	        0 (  0.0) 			NA
