level	NEMO1	NEMO2	NEMO3	NEMO5	NEMO8	NEMO9	p	test	sig
	iC10	    0 (  0.0) 	   26 ( 70.3) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 			NA
NAT.regimen (%)	EC-T	    0 (  0.0) 	    1 (  2.7) 	    1 (  2.9) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    NA	exact	NA
	EC-T + Trastuzumab	    0 (  0.0) 	    0 (  0.0) 	    1 (  2.9) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 			NA
	EC + Trastuzumab	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    1 (  8.3) 			NA
	FEC-T	    2 (  3.9) 	    2 (  5.4) 	    1 (  2.9) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 			NA
	FEC-T + Trastuzumab	   14 ( 27.5) 	    3 (  8.1) 	    9 ( 26.5) 	    0 (  0.0) 	   12 ( 66.7) 	    8 ( 66.7) 			NA
	FEC-T + Trastuzumab + Pertuzumab	    0 (  0.0) 	    0 (  0.0) 	    3 (  8.8) 	    0 (  0.0) 	    0 (  0.0) 	    1 (  8.3) 			NA
	P-Carboplatin	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    1 (  5.6) 	    0 (  0.0) 			NA
	P-EC	    0 (  0.0) 	    3 (  8.1) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    1 (  8.3) 			NA
	P-FEC	    1 (  2.0) 	    4 ( 10.8) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 			NA
	P + Trastuzumab	    1 (  2.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 			NA
	T	    0 (  0.0) 	    1 (  2.7) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 			NA
	T-Carboplatin	    0 (  0.0) 	    1 (  2.7) 	    1 (  2.9) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 			NA
	T-EC	    4 (  7.8) 	    0 (  0.0) 	    4 ( 11.8) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 			NA
	T-FEC	   25 ( 49.0) 	   20 ( 54.1) 	   12 ( 35.3) 	    1 (100.0) 	    3 ( 16.7) 	    0 (  0.0) 			NA
	T-FEC + Trastuzumab	    1 (  2.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 			NA
	T-FEC + Trastuzumab + Pertuzumab	    0 (  0.0) 	    0 (  0.0) 	    1 (  2.9) 	    0 (  0.0) 	    0 (  0.0) 	    1 (  8.3) 			NA
	T + Pertuzumab + Trastuzumab	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    1 (  5.6) 	    0 (  0.0) 			NA
	TC	    1 (  2.0) 	    2 (  5.4) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 			NA
	TC + Trastuzumab	    2 (  3.9) 	    0 (  0.0) 	    1 (  2.9) 	    0 (  0.0) 	    1 (  5.6) 	    0 (  0.0) 			NA
Chemo.cycles 		 5.82 ± 0.59	 5.92 ± 0.92	 6.00 ± 0.43	 6.00 ± NA	 5.67 ± 0.77	 6.08 ± 0.79	    NA		NA
aHER2.cycles (median [IQR])		 3.00 [2.00, 3.00]	 3.00 [3.00, 3.00]	 3.00 [3.00, 3.00]	   NA [NA, NA]	 2.50 [2.00, 3.00]	 3.00 [2.00, 3.00]	 0.544	nonnorm	
RCB.score (median [IQR])		 2.47 [1.43, 3.41]	 0.00 [0.00, 1.67]	 2.35 [1.24, 3.12]	 0.00 [0.00, 0.00]	 0.90 [0.00, 1.75]	 0.57 [0.00, 2.00]	<0.001	nonnorm	**
STAT1.gsva (median [IQR])		-0.29 [-0.57, 0.25]	 0.46 [-0.33, 0.59]	-0.31 [-0.46, 0.37]	 0.51 [0.51, 0.51]	-0.27 [-0.39, 0.20]	 0.55 [0.24, 0.68]	 0.001	nonnorm	**
GGI.gsva (median [IQR])		-0.52 [-0.67, -0.26]	 0.41 [0.30, 0.57]	 0.39 [-0.19, 0.53]	-0.55 [-0.55, -0.55]	 0.04 [-0.22, 0.15]	 0.06 [-0.26, 0.33]	<0.001	nonnorm	**
ESC.gsva (median [IQR])		-0.36 [-0.51, -0.09]	 0.27 [0.06, 0.45]	 0.14 [-0.05, 0.36]	-0.29 [-0.29, -0.29]	-0.12 [-0.34, 0.03]	 0.01 [-0.24, 0.20]	<0.001	nonnorm	**
TMB (median [IQR])		 1.03 [0.75, 1.59]	 2.68 [2.06, 3.40]	 1.57 [1.06, 2.53]	 1.89 [1.89, 1.89]	 1.79 [1.20, 3.83]	 1.09 [0.74, 2.35]	<0.001	nonnorm	**
HRD.sum (median [IQR])		15.00 [10.00, 21.00]	37.00 [29.00, 55.00]	21.00 [18.00, 28.75]	26.00 [26.00, 26.00]	22.50 [16.25, 32.25]	28.00 [21.75, 34.50]	<0.001	nonnorm	**
