level	CS1	CS2	p	test	sig
stage_event_pathologic_stage (%)		        2 ( 0.8) 	        3 ( 0.8) 	 0.052	exact	
	Stage I	       15 ( 6.1) 	       35 ( 9.2) 			NA
	Stage IA	       10 ( 4.1) 	       39 (10.2) 			NA
	Stage IB	        0 ( 0.0) 	        3 ( 0.8) 			NA
	Stage II	        2 ( 0.8) 	        3 ( 0.8) 			NA
	Stage IIA	       90 (36.9) 	      112 (29.4) 			NA
	Stage IIB	       52 (21.3) 	       96 (25.2) 			NA
	Stage III	        1 ( 0.4) 	        1 ( 0.3) 			NA
	Stage IIIA	       42 (17.2) 	       58 (15.2) 			NA
	Stage IIIB	        8 ( 3.3) 	        6 ( 1.6) 			NA
	Stage IIIC	       18 ( 7.4) 	       18 ( 4.7) 			NA
	Stage IV	        3 ( 1.2) 	        4 ( 1.0) 			NA
	Stage X	        1 ( 0.4) 	        3 ( 0.8) 			NA
