id	filename	md5	size	state
174eca80-6a0a-4f82-a87f-d47a117f8b91	174eca80-6a0a-4f82-a87f-d47a117f8b91/nationwidechildrens.org_clinical.TCGA-E2-A15E.xml	50fd7beb3132946032741160e160c11e	99797	validated
17767d08-172b-420f-ba84-dc516e6f5dce	17767d08-172b-420f-ba84-dc516e6f5dce/nationwidechildrens.org_clinical.TCGA-A8-A09A.xml	1056aadab73745c19df01da581a5cd2a	83904	validated
1807532f-fbb2-4434-95f5-d6b1bf5573b2	1807532f-fbb2-4434-95f5-d6b1bf5573b2/nationwidechildrens.org_clinical.TCGA-E2-A15S.xml	8d8325487d7b8295fccfe358458824f4	81182	validated
18db15ff-8981-4208-9204-fc23306c6e5a	18db15ff-8981-4208-9204-fc23306c6e5a/nationwidechildrens.org_clinical.TCGA-BH-A18V.xml	e59ff08d073a8a86839898a2725fb7d5	47160	validated
18e558aa-8a10-4387-a12d-56d551b61fc0	18e558aa-8a10-4387-a12d-56d551b61fc0/nationwidechildrens.org_clinical.TCGA-BH-A0EB.xml	0a54e5a7c6c34875705ac22365aa839c	77881	validated
1ab00e83-3ed9-4c9f-b550-ce660bc3d996	1ab00e83-3ed9-4c9f-b550-ce660bc3d996/nationwidechildrens.org_clinical.TCGA-B6-A0IJ.xml	18cc43691144146524906dff56fda015	65023	validated
1b376b9f-4132-44ca-b9bd-6ef8c1facaab	1b376b9f-4132-44ca-b9bd-6ef8c1facaab/nationwidechildrens.org_clinical.TCGA-E2-A14Z.xml	daa0fc551570e9578261696bcf7ef50f	93774	validated
1b5bddf8-d393-478a-bab9-ab9ae515f323	1b5bddf8-d393-478a-bab9-ab9ae515f323/nationwidechildrens.org_clinical.TCGA-AO-A0J6.xml	ab9ac05875b37bfb5d91be4765f95030	93852	validated
1e3fc77b-4c6a-4406-a808-7d35d56cf1a1	1e3fc77b-4c6a-4406-a808-7d35d56cf1a1/nationwidechildrens.org_omf.TCGA-BH-A0DO.xml	1f5ddbe0254214454ecff621bf43d7bd	11301	validated
1fc54ff7-d1a9-41fe-882f-99cbdafe2584	1fc54ff7-d1a9-41fe-882f-99cbdafe2584/nationwidechildrens.org_clinical.TCGA-A8-A099.xml	c4b0404c81992d02505a4b2257b544be	60958	validated
